sweep,condition_label,condition_value_1,condition_value_2,is_nominal,method,method_role,success_rate,ci_low,ci_high,between_seed_sd,lr_minus_lead_pp,lr_minus_lead_ci_low,lr_minus_lead_ci_high,lr_minus_ppo_pp,lr_minus_ppo_ci_low,lr_minus_ppo_ci_high
detection_radius,5,5.0,,False,greedy,classical_reference_baseline,0.619,0.5885,0.64859,,,,,,,
detection_radius,5,5.0,,False,lead,strong_predictive_analytical_nominal_controller,0.687,0.65759,0.714979,,,,,,,
detection_radius,5,5.0,,False,lr_ppo,proposed_hybrid_method,0.696333,0.668,0.725667,0.008179,0.9333,-1.0667,2.9,7.3667,3.1992,12.0333
detection_radius,5,5.0,,False,pn,classical_guidance_baseline,0.606,0.575364,0.635824,,,,,,,
detection_radius,5,5.0,,False,ppo,pure_end_to_end_learning_baseline,0.622667,0.573667,0.667667,0.034257,,,,,,
detection_radius,5,5.0,,False,ppo_kalman,estimator_ablation_diagnostic_not_coequal,0.597333,0.567667,0.626675,0.009177,,,,,,
detection_radius,10,10.0,,False,greedy,classical_reference_baseline,0.711,0.68214,0.738246,,,,,,,
detection_radius,10,10.0,,False,lead,strong_predictive_analytical_nominal_controller,0.783,0.756395,0.807439,,,,,,,
detection_radius,10,10.0,,False,lr_ppo,proposed_hybrid_method,0.824667,0.801,0.847667,0.006848,4.1667,2.1,6.3,2.0,-2.0,6.6667
detection_radius,10,10.0,,False,pn,classical_guidance_baseline,0.696,0.666785,0.723715,,,,,,,
detection_radius,10,10.0,,False,ppo,pure_end_to_end_learning_baseline,0.804667,0.759,0.844008,0.033639,,,,,,
detection_radius,10,10.0,,False,ppo_kalman,estimator_ablation_diagnostic_not_coequal,0.772667,0.731,0.809,0.028535,,,,,,
detection_radius,15,15.0,,True,greedy,classical_reference_baseline,0.79,0.763669,0.814111,,,,,,,
detection_radius,15,15.0,,True,lead,strong_predictive_analytical_nominal_controller,0.874,0.85199,0.893147,,,,,,,
detection_radius,15,15.0,,True,lr_ppo,proposed_hybrid_method,0.895333,0.875658,0.914667,0.009534,2.1333,-0.1,4.3675,2.9333,-0.6667,7.2333
detection_radius,15,15.0,,True,pn,classical_guidance_baseline,0.763,0.735668,0.788319,,,,,,,
detection_radius,15,15.0,,True,ppo,pure_end_to_end_learning_baseline,0.866,0.826,0.898333,0.029017,,,,,,
detection_radius,15,15.0,,True,ppo_kalman,estimator_ablation_diagnostic_not_coequal,0.836333,0.774,0.881667,0.047619,,,,,,
detection_radius,20,20.0,,False,greedy,classical_reference_baseline,0.793,0.76679,0.816967,,,,,,,
detection_radius,20,20.0,,False,lead,strong_predictive_analytical_nominal_controller,0.898,0.877693,0.915261,,,,,,,
detection_radius,20,20.0,,False,lr_ppo,proposed_hybrid_method,0.917667,0.902,0.933,0.006018,1.9667,-0.1667,4.1667,2.4,-1.0,5.9333
detection_radius,20,20.0,,False,pn,classical_guidance_baseline,0.767,0.739807,0.792149,,,,,,,
detection_radius,20,20.0,,False,ppo,pure_end_to_end_learning_baseline,0.893667,0.860333,0.925,0.025421,,,,,,
detection_radius,20,20.0,,False,ppo_kalman,estimator_ablation_diagnostic_not_coequal,0.853333,0.811,0.887342,0.031351,,,,,,
detection_radius,25,25.0,,False,greedy,classical_reference_baseline,0.768,0.740842,0.793107,,,,,,,
detection_radius,25,25.0,,False,lead,strong_predictive_analytical_nominal_controller,0.863,0.840295,0.882927,,,,,,,
detection_radius,25,25.0,,False,lr_ppo,proposed_hybrid_method,0.907667,0.891667,0.923,0.003859,4.4667,2.3667,6.6,1.1667,-2.6,5.7667
detection_radius,25,25.0,,False,pn,classical_guidance_baseline,0.772,0.744985,0.796933,,,,,,,
detection_radius,25,25.0,,False,ppo,pure_end_to_end_learning_baseline,0.896,0.850333,0.932,0.034728,,,,,,
detection_radius,25,25.0,,False,ppo_kalman,estimator_ablation_diagnostic_not_coequal,0.860333,0.821,0.894,0.02917,,,,,,
detection_radius,30,30.0,,False,greedy,classical_reference_baseline,0.799,0.773039,0.822673,,,,,,,
detection_radius,30,30.0,,False,lead,strong_predictive_analytical_nominal_controller,0.892,0.871241,0.909759,,,,,,,
detection_radius,30,30.0,,False,lr_ppo,proposed_hybrid_method,0.904,0.886658,0.920667,0.006976,1.2,-1.0008,3.4333,2.3333,-2.1333,7.5
detection_radius,30,30.0,,False,pn,classical_guidance_baseline,0.754,0.726368,0.779688,,,,,,,
detection_radius,30,30.0,,False,ppo,pure_end_to_end_learning_baseline,0.880667,0.831667,0.923,0.039203,,,,,,
detection_radius,30,30.0,,False,ppo_kalman,estimator_ablation_diagnostic_not_coequal,0.845667,0.807333,0.88,0.028241,,,,,,
hostile_evasion,0,0.0,,False,greedy,classical_reference_baseline,0.756,0.728434,0.781607,,,,,,,
hostile_evasion,0,0.0,,False,lead,strong_predictive_analytical_nominal_controller,0.846,0.822308,0.867044,,,,,,,
hostile_evasion,0,0.0,,False,lr_ppo,proposed_hybrid_method,0.878667,0.857667,0.898667,0.008731,3.2667,1.2333,5.2,-1.5,-3.8333,0.9
hostile_evasion,0,0.0,,False,pn,classical_guidance_baseline,0.744,0.716053,0.77008,,,,,,,
hostile_evasion,0,0.0,,False,ppo,pure_end_to_end_learning_baseline,0.893667,0.871,0.914,0.011264,,,,,,
hostile_evasion,0,0.0,,False,ppo_kalman,estimator_ablation_diagnostic_not_coequal,0.855333,0.804,0.895333,0.038526,,,,,,
hostile_evasion,0.25,0.25,,False,greedy,classical_reference_baseline,0.783,0.756395,0.807439,,,,,,,
hostile_evasion,0.25,0.25,,False,lead,strong_predictive_analytical_nominal_controller,0.874,0.85199,0.893147,,,,,,,
hostile_evasion,0.25,0.25,,False,lr_ppo,proposed_hybrid_method,0.886,0.867667,0.903667,0.004967,1.2,-0.7,3.1667,-1.0667,-3.6333,1.7
hostile_evasion,0.25,0.25,,False,pn,classical_guidance_baseline,0.779,0.752243,0.803622,,,,,,,
hostile_evasion,0.25,0.25,,False,ppo,pure_end_to_end_learning_baseline,0.896667,0.87,0.92,0.01654,,,,,,
hostile_evasion,0.25,0.25,,False,ppo_kalman,estimator_ablation_diagnostic_not_coequal,0.865333,0.818,0.902667,0.035226,,,,,,
hostile_evasion,0.5,0.5,,False,greedy,classical_reference_baseline,0.774,0.747058,0.798845,,,,,,,
hostile_evasion,0.5,0.5,,False,lead,strong_predictive_analytical_nominal_controller,0.875,0.853056,0.894074,,,,,,,
hostile_evasion,0.5,0.5,,False,lr_ppo,proposed_hybrid_method,0.882,0.862,0.900342,0.007483,0.7,-1.4,2.8333,-1.9667,-4.8667,1.1333
