environment_seed,outcome,success,soldier_caught,unsafe_intercept,timeout,total_steps,detection_step,detection_time_seconds,post_detection_steps,intercept_step,intercept_time_seconds,min_enemy_soldier_dist,physical_limit_violations,mean_tracking_error,final_tracking_error,tracking_rmse,n_tracking_samples,instance_id,instance_name,family,training_seed
72000,intercepted,1,0,0,0,580,31,15.5,549,580.0,290.0,3.017287254333496,0,1.142781750803644,0.8104387521743774,1.2351068952078714,550,greedy,greedy,Greedy,
72001,soldier_caught,0,1,0,0,236,89,44.5,147,,,1.9229141473770142,0,1.1675783979731638,0.4538385570049286,1.2646521439462493,148,greedy,greedy,Greedy,
72002,intercepted,1,0,0,0,352,11,5.5,341,352.0,176.0,4.8372802734375,0,1.1415216665257488,0.8364549875259399,1.2300512637231782,342,greedy,greedy,Greedy,
72003,intercepted,1,0,0,0,375,13,6.5,362,375.0,187.5,3.5810494422912598,0,1.1277786210877179,1.3367457389831543,1.224961067750497,363,greedy,greedy,Greedy,
72004,intercepted,1,0,0,0,209,16,8.0,193,209.0,104.5,3.363157272338867,0,1.092559841874334,1.2535579204559326,1.1808877849744306,194,greedy,greedy,Greedy,
72005,intercepted,1,0,0,0,624,36,18.0,588,624.0,312.0,6.709804534912109,0,1.1066377003296122,1.4218188524246216,1.2003271686689292,589,greedy,greedy,Greedy,
72006,intercepted,1,0,0,0,324,10,5.0,314,324.0,162.0,7.761953830718994,0,1.0926814284589557,1.9029695987701416,1.179520987208768,315,greedy,greedy,Greedy,
72007,intercepted,1,0,0,0,194,41,20.5,153,194.0,97.0,12.02856159210205,0,1.1233345871041347,1.6723161935806274,1.2150180418756458,154,greedy,greedy,Greedy,
72008,intercepted,1,0,0,0,406,20,10.0,386,406.0,203.0,7.377461910247803,0,1.1351022266371305,0.8414751291275024,1.2297346754912093,387,greedy,greedy,Greedy,
72009,intercepted,1,0,0,0,215,38,19.0,177,215.0,107.5,3.7906084060668945,0,1.168510264811221,0.7147760391235352,1.2643415452745748,178,greedy,greedy,Greedy,
72010,intercepted,1,0,0,0,101,9,4.5,92,101.0,50.5,7.773375988006592,0,1.2047598983651848,0.5221595168113708,1.3304227716910828,93,greedy,greedy,Greedy,
72011,intercepted,1,0,0,0,667,19,9.5,648,667.0,333.5,2.741825819015503,0,1.124705216711034,1.0992321968078613,1.2149464475230125,649,greedy,greedy,Greedy,
