environment_seed,outcome,success,soldier_caught,unsafe_intercept,timeout,total_steps,detection_step,detection_time_seconds,post_detection_steps,intercept_step,intercept_time_seconds,min_enemy_soldier_dist,physical_limit_violations,mean_tracking_error,final_tracking_error,tracking_rmse,n_tracking_samples,instance_id,instance_name,family,training_seed
72000,intercepted,1,0,0,0,174,31,15.5,143,174.0,87.0,9.203502655029297,0,1.2153452126723197,0.8557430505752563,1.296784600435845,144,lr_ppo_seed55,lr_ppo,LR-PPO,55
72001,intercepted,1,0,0,0,431,89,44.5,342,431.0,215.5,3.267970561981201,0,1.1606436155454063,1.0236728191375732,1.2543825922259737,343,lr_ppo_seed55,lr_ppo,LR-PPO,55
72002,intercepted,1,0,0,0,24,11,5.5,13,24.0,12.0,5.202489852905273,0,1.167764472109931,1.9393287897109985,1.2486627045796388,14,lr_ppo_seed55,lr_ppo,LR-PPO,55
72003,intercepted,1,0,0,0,182,13,6.5,169,182.0,91.0,7.327054023742676,0,1.107278911944698,0.6815446019172668,1.2016689148288924,170,lr_ppo_seed55,lr_ppo,LR-PPO,55
72004,intercepted,1,0,0,0,180,16,8.0,164,180.0,90.0,7.925369739532471,0,1.089308441678683,1.1361408233642578,1.184429269445369,165,lr_ppo_seed55,lr_ppo,LR-PPO,55
72005,intercepted,1,0,0,0,78,36,18.0,42,78.0,39.0,9.349967002868652,0,1.0410488084998242,0.9424969553947449,1.1439616653816744,43,lr_ppo_seed55,lr_ppo,LR-PPO,55
72006,intercepted,1,0,0,0,78,10,5.0,68,78.0,39.0,7.761953830718994,0,1.082156399021978,0.7779144644737244,1.175994292472182,69,lr_ppo_seed55,lr_ppo,LR-PPO,55
72007,intercepted,1,0,0,0,200,41,20.5,159,200.0,100.0,11.466485023498535,0,1.1195269820280374,0.9635723829269409,1.21296799004576,160,lr_ppo_seed55,lr_ppo,LR-PPO,55
72008,intercepted,1,0,0,0,414,20,10.0,394,414.0,207.0,7.339691638946533,0,1.1260796728013438,0.444010853767395,1.2215853492610924,395,lr_ppo_seed55,lr_ppo,LR-PPO,55
72009,intercepted,1,0,0,0,151,38,19.0,113,151.0,75.5,3.582054615020752,0,1.136626965578711,0.6368082165718079,1.2382341274772193,114,lr_ppo_seed55,lr_ppo,LR-PPO,55
72010,intercepted,1,0,0,0,41,9,4.5,32,41.0,20.5,7.351429462432861,0,1.2096987854350696,1.0948903560638428,1.3500506940237316,33,lr_ppo_seed55,lr_ppo,LR-PPO,55
72011,intercepted,1,0,0,0,201,19,9.5,182,201.0,100.5,13.225951194763184,0,1.163424514681915,0.6944848895072937,1.2616152040855706,183,lr_ppo_seed55,lr_ppo,LR-PPO,55
72012,intercepted,1,0,0,0,337,13,6.5,324,337.0,168.5,3.174881935119629,0,1.1120974201880969,0.9159783124923706,1.2050734386583328,325,lr_ppo_seed55,lr_ppo,LR-PPO,55
72013,intercepted,1,0,0,0,53,18,9.0,35,53.0,26.5,6.212053298950195,0,1.1302236285474565,2.658054828643799,1.2116827154259078,36,lr_ppo_seed55,lr_ppo,LR-PPO,55
72014,intercepted,1,0,0,0,41,8,4.0,33,41.0,20.5,13.135924339294434,0,1.1490931002532734,1.3758268356323242,1.1861340397501685,34,lr_ppo_seed55,lr_ppo,LR-PPO,55
72015,intercepted,1,0,0,0,75,20,10.0,55,75.0,37.5,7.342164039611816,0,1.0847825373389892,0.9871618747711182,1.1939211906708849,56,lr_ppo_seed55,lr_ppo,LR-PPO,55
72016,intercepted,1,0,0,0,98,12,6.0,86,98.0,49.0,10.535783767700195,0,1.1263006644687434,1.455958366394043,1.2133711286901965,87,lr_ppo_seed55,lr_ppo,LR-PPO,55
72017,intercepted,1,0,0,0,67,40,20.0,27,67.0,33.5,7.503127574920654,0,1.2347575106791087,0.798836350440979,1.3306737713776122,28,lr_ppo_seed55,lr_ppo,LR-PPO,55
72018,soldier_caught,0,1,0,0,51,8,4.0,43,,,1.026369571685791,0,1.0574518391354517,0.6652421951293945,1.214360592405451,44,lr_ppo_seed55,lr_ppo,LR-PPO,55
72019,intercepted,1,0,0,0,30,9,4.5,21,30.0,15.0,3.537470817565918,0,1.1653329174626956,1.285681128501892,1.2509988432637729,22,lr_ppo_seed55,lr_ppo,LR-PPO,55
72020,intercepted,1,0,0,0,48,9,4.5,39,48.0,24.0,4.4010138511657715,0,1.1077237896621228,0.23952218890190125,1.1919447549048194,40,lr_ppo_seed55,lr_ppo,LR-PPO,55
72021,soldier_caught,0,1,0,0,145,12,6.0,133,,,0.41844505071640015,0,1.0721340554752457,1.4536211490631104,1.1752617297535488,134,lr_ppo_seed55,lr_ppo,LR-PPO,55
72022,intercepted,1,0,0,0,35,11,5.5,24,35.0,17.5,8.583578109741211,0,1.2023424768447877,1.8098576068878174,1.257586577359234,25,lr_ppo_seed55,lr_ppo,LR-PPO,55
72023,intercepted,1,0,0,0,34,13,6.5,21,34.0,17.0,4.864892482757568,0,1.3083081299608403,0.7766729593276978,1.3896445666205128,22,lr_ppo_seed55,lr_ppo,LR-PPO,55
72024,intercepted,1,0,0,0,72,14,7.0,58,72.0,36.0,7.271769046783447,0,1.115860174015417,2.0516293048858643,1.2055393940347756,59,lr_ppo_seed55,lr_ppo,LR-PPO,55
72025,intercepted,1,0,0,0,239,32,16.0,207,239.0,119.5,7.03169059753418,0,1.1628452421954045,1.8236324787139893,1.2573019235809972,208,lr_ppo_seed55,lr_ppo,LR-PPO,55
72026,intercepted,1,0,0,0,184,8,4.0,176,184.0,92.0,3.089200019836426,0,1.1619893810422408,1.2659718990325928,1.2509111635542896,177,lr_ppo_seed55,lr_ppo,LR-PPO,55
72027,intercepted,1,0,0,0,261,15,7.5,246,261.0,130.5,4.482841968536377,0,1.128984505257867,1.234508752822876,1.2336584211833357,247,lr_ppo_seed55,lr_ppo,LR-PPO,55
72028,intercepted,1,0,0,0,408,15,7.5,393,408.0,204.0,2.121642827987671,0,1.1084182673904497,1.4985133409500122,1.2219821939624735,394,lr_ppo_seed55,lr_ppo,LR-PPO,55
72029,intercepted,1,0,0,0,78,10,5.0,68,78.0,39.0,3.388235092163086,0,1.1248971323172252,0.9145197868347168,1.2067920334452427,69,lr_ppo_seed55,lr_ppo,LR-PPO,55
72030,intercepted,1,0,0,0,269,25,12.5,244,269.0,134.5,11.659402847290039,0,1.138466228879228,0.5699918270111084,1.2275963326630965,245,lr_ppo_seed55,lr_ppo,LR-PPO,55
72031,intercepted,1,0,0,0,77,12,6.0,65,77.0,38.5,9.610709190368652,0,1.1313080408356406,1.0093271732330322,1.2315262971413667,66,lr_ppo_seed55,lr_ppo,LR-PPO,55
72032,intercepted,1,0,0,0,562,8,4.0,554,562.0,281.0,4.333177089691162,0,1.1199066299844433,0.517092764377594,1.2088850884477502,555,lr_ppo_seed55,lr_ppo,LR-PPO,55
72033,intercepted,1,0,0,0,44,8,4.0,36,44.0,22.0,8.334098815917969,0,1.1895560686652724,0.8091440796852112,1.3260618170411829,37,lr_ppo_seed55,lr_ppo,LR-PPO,55
72034,intercepted,1,0,0,0,245,10,5.0,235,245.0,122.5,2.2751827239990234,0,1.1342769405346806,2.1266510486602783,1.223600082659929,236,lr_ppo_seed55,lr_ppo,LR-PPO,55
72035,intercepted,1,0,0,0,141,9,4.5,132,141.0,70.5,11.055851936340332,0,1.10794763009351,1.4195188283920288,1.209185735289727,133,lr_ppo_seed55,lr_ppo,LR-PPO,55
72036,intercepted,1,0,0,0,13,12,6.0,1,13.0,6.5,4.959963798522949,0,1.3639833629131317,0.9051738381385803,1.439081927594001,2,lr_ppo_seed55,lr_ppo,LR-PPO,55
72037,intercepted,1,0,0,0,33,9,4.5,24,33.0,16.5,6.778585433959961,0,1.213223568201065,1.4327353239059448,1.3188685487878047,25,lr_ppo_seed55,lr_ppo,LR-PPO,55
72038,intercepted,1,0,0,0,250,11,5.5,239,250.0,125.0,5.397835731506348,0,1.0905024009756743,0.5288736820220947,1.1934110525650379,240,lr_ppo_seed55,lr_ppo,LR-PPO,55
72039,soldier_caught,0,1,0,0,13,11,5.5,2,,,1.7137458324432373,0,0.7182534635066986,1.0280673503875732,0.8102669369211302,3,lr_ppo_seed55,lr_ppo,LR-PPO,55
72040,intercepted,1,0,0,0,30,9,4.5,21,30.0,15.0,10.30984878540039,0,1.1745664057406513,1.8174899816513062,1.2487788365130903,22,lr_ppo_seed55,lr_ppo,LR-PPO,55
72041,intercepted,1,0,0,0,75,8,4.0,67,75.0,37.5,4.962496280670166,0,1.0557467207750852,1.0159937143325806,1.147078979220512,68,lr_ppo_seed55,lr_ppo,LR-PPO,55
72042,intercepted,1,0,0,0,88,64,32.0,24,88.0,44.0,8.632702827453613,0,1.0995008409023286,1.0710386037826538,1.2192706988087993,25,lr_ppo_seed55,lr_ppo,LR-PPO,55
72043,intercepted,1,0,0,0,78,13,6.5,65,78.0,39.0,4.353287220001221,0,1.1623983906977104,1.9369893074035645,1.2529279575634777,66,lr_ppo_seed55,lr_ppo,LR-PPO,55
72044,intercepted,1,0,0,0,131,28,14.0,103,131.0,65.5,6.355001926422119,0,1.172173816853991,1.2438007593154907,1.2731594684115122,104,lr_ppo_seed55,lr_ppo,LR-PPO,55
72045,intercepted,1,0,0,0,102,69,34.5,33,102.0,51.0,5.882429122924805,0,1.0910826825043733,2.3088533878326416,1.1831533638921659,34,lr_ppo_seed55,lr_ppo,LR-PPO,55
72046,intercepted,1,0,0,0,645,12,6.0,633,645.0,322.5,2.0357863903045654,0,1.1242361557361455,0.520710289478302,1.2158611927770744,634,lr_ppo_seed55,lr_ppo,LR-PPO,55
72047,intercepted,1,0,0,0,120,9,4.5,111,120.0,60.0,9.835807800292969,0,1.1926886110699602,0.8521792888641357,1.2871222780560285,112,lr_ppo_seed55,lr_ppo,LR-PPO,55
72048,intercepted,1,0,0,0,110,12,6.0,98,110.0,55.0,3.0145058631896973,0,1.1470036244753636,0.8002460598945618,1.234635463262649,99,lr_ppo_seed55,lr_ppo,LR-PPO,55
72049,intercepted,1,0,0,0,104,15,7.5,89,104.0,52.0,3.018056631088257,0,1.0027125134236283,0.34505438804626465,1.1195832939003318,90,lr_ppo_seed55,lr_ppo,LR-PPO,55
72050,intercepted,1,0,0,0,30,20,10.0,10,30.0,15.0,10.336782455444336,0,1.2710202146660199,0.43046966195106506,1.3766841815998203,11,lr_ppo_seed55,lr_ppo,LR-PPO,55
72051,soldier_caught,0,1,0,0,77,9,4.5,68,,,1.9246797561645508,0,1.114517028780951,0.7188329696655273,1.1917067955637897,69,lr_ppo_seed55,lr_ppo,LR-PPO,55
72052,intercepted,1,0,0,0,19,8,4.0,11,19.0,9.5,7.464381217956543,0,0.9226493611931801,1.2916940450668335,1.0280299654963263,12,lr_ppo_seed55,lr_ppo,LR-PPO,55
72053,intercepted,1,0,0,0,65,10,5.0,55,65.0,32.5,3.59173583984375,0,1.0441477234874452,0.6024954915046692,1.1415659119584878,56,lr_ppo_seed55,lr_ppo,LR-PPO,55
72054,intercepted,1,0,0,0,75,13,6.5,62,75.0,37.5,4.2868781089782715,0,1.0814994353623617,0.638914167881012,1.1815352350962598,63,lr_ppo_seed55,lr_ppo,LR-PPO,55
72055,intercepted,1,0,0,0,364,118,59.0,246,364.0,182.0,2.379429578781128,0,1.1596544057975413,1.4999921321868896,1.2395132734114267,247,lr_ppo_seed55,lr_ppo,LR-PPO,55
72056,intercepted,1,0,0,0,24,13,6.5,11,24.0,12.0,13.856907844543457,0,1.1999265477061272,0.9574767351150513,1.2672208733594594,12,lr_ppo_seed55,lr_ppo,LR-PPO,55
72057,unsafe_intercept,0,0,1,0,9,7,3.5,2,,,3.4841654300689697,0,1.317604700724284,1.5668398141860962,1.380550281648965,3,lr_ppo_seed55,lr_ppo,LR-PPO,55
72058,soldier_caught,0,1,0,0,11,9,4.5,2,,,1.9016425609588623,0,0.8747138977050781,0.6432845592498779,0.9473027867412048,3,lr_ppo_seed55,lr_ppo,LR-PPO,55
72059,intercepted,1,0,0,0,194,13,6.5,181,194.0,97.0,4.177865505218506,0,1.1297994617086191,1.2825961112976074,1.2274509195134145,182,lr_ppo_seed55,lr_ppo,LR-PPO,55
72060,intercepted,1,0,0,0,502,39,19.5,463,502.0,251.0,9.79649543762207,0,1.1281504396766682,0.48012128472328186,1.2175677237674054,464,lr_ppo_seed55,lr_ppo,LR-PPO,55
72061,intercepted,1,0,0,0,149,22,11.0,127,149.0,74.5,4.73424768447876,0,1.0826300459448248,1.0391536951065063,1.185431851258113,128,lr_ppo_seed55,lr_ppo,LR-PPO,55
72062,intercepted,1,0,0,0,23,12,6.0,11,23.0,11.5,9.142932891845703,0,1.2586643646160762,0.7931872010231018,1.3295704042778722,12,lr_ppo_seed55,lr_ppo,LR-PPO,55
72063,intercepted,1,0,0,0,98,10,5.0,88,98.0,49.0,9.460939407348633,0,1.1673608649982494,1.4623095989227295,1.2490736150400363,89,lr_ppo_seed55,lr_ppo,LR-PPO,55
72064,intercepted,1,0,0,0,32,8,4.0,24,32.0,16.0,9.484225273132324,0,1.005349566936493,0.8829516172409058,1.1147556828659957,25,lr_ppo_seed55,lr_ppo,LR-PPO,55
72065,intercepted,1,0,0,0,225,9,4.5,216,225.0,112.5,3.624939203262329,0,1.1766624121072655,1.0619317293167114,1.2706935337736625,217,lr_ppo_seed55,lr_ppo,LR-PPO,55
72066,soldier_caught,0,1,0,0,339,10,5.0,329,,,0.6238097548484802,0,1.1664505842508692,0.6875152587890625,1.261423668022097,330,lr_ppo_seed55,lr_ppo,LR-PPO,55
72067,intercepted,1,0,0,0,194,17,8.5,177,194.0,97.0,7.745020389556885,0,1.131848862834191,2.343804359436035,1.2348809622645307,178,lr_ppo_seed55,lr_ppo,LR-PPO,55
72068,intercepted,1,0,0,0,22,9,4.5,13,22.0,11.0,6.028022289276123,0,1.1594648574079787,0.6952763199806213,1.2653973360393038,14,lr_ppo_seed55,lr_ppo,LR-PPO,55
72069,intercepted,1,0,0,0,128,15,7.5,113,128.0,64.0,3.0124008655548096,0,1.1573542369562282,0.8281289935112,1.2711179275905482,114,lr_ppo_seed55,lr_ppo,LR-PPO,55
72070,intercepted,1,0,0,0,154,9,4.5,145,154.0,77.0,5.1765666007995605,0,1.1074448190119168,1.2997967004776,1.2004937409827838,146,lr_ppo_seed55,lr_ppo,LR-PPO,55
72071,intercepted,1,0,0,0,36,34,17.0,2,36.0,18.0,6.4434614181518555,0,0.568983127673467,0.3840678632259369,0.5907674143586071,3,lr_ppo_seed55,lr_ppo,LR-PPO,55
72072,intercepted,1,0,0,0,89,9,4.5,80,89.0,44.5,6.021018981933594,0,1.0954187002814846,0.3640100061893463,1.1922363714629676,81,lr_ppo_seed55,lr_ppo,LR-PPO,55
72073,intercepted,1,0,0,0,97,15,7.5,82,97.0,48.5,6.730015754699707,0,1.1909208387495525,0.33427852392196655,1.2921430450794475,83,lr_ppo_seed55,lr_ppo,LR-PPO,55
72074,soldier_caught,0,1,0,0,192,12,6.0,180,,,1.5396195650100708,0,1.0798681290274825,0.9554750323295593,1.1627425425097535,181,lr_ppo_seed55,lr_ppo,LR-PPO,55
72075,intercepted,1,0,0,0,427,12,6.0,415,427.0,213.5,3.685910701751709,0,1.1422796427594641,2.633486270904541,1.2420037372754513,416,lr_ppo_seed55,lr_ppo,LR-PPO,55
72076,intercepted,1,0,0,0,513,19,9.5,494,513.0,256.5,3.1218881607055664,0,1.1167651236358316,0.8492820262908936,1.2144091931011982,495,lr_ppo_seed55,lr_ppo,LR-PPO,55
72077,unsafe_intercept,0,0,1,0,371,40,20.0,331,,,2.5743191242218018,0,1.1350971483681576,0.85540372133255,1.2281886630791543,332,lr_ppo_seed55,lr_ppo,LR-PPO,55
72078,intercepted,1,0,0,0,97,13,6.5,84,97.0,48.5,9.999292373657227,0,1.0537960646783604,0.6920779347419739,1.1499749823016607,85,lr_ppo_seed55,lr_ppo,LR-PPO,55
72079,intercepted,1,0,0,0,298,8,4.0,290,298.0,149.0,2.472287178039551,0,1.138218151232631,0.954512357711792,1.2354638516983756,291,lr_ppo_seed55,lr_ppo,LR-PPO,55
