environment_seed,outcome,success,soldier_caught,unsafe_intercept,timeout,total_steps,detection_step,detection_time_seconds,post_detection_steps,intercept_step,intercept_time_seconds,min_enemy_soldier_dist,physical_limit_violations,mean_tracking_error,final_tracking_error,tracking_rmse,n_tracking_samples,instance_id,instance_name,family,training_seed
72000,intercepted,1,0,0,0,253,31,15.5,222,253.0,126.5,8.894166946411133,0,1.1819465872017259,1.2559152841567993,1.261631639684844,223,pn,pn,PN,
72001,intercepted,1,0,0,0,560,89,44.5,471,560.0,280.0,3.3474557399749756,0,1.1532845227837056,1.5776182413101196,1.2463503301937162,472,pn,pn,PN,
72002,intercepted,1,0,0,0,26,11,5.5,15,26.0,13.0,5.199606895446777,0,1.1796475686132908,1.5011353492736816,1.2532775709912043,16,pn,pn,PN,
72003,intercepted,1,0,0,0,180,13,6.5,167,180.0,90.0,7.714773654937744,0,1.1048812283469098,0.94679194688797,1.1983855013330473,168,pn,pn,PN,
72004,intercepted,1,0,0,0,609,16,8.0,593,609.0,304.5,2.4244167804718018,0,1.1057570479584462,0.8452771306037903,1.195375425900456,594,pn,pn,PN,
72005,intercepted,1,0,0,0,646,36,18.0,610,646.0,323.0,6.410619735717773,0,1.110593949403437,1.1660116910934448,1.2045773365939083,611,pn,pn,PN,
72006,intercepted,1,0,0,0,351,10,5.0,341,351.0,175.5,4.031033992767334,0,1.0869545004608339,0.8262999057769775,1.1740962607358907,342,pn,pn,PN,
72007,intercepted,1,0,0,0,241,41,20.5,200,241.0,120.5,3.9196484088897705,0,1.1343312796891032,1.045203685760498,1.2279404787817563,201,pn,pn,PN,
72008,intercepted,1,0,0,0,658,20,10.0,638,658.0,329.0,7.388910293579102,0,1.142344703510147,0.7615201473236084,1.2386460674945339,639,pn,pn,PN,
72009,intercepted,1,0,0,0,533,38,19.0,495,533.0,266.5,2.166409492492676,0,1.1177420278770789,0.8609960675239563,1.2066427749640878,496,pn,pn,PN,
