environment_seed,outcome,success,soldier_caught,unsafe_intercept,timeout,total_steps,detection_step,detection_time_seconds,post_detection_steps,intercept_step,intercept_time_seconds,min_enemy_soldier_dist,physical_limit_violations,mean_tracking_error,final_tracking_error,tracking_rmse,n_tracking_samples,instance_id,instance_name,family,training_seed
72000,intercepted,1,0,0,0,217,31,15.5,186,217.0,108.5,4.251406669616699,0,2.5914444075548713,2.803999185562134,2.683859415354797,187,ppo_kalman_seed47,ppo_kalman,PPO-Kalman,47
72001,intercepted,1,0,0,0,95,89,44.5,6,95.0,47.5,14.625273704528809,0,1.4051827022007533,2.1591110229492188,1.4594434880464786,7,ppo_kalman_seed47,ppo_kalman,PPO-Kalman,47
72002,intercepted,1,0,0,0,116,11,5.5,105,116.0,58.0,2.3108785152435303,0,2.2443245778668603,1.8483961820602417,2.3771783579861174,106,ppo_kalman_seed47,ppo_kalman,PPO-Kalman,47
72003,intercepted,1,0,0,0,38,13,6.5,25,38.0,19.0,12.743758201599121,0,2.5730230315373492,2.660003662109375,2.6826200286290747,26,ppo_kalman_seed47,ppo_kalman,PPO-Kalman,47
72004,intercepted,1,0,0,0,384,16,8.0,368,384.0,192.0,2.6596035957336426,0,2.5192650437839634,2.8127105236053467,2.629136849346586,369,ppo_kalman_seed47,ppo_kalman,PPO-Kalman,47
72005,intercepted,1,0,0,0,134,36,18.0,98,134.0,67.0,9.34931468963623,0,2.5100358363353843,2.1116445064544678,2.615663399683506,99,ppo_kalman_seed47,ppo_kalman,PPO-Kalman,47
72006,soldier_caught,0,1,0,0,764,10,5.0,754,,,0.9917446374893188,0,2.7014085360710194,2.585000991821289,2.765646341005493,755,ppo_kalman_seed47,ppo_kalman,PPO-Kalman,47
72007,intercepted,1,0,0,0,118,41,20.5,77,118.0,59.0,12.440481185913086,0,2.5995821815270643,1.8541001081466675,2.683709081407948,78,ppo_kalman_seed47,ppo_kalman,PPO-Kalman,47
72008,intercepted,1,0,0,0,121,20,10.0,101,121.0,60.5,11.3305025100708,0,2.6743028041194465,2.734142303466797,2.760235923589688,102,ppo_kalman_seed47,ppo_kalman,PPO-Kalman,47
72009,intercepted,1,0,0,0,84,38,19.0,46,84.0,42.0,13.320027351379395,0,2.50960477742743,2.7773962020874023,2.603821483945343,47,ppo_kalman_seed47,ppo_kalman,PPO-Kalman,47
72010,intercepted,1,0,0,0,43,9,4.5,34,43.0,21.5,7.748952865600586,0,2.548440194129944,1.9627916812896729,2.6390528782924703,35,ppo_kalman_seed47,ppo_kalman,PPO-Kalman,47
72011,intercepted,1,0,0,0,79,19,9.5,60,79.0,39.5,14.40047836303711,0,2.780874318763858,2.981964588165283,2.860576729183941,61,ppo_kalman_seed47,ppo_kalman,PPO-Kalman,47
72012,intercepted,1,0,0,0,18,13,6.5,5,18.0,9.0,11.684247016906738,0,1.2716825405756633,2.0111117362976074,1.3179302014447047,6,ppo_kalman_seed47,ppo_kalman,PPO-Kalman,47
72013,soldier_caught,0,1,0,0,73,18,9.0,55,,,1.5206173658370972,0,2.517406314611435,3.613351345062256,2.6289313519393747,56,ppo_kalman_seed47,ppo_kalman,PPO-Kalman,47
72014,intercepted,1,0,0,0,912,8,4.0,904,912.0,456.0,3.1375949382781982,0,2.5872007919938524,2.442988395690918,2.6669572241261714,905,ppo_kalman_seed47,ppo_kalman,PPO-Kalman,47
72015,intercepted,1,0,0,0,45,20,10.0,25,45.0,22.5,9.042535781860352,0,2.246337115764618,2.0607845783233643,2.4416119439863335,26,ppo_kalman_seed47,ppo_kalman,PPO-Kalman,47
72016,intercepted,1,0,0,0,197,12,6.0,185,197.0,98.5,9.1675386428833,0,2.641530274063028,3.331965208053589,2.7240619610335615,186,ppo_kalman_seed47,ppo_kalman,PPO-Kalman,47
72017,intercepted,1,0,0,0,135,40,20.0,95,135.0,67.5,2.123621702194214,0,2.54745427146554,2.457106828689575,2.677655478443249,96,ppo_kalman_seed47,ppo_kalman,PPO-Kalman,47
72018,soldier_caught,0,1,0,0,51,8,4.0,43,,,1.552583932876587,0,2.4515385173938493,2.7194857597351074,2.565448268207971,44,ppo_kalman_seed47,ppo_kalman,PPO-Kalman,47
