environment_seed,outcome,success,soldier_caught,unsafe_intercept,timeout,total_steps,detection_step,detection_time_seconds,post_detection_steps,intercept_step,intercept_time_seconds,min_enemy_soldier_dist,physical_limit_violations,mean_tracking_error,final_tracking_error,tracking_rmse,n_tracking_samples,optimizer_fallback_count,measurement_fallback_count,lead_init_count,pursuit_init_count,n_policy_calls,n_post_detection_decisions,instance_id,instance_name,family,training_seed
72000,intercepted,1,0,0,0,588,31,15.5,557,588.0,294.0,3.1896610260009766,0,1.142591832279091,1.1573964357376099,1.2349245085540863,558,0,0,556,1,588,557,rmpc,rmpc,RMPC,
72001,soldier_caught,0,1,0,0,259,89,44.5,170,,,0.7775886058807373,0,1.160962243962009,0.631438136100769,1.2573124289342286,171,0,0,169,1,259,170,rmpc,rmpc,RMPC,
72002,soldier_caught,0,1,0,0,95,11,5.5,84,,,1.5818482637405396,0,1.1172460133538527,1.1285808086395264,1.2062567895451972,85,0,0,83,1,95,84,rmpc,rmpc,RMPC,
72003,soldier_caught,0,1,0,0,295,13,6.5,282,,,1.7161509990692139,0,1.125973338373137,0.36497318744659424,1.2207042163110111,283,0,0,281,1,295,282,rmpc,rmpc,RMPC,
72004,intercepted,1,0,0,0,509,16,8.0,493,509.0,254.5,2.7950758934020996,0,1.1159797775660931,1.360224723815918,1.2048173455638347,494,0,0,492,1,509,493,rmpc,rmpc,RMPC,
72005,intercepted,1,0,0,0,606,36,18.0,570,606.0,303.0,6.694406509399414,0,1.103503776932765,0.424900084733963,1.1967734804586998,571,0,0,569,1,606,570,rmpc,rmpc,RMPC,
72006,intercepted,1,0,0,0,387,10,5.0,377,387.0,193.5,2.2902896404266357,0,1.0852231829175873,0.6763989329338074,1.1713847561776052,378,0,0,376,1,387,377,rmpc,rmpc,RMPC,
72007,intercepted,1,0,0,0,379,41,20.5,338,379.0,189.5,6.500485897064209,0,1.1082056570457497,0.9783105850219727,1.2018407213600375,339,0,0,337,1,379,338,rmpc,rmpc,RMPC,
72008,intercepted,1,0,0,0,423,20,10.0,403,423.0,211.5,7.39997673034668,0,1.124188383321951,1.0166913270950317,1.2185582730778142,404,0,0,402,1,423,403,rmpc,rmpc,RMPC,
72009,intercepted,1,0,0,0,191,38,19.0,153,191.0,95.5,3.7862253189086914,0,1.144780977496079,0.7058925628662109,1.2410959380178528,154,0,0,152,1,191,153,rmpc,rmpc,RMPC,
