instance,family,training_seed,n,successes,success_rate,success_ci_low,success_ci_high,soldier_caught_rate,unsafe_intercept_rate,timeout_rate,mean_post_detection_steps,mean_intercept_time_if_success
greedy,Greedy,,5000,3956,0.7912,0.7797125070105357,0.8022403833766631,0.2012,0.0074,0.0002,260.0378,144.4855915065723
pn,PN,,5000,3796,0.7592,0.7471524968198194,0.770849526491863,0.2294,0.011,0.0004,261.7688,144.9463909378293
lead,Lead,,5000,4338,0.8676,0.8579228075281451,0.8767127780018491,0.1214,0.011,0.0,155.4984,89.50103734439834
ppo_seed45,PPO,45.0,5000,4443,0.8886,0.879579065540288,0.8970242765080136,0.0976,0.0138,0.0,132.1298,76.80193562907945
ppo_seed46,PPO,46.0,5000,4465,0.893,0.88412824555205,0.9012683407191351,0.0858,0.0212,0.0,110.7552,66.41836506159015
ppo_seed47,PPO,47.0,5000,4205,0.841,0.8306028858921046,0.8508735413813664,0.146,0.013,0.0,115.6128,66.81569560047562
ppo_kalman_seed45,PPO-Kalman,45.0,5000,4242,0.8484,0.8381921404144832,0.8580729248702013,0.1322,0.0194,0.0,102.3878,62.207331447430455
ppo_kalman_seed46,PPO-Kalman,46.0,5000,3968,0.7936,0.7821585585959068,0.8045906468219557,0.1722,0.0342,0.0,170.267,98.80178931451613
ppo_kalman_seed47,PPO-Kalman,47.0,5000,4304,0.8608,0.8509279441829278,0.870118082093519,0.1312,0.008,0.0,128.247,74.48513011152416
lr_ppo_seed55,LR-PPO,55.0,5000,4479,0.8958,0.8870255213935774,0.9039667657467156,0.0938,0.0104,0.0,120.5446,71.58595668676044
lr_ppo_seed56,LR-PPO,56.0,5000,4469,0.8938,0.884955848710996,0.9020395092370771,0.097,0.0092,0.0,120.9188,71.56589841127769
lr_ppo_seed57,LR-PPO,57.0,5000,4467,0.8934,0.8845420283263423,0.9016539437832867,0.097,0.0096,0.0,119.6156,71.15222744571301
rmpc,RMPC,,5000,4102,0.8204,0.8095155765937146,0.8307924799998928,0.1664,0.0132,0.0,220.1866,123.47391516333496
