environment_seed,outcome,success,soldier_caught,unsafe_intercept,timeout,total_steps,detection_step,detection_time_seconds,post_detection_steps,intercept_step,intercept_time_seconds,min_enemy_soldier_dist,physical_limit_violations,mean_tracking_error,final_tracking_error,tracking_rmse,n_tracking_samples,instance_id,instance_name,family,training_seed
77000,intercepted,1,0,0,0,127,15,7.5,112,127.0,63.5,3.0106394290924072,0,1.1180466967346394,0.7080640196800232,1.21649648418965,113,greedy,greedy,Greedy,
77001,intercepted,1,0,0,0,25,23,11.5,2,25.0,12.5,4.8678812980651855,0,1.171428124109904,1.6648527383804321,1.233222311274038,3,greedy,greedy,Greedy,
77002,intercepted,1,0,0,0,141,17,8.5,124,141.0,70.5,2.007298707962036,0,1.0843903048038483,0.5357409715652466,1.1807723388717057,125,greedy,greedy,Greedy,
77003,intercepted,1,0,0,0,63,15,7.5,48,63.0,31.5,3.8722448348999023,0,1.193279327178488,1.195953369140625,1.2838443507300419,49,greedy,greedy,Greedy,
77004,intercepted,1,0,0,0,17,15,7.5,2,17.0,8.5,7.235613822937012,0,0.7806859016418457,0.6984719634056091,0.7884766847054978,3,greedy,greedy,Greedy,
77005,soldier_caught,0,1,0,0,71,18,9.0,53,,,1.1858322620391846,0,1.132824441349065,1.1505964994430542,1.2781524229972634,54,greedy,greedy,Greedy,
77006,intercepted,1,0,0,0,25,23,11.5,2,25.0,12.5,7.491713047027588,0,1.722633163134257,1.313657283782959,1.7475840930858009,3,greedy,greedy,Greedy,
77007,intercepted,1,0,0,0,19,17,8.5,2,19.0,9.5,5.462061405181885,0,1.0349521537621815,0.48733803629875183,1.105032573826875,3,greedy,greedy,Greedy,
77008,intercepted,1,0,0,0,13,11,5.5,2,13.0,6.5,6.619446754455566,0,0.9563594659169515,1.2012308835983276,0.9801889580515429,3,greedy,greedy,Greedy,
77009,soldier_caught,0,1,0,0,169,27,13.5,142,,,1.4236125946044922,0,1.1289606817535587,1.6910468339920044,1.230565812936553,143,greedy,greedy,Greedy,
77010,intercepted,1,0,0,0,177,18,9.0,159,177.0,88.5,2.403668165206909,0,1.1523689214140176,1.2031402587890625,1.2366096995954754,160,greedy,greedy,Greedy,
77011,soldier_caught,0,1,0,0,83,20,10.0,63,,,1.6499401330947876,0,1.0229175899876282,0.6985342502593994,1.1163388187608567,64,greedy,greedy,Greedy,
77012,intercepted,1,0,0,0,20,18,9.0,2,20.0,10.0,6.496737003326416,0,0.9890944163004557,1.215389609336853,1.0066432533186123,3,greedy,greedy,Greedy,
77013,intercepted,1,0,0,0,174,18,9.0,156,174.0,87.0,2.248990297317505,0,1.0647541778102803,0.9755023717880249,1.1603649294441447,157,greedy,greedy,Greedy,
77014,intercepted,1,0,0,0,109,14,7.0,95,109.0,54.5,3.4061076641082764,0,1.0449690086146195,1.3543930053710938,1.117209525247147,96,greedy,greedy,Greedy,
77015,soldier_caught,0,1,0,0,15,12,6.0,3,,,1.621589183807373,0,1.0929387658834457,0.8213210105895996,1.1238725461341246,4,greedy,greedy,Greedy,
77016,soldier_caught,0,1,0,0,33,13,6.5,20,,,0.8697490692138672,0,1.2323579149586814,1.90452241897583,1.3773179317337993,21,greedy,greedy,Greedy,
77017,intercepted,1,0,0,0,353,21,10.5,332,353.0,176.5,2.1236910820007324,0,1.17347349119079,0.7838375568389893,1.255351398804179,333,greedy,greedy,Greedy,
77018,soldier_caught,0,1,0,0,25,19,9.5,6,,,0.6448822617530823,0,1.3723974909101213,1.0525976419448853,1.411033723072282,7,greedy,greedy,Greedy,
77019,soldier_caught,0,1,0,0,18,14,7.0,4,,,1.947044849395752,0,1.2687536954879761,2.2408392429351807,1.3681359361956218,5,greedy,greedy,Greedy,
77020,soldier_caught,0,1,0,0,184,16,8.0,168,,,1.5346481800079346,0,1.1367027372915364,0.4824940264225006,1.226956821386047,169,greedy,greedy,Greedy,
77021,soldier_caught,0,1,0,0,76,19,9.5,57,,,1.182627558708191,0,1.2298103555523117,1.6564257144927979,1.3323401730684743,58,greedy,greedy,Greedy,
77022,soldier_caught,0,1,0,0,119,24,12.0,95,,,1.8972527980804443,0,1.1490482399240136,0.9076334238052368,1.265871093300986,96,greedy,greedy,Greedy,
77023,intercepted,1,0,0,0,317,19,9.5,298,317.0,158.5,2.306534767150879,0,1.1017495719684804,1.6412485837936401,1.1996787791410086,299,greedy,greedy,Greedy,
77024,soldier_caught,0,1,0,0,78,26,13.0,52,,,1.863183856010437,0,1.1781452205383554,1.6530983448028564,1.2741293341080728,53,greedy,greedy,Greedy,
77025,soldier_caught,0,1,0,0,52,29,14.5,23,,,0.8699759840965271,0,1.3463224843144417,1.2612920999526978,1.4325795567111577,24,greedy,greedy,Greedy,
77026,intercepted,1,0,0,0,149,15,7.5,134,149.0,74.5,3.089465379714966,0,1.198547136562842,0.5314725041389465,1.3070030236511871,135,greedy,greedy,Greedy,
77027,intercepted,1,0,0,0,159,28,14.0,131,159.0,79.5,3.8936376571655273,0,1.1263161320803743,1.1696244478225708,1.2191610068669851,132,greedy,greedy,Greedy,
77028,soldier_caught,0,1,0,0,60,14,7.0,46,,,1.2576524019241333,0,1.2643219999810482,1.2274553775787354,1.3126824150709127,47,greedy,greedy,Greedy,
77029,soldier_caught,0,1,0,0,74,20,10.0,54,,,1.4931538105010986,0,1.1438886068084024,1.7142060995101929,1.2339018590586104,55,greedy,greedy,Greedy,
77030,soldier_caught,0,1,0,0,48,13,6.5,35,,,0.9325329661369324,0,1.199509095814493,0.5055704116821289,1.2783373942436673,36,greedy,greedy,Greedy,
77031,intercepted,1,0,0,0,63,16,8.0,47,63.0,31.5,5.318981647491455,0,1.1524346799900134,0.9517689943313599,1.2647345100111893,48,greedy,greedy,Greedy,
77032,intercepted,1,0,0,0,21,19,9.5,2,21.0,10.5,4.734748363494873,0,1.1494315663973491,1.5215396881103516,1.2264337592089216,3,greedy,greedy,Greedy,
77033,intercepted,1,0,0,0,20,18,9.0,2,20.0,10.0,9.412948608398438,0,1.4369584719340007,0.7975900769233704,1.7194309461477055,3,greedy,greedy,Greedy,
77034,intercepted,1,0,0,0,125,13,6.5,112,125.0,62.5,3.763275146484375,0,1.0926238574021685,1.8931753635406494,1.1988966950794282,113,greedy,greedy,Greedy,
77035,soldier_caught,0,1,0,0,100,19,9.5,81,,,1.9810032844543457,0,1.1071927185829094,1.262790322303772,1.2192969542091578,82,greedy,greedy,Greedy,
77036,soldier_caught,0,1,0,0,98,17,8.5,81,,,1.2778586149215698,0,1.1272435969695813,0.38145893812179565,1.199692882778793,82,greedy,greedy,Greedy,
77037,soldier_caught,0,1,0,0,78,18,9.0,60,,,1.9232906103134155,0,1.147495994802381,1.0959430932998657,1.2234003425282427,61,greedy,greedy,Greedy,
77038,soldier_caught,0,1,0,0,150,16,8.0,134,,,1.6128414869308472,0,1.1206491031028607,2.09883189201355,1.2136447602603166,135,greedy,greedy,Greedy,
77039,soldier_caught,0,1,0,0,26,22,11.0,4,,,0.7442401647567749,0,1.4148488640785217,0.8807910084724426,1.4792090960627076,5,greedy,greedy,Greedy,
77040,intercepted,1,0,0,0,108,16,8.0,92,108.0,54.0,2.5443508625030518,0,1.1035416619752043,0.7521339654922485,1.1758863768074634,93,greedy,greedy,Greedy,
77041,soldier_caught,0,1,0,0,43,23,11.5,20,,,1.5158895254135132,0,1.037195766255969,1.838781714439392,1.155006760090275,21,greedy,greedy,Greedy,
77042,intercepted,1,0,0,0,14,12,6.0,2,14.0,7.0,5.719781398773193,0,1.2983131408691406,1.9264742136001587,1.3746199430368433,3,greedy,greedy,Greedy,
77043,intercepted,1,0,0,0,48,23,11.5,25,48.0,24.0,3.6386682987213135,0,1.1965163871645927,0.719379723072052,1.2911433603055635,26,greedy,greedy,Greedy,
77044,soldier_caught,0,1,0,0,238,22,11.0,216,,,1.7697235345840454,0,1.1540119230472548,0.5280662178993225,1.2503732800049123,217,greedy,greedy,Greedy,
77045,intercepted,1,0,0,0,21,19,9.5,2,21.0,10.5,5.380349159240723,0,1.179284503062566,0.47758832573890686,1.2813015227241968,3,greedy,greedy,Greedy,
77046,soldier_caught,0,1,0,0,76,20,10.0,56,,,1.4356145858764648,0,1.1843838124421604,1.2157726287841797,1.2786882488913773,57,greedy,greedy,Greedy,
77047,intercepted,1,0,0,0,103,13,6.5,90,103.0,51.5,3.578122615814209,0,1.0744137637890303,0.8318777084350586,1.1745876431379187,91,greedy,greedy,Greedy,
77048,soldier_caught,0,1,0,0,63,27,13.5,36,,,1.3810343742370605,0,1.1856837200151908,1.0970789194107056,1.2899207732094162,37,greedy,greedy,Greedy,
77049,intercepted,1,0,0,0,23,21,10.5,2,23.0,11.5,7.784238338470459,0,1.6974947055180867,1.6274144649505615,1.7950405231096076,3,greedy,greedy,Greedy,
77050,intercepted,1,0,0,0,15,13,6.5,2,15.0,7.5,7.310850143432617,0,1.1870951056480408,1.4962029457092285,1.2434966494933044,3,greedy,greedy,Greedy,
