environment_seed,outcome,success,soldier_caught,unsafe_intercept,timeout,total_steps,detection_step,detection_time_seconds,post_detection_steps,intercept_step,intercept_time_seconds,min_enemy_soldier_dist,physical_limit_violations,mean_tracking_error,final_tracking_error,tracking_rmse,n_tracking_samples,instance_id,instance_name,family,training_seed
77000,intercepted,1,0,0,0,374,15,7.5,359,374.0,187.0,2.799213171005249,0,1.1016298004322582,0.11588005721569061,1.198600382984286,360,lead,lead,Lead,
77001,intercepted,1,0,0,0,25,23,11.5,2,25.0,12.5,4.8678812980651855,0,1.171428124109904,1.6648527383804321,1.233222311274038,3,lead,lead,Lead,
77002,soldier_caught,0,1,0,0,43,17,8.5,26,,,1.822930097579956,0,1.0275167182639793,1.049687385559082,1.0899918525551318,27,lead,lead,Lead,
77003,soldier_caught,0,1,0,0,115,15,7.5,100,,,1.192370891571045,0,1.1791134152081932,1.3383969068527222,1.2762484905575375,101,lead,lead,Lead,
77004,intercepted,1,0,0,0,17,15,7.5,2,17.0,8.5,7.235613822937012,0,0.7806859016418457,0.6984719634056091,0.7884766847054978,3,lead,lead,Lead,
77005,soldier_caught,0,1,0,0,184,18,9.0,166,,,0.5128086805343628,0,1.1241389736979308,0.530153214931488,1.2459597158195934,167,lead,lead,Lead,
77006,intercepted,1,0,0,0,25,23,11.5,2,25.0,12.5,7.491713047027588,0,1.722633163134257,1.313657283782959,1.7475840930858009,3,lead,lead,Lead,
77007,intercepted,1,0,0,0,19,17,8.5,2,19.0,9.5,5.462061405181885,0,1.0349521537621815,0.48733803629875183,1.105032573826875,3,lead,lead,Lead,
77008,intercepted,1,0,0,0,13,11,5.5,2,13.0,6.5,6.619446754455566,0,0.9563594659169515,1.2012308835983276,0.9801889580515429,3,lead,lead,Lead,
77009,soldier_caught,0,1,0,0,113,27,13.5,86,,,0.9941437244415283,0,1.1184814221214974,1.3049061298370361,1.223506177916532,87,lead,lead,Lead,
77010,soldier_caught,0,1,0,0,203,18,9.0,185,,,1.4239665269851685,0,1.1441137701753648,1.4429489374160767,1.2282073273911904,186,lead,lead,Lead,
77011,soldier_caught,0,1,0,0,83,20,10.0,63,,,1.7369235754013062,0,1.0229175802087411,0.6985343098640442,1.116338805993718,64,lead,lead,Lead,
77012,intercepted,1,0,0,0,20,18,9.0,2,20.0,10.0,6.496737003326416,0,0.9890944163004557,1.215389609336853,1.0066432533186123,3,lead,lead,Lead,
77013,intercepted,1,0,0,0,195,18,9.0,177,195.0,97.5,2.028881788253784,0,1.086075012687217,0.9398559927940369,1.1812183639235823,178,lead,lead,Lead,
77014,soldier_caught,0,1,0,0,195,14,7.0,181,,,1.0101102590560913,0,1.0899422943264574,1.133353590965271,1.1735174652577323,182,lead,lead,Lead,
77015,intercepted,1,0,0,0,14,12,6.0,2,14.0,7.0,5.6950812339782715,0,1.183478017648061,0.9429594874382019,1.2079996961064847,3,lead,lead,Lead,
77016,soldier_caught,0,1,0,0,33,13,6.5,20,,,0.8058401346206665,0,1.232357926311947,1.90452241897583,1.3773179389529937,21,lead,lead,Lead,
77017,intercepted,1,0,0,0,208,21,10.5,187,208.0,104.0,2.1450130939483643,0,1.1991859206018296,1.0738354921340942,1.282210649113114,188,lead,lead,Lead,
77018,soldier_caught,0,1,0,0,25,19,9.5,6,,,0.30964797735214233,0,1.3723975590297155,1.0525976419448853,1.4110337647444693,7,lead,lead,Lead,
77019,soldier_caught,0,1,0,0,18,14,7.0,4,,,1.9335930347442627,0,1.2687536954879761,2.2408392429351807,1.3681359361956218,5,lead,lead,Lead,
77020,soldier_caught,0,1,0,0,184,16,8.0,168,,,1.1742628812789917,0,1.1367027335882893,0.482494056224823,1.2269568184269786,169,lead,lead,Lead,
77021,soldier_caught,0,1,0,0,76,19,9.5,57,,,1.0663344860076904,0,1.2298103699396397,1.6564257144927979,1.3323401905336214,58,lead,lead,Lead,
77022,soldier_caught,0,1,0,0,119,24,12.0,95,,,1.8364224433898926,0,1.1490482448910673,0.9076334238052368,1.265871096541537,96,lead,lead,Lead,
77023,intercepted,1,0,0,0,293,19,9.5,274,293.0,146.5,2.398101568222046,0,1.1074547387253155,0.7017477750778198,1.2082255537113975,275,lead,lead,Lead,
77024,soldier_caught,0,1,0,0,78,26,13.0,52,,,1.964503526687622,0,1.1781452076052719,1.6530983448028564,1.274129319917871,53,lead,lead,Lead,
77025,soldier_caught,0,1,0,0,52,29,14.5,23,,,1.0361658334732056,0,1.3463224843144417,1.2612920999526978,1.4325795567111577,24,lead,lead,Lead,
77026,intercepted,1,0,0,0,111,15,7.5,96,111.0,55.5,3.278189182281494,0,1.188557871223725,1.172924280166626,1.2994908366574938,97,lead,lead,Lead,
77027,intercepted,1,0,0,0,85,28,14.0,57,85.0,42.5,3.8942818641662598,0,1.0911571406598748,1.2888442277908325,1.169117176599504,58,lead,lead,Lead,
77028,soldier_caught,0,1,0,0,60,14,7.0,46,,,1.0961296558380127,0,1.2643219999810482,1.227455496788025,1.3126824169014768,47,lead,lead,Lead,
77029,soldier_caught,0,1,0,0,74,20,10.0,54,,,1.9820917844772339,0,1.1438886100595647,1.7142060995101929,1.233901865401654,55,lead,lead,Lead,
77030,soldier_caught,0,1,0,0,48,13,6.5,35,,,0.9739850759506226,0,1.1995091272725,0.5055704116821289,1.278337424651791,36,lead,lead,Lead,
77031,intercepted,1,0,0,0,131,16,8.0,115,131.0,65.5,3.9576730728149414,0,1.1550596168842808,0.5819661617279053,1.2570306642537805,116,lead,lead,Lead,
77032,intercepted,1,0,0,0,21,19,9.5,2,21.0,10.5,4.734748363494873,0,1.1494315663973491,1.5215396881103516,1.2264337592089216,3,lead,lead,Lead,
77033,intercepted,1,0,0,0,20,18,9.0,2,20.0,10.0,9.412948608398438,0,1.4369584719340007,0.7975900769233704,1.7194309461477055,3,lead,lead,Lead,
77034,intercepted,1,0,0,0,80,13,6.5,67,80.0,40.0,3.7068850994110107,0,1.0848356967463213,1.822472095489502,1.1877283430183312,68,lead,lead,Lead,
77035,intercepted,1,0,0,0,151,19,9.5,132,151.0,75.5,2.3123679161071777,0,1.08023632547461,0.8045476675033569,1.1850651556203167,133,lead,lead,Lead,
77036,intercepted,1,0,0,0,62,17,8.5,45,62.0,31.0,4.0329155921936035,0,1.151181878603023,1.4461780786514282,1.213893904972926,46,lead,lead,Lead,
77037,soldier_caught,0,1,0,0,78,18,9.0,60,,,1.6247680187225342,0,1.1474959943138185,1.0959430932998657,1.2234003484351754,61,lead,lead,Lead,
77038,intercepted,1,0,0,0,57,16,8.0,41,57.0,28.5,6.275031566619873,0,1.0729123793897175,0.8644634485244751,1.1605892946287546,42,lead,lead,Lead,
77039,soldier_caught,0,1,0,0,26,22,11.0,4,,,1.7440037727355957,0,1.4148488759994506,0.8807910680770874,1.4792091031609922,5,lead,lead,Lead,
77040,intercepted,1,0,0,0,169,16,8.0,153,169.0,84.5,2.543186664581299,0,1.0986875109858327,1.342007040977478,1.1910856258655393,154,lead,lead,Lead,
77041,soldier_caught,0,1,0,0,43,23,11.5,20,,,1.5065345764160156,0,1.0371957690942855,1.838781714439392,1.155006766309555,21,lead,lead,Lead,
77042,intercepted,1,0,0,0,14,12,6.0,2,14.0,7.0,5.719781398773193,0,1.2983131408691406,1.9264742136001587,1.3746199430368433,3,lead,lead,Lead,
77043,soldier_caught,0,1,0,0,52,23,11.5,29,,,1.9243484735488892,0,1.2232196147243182,1.2895363569259644,1.308820706355202,30,lead,lead,Lead,
77044,soldier_caught,0,1,0,0,363,22,11.0,341,,,1.6889746189117432,0,1.1415923640611227,1.2058085203170776,1.2416210105626688,342,lead,lead,Lead,
77045,intercepted,1,0,0,0,21,19,9.5,2,21.0,10.5,5.380349159240723,0,1.179284503062566,0.47758832573890686,1.2813015227241968,3,lead,lead,Lead,
77046,intercepted,1,0,0,0,75,20,10.0,55,75.0,37.5,2.511652946472168,0,1.1838232925427812,1.3197267055511475,1.2797836332572292,56,lead,lead,Lead,
77047,soldier_caught,0,1,0,0,167,13,6.5,154,,,0.9796261191368103,0,1.0997655923328091,1.0701298713684082,1.20008365084781,155,lead,lead,Lead,
77048,soldier_caught,0,1,0,0,63,27,13.5,36,,,1.3234809637069702,0,1.1856836732980367,1.0970789194107056,1.2899207001558224,37,lead,lead,Lead,
77049,intercepted,1,0,0,0,23,21,10.5,2,23.0,11.5,7.784238338470459,0,1.6974947055180867,1.6274144649505615,1.7950405231096076,3,lead,lead,Lead,
77050,intercepted,1,0,0,0,15,13,6.5,2,15.0,7.5,7.310850143432617,0,1.1870951056480408,1.4962029457092285,1.2434966494933044,3,lead,lead,Lead,
77051,soldier_caught,0,1,0,0,80,22,11.0,58,,,1.0712509155273438,0,1.0846806592860465,1.916553258895874,1.1610795585367155,59,lead,lead,Lead,
77052,soldier_caught,0,1,0,0,186,21,10.5,165,,,1.2116336822509766,0,1.1627241180513996,1.2939296960830688,1.2666781744814124,166,lead,lead,Lead,
77053,intercepted,1,0,0,0,18,16,8.0,2,18.0,9.0,7.195418357849121,0,1.4116122722625732,1.251924991607666,1.4253721268936765,3,lead,lead,Lead,
77054,intercepted,1,0,0,0,445,15,7.5,430,445.0,222.5,2.5825469493865967,0,1.158588029496078,1.2057100534439087,1.25553924565708,431,lead,lead,Lead,
77055,intercepted,1,0,0,0,62,16,8.0,46,62.0,31.0,6.694493293762207,0,1.2003281864714115,1.0623067617416382,1.2814291521316485,47,lead,lead,Lead,
77056,soldier_caught,0,1,0,0,495,18,9.0,477,,,1.762751817703247,0,1.116722400467765,1.7189936637878418,1.2127003745910874,478,lead,lead,Lead,
77057,intercepted,1,0,0,0,342,16,8.0,326,342.0,171.0,2.2666311264038086,0,1.1004862168786722,0.8894364833831787,1.2062765577726104,327,lead,lead,Lead,
77058,intercepted,1,0,0,0,61,15,7.5,46,61.0,30.5,8.129136085510254,0,1.109520453087827,0.728622317314148,1.171727212952947,47,lead,lead,Lead,
77059,soldier_caught,0,1,0,0,40,16,8.0,24,,,0.6768039464950562,0,1.0466068720817565,1.1554718017578125,1.154053251860019,25,lead,lead,Lead,
77060,soldier_caught,0,1,0,0,173,21,10.5,152,,,1.8488157987594604,0,1.0182642042636871,0.4152328073978424,1.1046650333935761,153,lead,lead,Lead,
77061,intercepted,1,0,0,0,13,11,5.5,2,13.0,6.5,4.744757175445557,0,0.97407066822052,1.0080137252807617,0.9877062842828398,3,lead,lead,Lead,
77062,intercepted,1,0,0,0,106,21,10.5,85,106.0,53.0,2.6759841442108154,0,1.2103245272192844,1.242030382156372,1.3087862991341015,86,lead,lead,Lead,
77063,soldier_caught,0,1,0,0,171,12,6.0,159,,,1.0794076919555664,0,1.0823647525161504,0.5381531715393066,1.1744319475714595,160,lead,lead,Lead,
77064,intercepted,1,0,0,0,16,14,7.0,2,16.0,8.0,7.116299629211426,0,1.5947336753209431,1.0030395984649658,1.6489539192080398,3,lead,lead,Lead,
77065,soldier_caught,0,1,0,0,41,17,8.5,24,,,0.8708117008209229,0,1.4215073430538177,1.2695846557617188,1.5139212262440809,25,lead,lead,Lead,
77066,soldier_caught,0,1,0,0,197,15,7.5,182,,,1.7101575136184692,0,1.0691125322886503,0.6316351890563965,1.164272339481222,183,lead,lead,Lead,
77067,soldier_caught,0,1,0,0,115,21,10.5,94,,,0.48577582836151123,0,1.18468452660661,1.9054659605026245,1.2996151413134815,95,lead,lead,Lead,
77068,soldier_caught,0,1,0,0,85,14,7.0,71,,,1.4480879306793213,0,1.1269897899279993,0.8819672465324402,1.215033625005199,72,lead,lead,Lead,
77069,intercepted,1,0,0,0,197,16,8.0,181,197.0,98.5,2.375906467437744,0,1.2234339878618061,1.7657532691955566,1.3153165909106508,182,lead,lead,Lead,
77070,intercepted,1,0,0,0,16,14,7.0,2,16.0,8.0,7.091348648071289,0,1.3957688013712566,1.3461627960205078,1.425389921091749,3,lead,lead,Lead,
77071,intercepted,1,0,0,0,19,17,8.5,2,19.0,9.5,8.302875518798828,0,0.7441940307617188,1.4502925872802734,0.9087691098521079,3,lead,lead,Lead,
