environment_seed,outcome,success,soldier_caught,unsafe_intercept,timeout,total_steps,detection_step,detection_time_seconds,post_detection_steps,intercept_step,intercept_time_seconds,min_enemy_soldier_dist,physical_limit_violations,mean_tracking_error,final_tracking_error,tracking_rmse,n_tracking_samples,instance_id,instance_name,family,training_seed
77000,soldier_caught,0,1,0,0,379,15,7.5,364,,,1.1161390542984009,0,1.1032740574789375,1.802210807800293,1.1996789501579197,365,lr_ppo_seed57,lr_ppo,LR-PPO,57
77001,intercepted,1,0,0,0,47,23,11.5,24,47.0,23.5,2.98649001121521,0,1.0708448696136474,1.258610486984253,1.148258001563732,25,lr_ppo_seed57,lr_ppo,LR-PPO,57
77002,soldier_caught,0,1,0,0,43,17,8.5,26,,,1.578170657157898,0,1.0275167072260822,1.0496877431869507,1.0899918382638192,27,lr_ppo_seed57,lr_ppo,LR-PPO,57
77003,intercepted,1,0,0,0,18,15,7.5,3,18.0,9.0,12.207104682922363,0,0.7315064147114754,0.9200044274330139,0.7583039625492698,4,lr_ppo_seed57,lr_ppo,LR-PPO,57
77004,intercepted,1,0,0,0,17,15,7.5,2,17.0,8.5,7.235313415527344,0,0.7806859016418457,0.6984719634056091,0.7884766847054978,3,lr_ppo_seed57,lr_ppo,LR-PPO,57
77005,soldier_caught,0,1,0,0,184,18,9.0,166,,,0.9386221170425415,0,1.1241389769993857,0.530153214931488,1.2459597230184012,167,lr_ppo_seed57,lr_ppo,LR-PPO,57
77006,intercepted,1,0,0,0,25,23,11.5,2,25.0,12.5,7.507089614868164,0,1.722633163134257,1.313657283782959,1.7475840930858009,3,lr_ppo_seed57,lr_ppo,LR-PPO,57
77007,soldier_caught,0,1,0,0,88,17,8.5,71,,,1.610671043395996,0,1.1787320588611894,1.4811296463012695,1.281526640089802,72,lr_ppo_seed57,lr_ppo,LR-PPO,57
77008,intercepted,1,0,0,0,13,11,5.5,2,13.0,6.5,6.617441654205322,0,0.9563594659169515,1.2012308835983276,0.9801889580515429,3,lr_ppo_seed57,lr_ppo,LR-PPO,57
77009,intercepted,1,0,0,0,53,27,13.5,26,53.0,26.5,4.667941570281982,0,1.2518209130675704,0.2660512328147888,1.3496452905911343,27,lr_ppo_seed57,lr_ppo,LR-PPO,57
77010,intercepted,1,0,0,0,43,18,9.0,25,43.0,21.5,3.2100422382354736,0,1.2312880502297328,1.806031346321106,1.328191962975976,26,lr_ppo_seed57,lr_ppo,LR-PPO,57
77011,soldier_caught,0,1,0,0,261,20,10.0,241,,,0.7462252974510193,0,1.0870540772279924,2.0529890060424805,1.1842775281406224,242,lr_ppo_seed57,lr_ppo,LR-PPO,57
77012,intercepted,1,0,0,0,41,18,9.0,23,41.0,20.5,2.259752035140991,0,0.9669887144118547,1.4868446588516235,1.0485893689740562,24,lr_ppo_seed57,lr_ppo,LR-PPO,57
77013,intercepted,1,0,0,0,20,18,9.0,2,20.0,10.0,7.12496280670166,0,1.239104986190796,1.0173656940460205,1.2643537851713067,3,lr_ppo_seed57,lr_ppo,LR-PPO,57
77014,intercepted,1,0,0,0,168,14,7.0,154,168.0,84.0,4.327695846557617,0,1.091043471905493,0.9238187074661255,1.1753105567172057,155,lr_ppo_seed57,lr_ppo,LR-PPO,57
77015,soldier_caught,0,1,0,0,15,12,6.0,3,,,1.650931715965271,0,1.0929387658834457,0.8213210105895996,1.1238725461341246,4,lr_ppo_seed57,lr_ppo,LR-PPO,57
77016,soldier_caught,0,1,0,0,33,13,6.5,20,,,0.836538553237915,0,1.232357958952586,1.90452241897583,1.377317975234639,21,lr_ppo_seed57,lr_ppo,LR-PPO,57
77017,intercepted,1,0,0,0,112,21,10.5,91,112.0,56.0,4.144315719604492,0,1.2094037688296775,0.972855269908905,1.2886041833891475,92,lr_ppo_seed57,lr_ppo,LR-PPO,57
77018,soldier_caught,0,1,0,0,25,19,9.5,6,,,0.6238558888435364,0,1.3723975590297155,1.0525976419448853,1.4110337647444693,7,lr_ppo_seed57,lr_ppo,LR-PPO,57
77019,soldier_caught,0,1,0,0,18,14,7.0,4,,,1.8998647928237915,0,1.2687536954879761,2.2408392429351807,1.3681359361956218,5,lr_ppo_seed57,lr_ppo,LR-PPO,57
77020,soldier_caught,0,1,0,0,246,16,8.0,230,,,0.7137119770050049,0,1.134547168397026,1.203885555267334,1.226280925012876,231,lr_ppo_seed57,lr_ppo,LR-PPO,57
77021,soldier_caught,0,1,0,0,76,19,9.5,57,,,0.6175401210784912,0,1.2298103719949722,1.656425952911377,1.3323401986961314,58,lr_ppo_seed57,lr_ppo,LR-PPO,57
77022,intercepted,1,0,0,0,131,24,12.0,107,131.0,65.5,3.1228225231170654,0,1.1324104474926437,1.5158437490463257,1.2454517804581717,108,lr_ppo_seed57,lr_ppo,LR-PPO,57
77023,intercepted,1,0,0,0,246,19,9.5,227,246.0,123.0,2.4696643352508545,0,1.1131764621588223,0.7124752402305603,1.2163671096119866,228,lr_ppo_seed57,lr_ppo,LR-PPO,57
77024,intercepted,1,0,0,0,29,26,13.0,3,29.0,14.5,11.721196174621582,0,1.3231158405542374,1.8711895942687988,1.4027005957320846,4,lr_ppo_seed57,lr_ppo,LR-PPO,57
77025,soldier_caught,0,1,0,0,65,29,14.5,36,,,1.969114899635315,0,1.2968320186073716,1.9027116298675537,1.3969343798820268,37,lr_ppo_seed57,lr_ppo,LR-PPO,57
