environment_seed,outcome,success,soldier_caught,unsafe_intercept,timeout,total_steps,detection_step,detection_time_seconds,post_detection_steps,intercept_step,intercept_time_seconds,min_enemy_soldier_dist,physical_limit_violations,mean_tracking_error,final_tracking_error,tracking_rmse,n_tracking_samples,instance_id,instance_name,family,training_seed
77000,intercepted,1,0,0,0,310,15,7.5,295,310.0,155.0,2.392009973526001,0,1.0994805262197513,0.7049984335899353,1.1908132326696261,296,pn,pn,PN,
77001,intercepted,1,0,0,0,25,23,11.5,2,25.0,12.5,4.8678812980651855,0,1.171428124109904,1.6648527383804321,1.233222311274038,3,pn,pn,PN,
77002,intercepted,1,0,0,0,19,17,8.5,2,19.0,9.5,8.129119873046875,0,1.1437911589940388,1.1127671003341675,1.1571812214607384,3,pn,pn,PN,
77003,soldier_caught,0,1,0,0,115,15,7.5,100,,,1.191561222076416,0,1.1791134270110932,1.3383969068527222,1.2762485002179964,101,pn,pn,PN,
77004,intercepted,1,0,0,0,17,15,7.5,2,17.0,8.5,7.235613822937012,0,0.7806859016418457,0.6984719634056091,0.7884766847054978,3,pn,pn,PN,
77005,soldier_caught,0,1,0,0,184,18,9.0,166,,,1.2307127714157104,0,1.1241389613843964,0.530153214931488,1.245959704925724,167,pn,pn,PN,
77006,intercepted,1,0,0,0,25,23,11.5,2,25.0,12.5,7.491713047027588,0,1.722633163134257,1.313657283782959,1.7475840930858009,3,pn,pn,PN,
77007,intercepted,1,0,0,0,19,17,8.5,2,19.0,9.5,5.462061405181885,0,1.0349521537621815,0.48733803629875183,1.105032573826875,3,pn,pn,PN,
77008,intercepted,1,0,0,0,13,11,5.5,2,13.0,6.5,6.619446754455566,0,0.9563594659169515,1.2012308835983276,0.9801889580515429,3,pn,pn,PN,
77009,soldier_caught,0,1,0,0,113,27,13.5,86,,,1.0422804355621338,0,1.118481418695943,1.3049061298370361,1.2235061733186514,87,pn,pn,PN,
77010,soldier_caught,0,1,0,0,216,18,9.0,198,,,1.4731810092926025,0,1.147806597714448,2.0365166664123535,1.2391409237545374,199,pn,pn,PN,
