environment_seed,outcome,success,soldier_caught,unsafe_intercept,timeout,total_steps,detection_step,detection_time_seconds,post_detection_steps,intercept_step,intercept_time_seconds,min_enemy_soldier_dist,physical_limit_violations,mean_tracking_error,final_tracking_error,tracking_rmse,n_tracking_samples,instance_id,instance_name,family,training_seed
77000,intercepted,1,0,0,0,95,15,7.5,80,95.0,47.5,2.673856735229492,0,2.3607391412427394,1.450715184211731,2.4680283084982255,81,ppo_kalman_seed46,ppo_kalman,PPO-Kalman,46
77001,intercepted,1,0,0,0,120,23,11.5,97,120.0,60.0,2.4041388034820557,0,2.172741870490872,2.2953805923461914,2.28512836775731,98,ppo_kalman_seed46,ppo_kalman,PPO-Kalman,46
77002,intercepted,1,0,0,0,65,17,8.5,48,65.0,32.5,2.202812433242798,0,2.073583345023953,1.7242648601531982,2.196481582942276,49,ppo_kalman_seed46,ppo_kalman,PPO-Kalman,46
77003,soldier_caught,0,1,0,0,133,15,7.5,118,,,1.7167538404464722,0,2.3332481249039914,2.2950618267059326,2.4344344824997157,119,ppo_kalman_seed46,ppo_kalman,PPO-Kalman,46
77004,intercepted,1,0,0,0,224,15,7.5,209,224.0,112.0,3.686898708343506,0,2.3732754202116104,2.932492256164551,2.4563830458993308,210,ppo_kalman_seed46,ppo_kalman,PPO-Kalman,46
77005,intercepted,1,0,0,0,155,18,9.0,137,155.0,77.5,3.7472939491271973,0,2.4478849202826405,2.8096816539764404,2.5273284609384334,138,ppo_kalman_seed46,ppo_kalman,PPO-Kalman,46
77006,soldier_caught,0,1,0,0,27,23,11.5,4,,,1.6996821165084839,0,1.2805106520652771,0.6176998615264893,1.4142375728751846,5,ppo_kalman_seed46,ppo_kalman,PPO-Kalman,46
77007,intercepted,1,0,0,0,166,17,8.5,149,166.0,83.0,2.800370216369629,0,2.2875267295042674,2.8219597339630127,2.3912640199009902,150,ppo_kalman_seed46,ppo_kalman,PPO-Kalman,46
77008,intercepted,1,0,0,0,19,11,5.5,8,19.0,9.5,3.545361042022705,0,1.4500042001406352,2.538418769836426,1.558569686413465,9,ppo_kalman_seed46,ppo_kalman,PPO-Kalman,46
77009,intercepted,1,0,0,0,60,27,13.5,33,60.0,30.0,5.46322774887085,0,1.8038383319097406,2.1256794929504395,1.9880807272132788,34,ppo_kalman_seed46,ppo_kalman,PPO-Kalman,46
77010,soldier_caught,0,1,0,0,40,18,9.0,22,,,0.6251599192619324,0,2.1892038842906123,2.83284854888916,2.3460078300374145,23,ppo_kalman_seed46,ppo_kalman,PPO-Kalman,46
77011,intercepted,1,0,0,0,39,20,10.0,19,39.0,19.5,3.5397045612335205,0,2.0531348675489425,2.828857421875,2.1990929620005915,20,ppo_kalman_seed46,ppo_kalman,PPO-Kalman,46
77012,intercepted,1,0,0,0,72,18,9.0,54,72.0,36.0,2.4616973400115967,0,1.9299124121665954,3.6723413467407227,2.056512956912268,55,ppo_kalman_seed46,ppo_kalman,PPO-Kalman,46
77013,intercepted,1,0,0,0,54,18,9.0,36,54.0,27.0,6.585079193115234,0,1.8596019648216866,2.448368787765503,2.0114071329833525,37,ppo_kalman_seed46,ppo_kalman,PPO-Kalman,46
77014,intercepted,1,0,0,0,132,14,7.0,118,132.0,66.0,3.3802011013031006,0,2.1150482797823034,1.8828314542770386,2.2609349576843294,119,ppo_kalman_seed46,ppo_kalman,PPO-Kalman,46
77015,soldier_caught,0,1,0,0,30,12,6.0,18,,,1.365523099899292,0,1.9569062120036076,2.833777666091919,2.1524155271618843,19,ppo_kalman_seed46,ppo_kalman,PPO-Kalman,46
77016,soldier_caught,0,1,0,0,33,13,6.5,20,,,1.9591889381408691,0,2.1818090081214905,0.6220226883888245,2.412966915354145,21,ppo_kalman_seed46,ppo_kalman,PPO-Kalman,46
77017,soldier_caught,0,1,0,0,147,21,10.5,126,,,1.1876506805419922,0,2.392988874217657,2.7846734523773193,2.479973003257549,127,ppo_kalman_seed46,ppo_kalman,PPO-Kalman,46
77018,soldier_caught,0,1,0,0,25,19,9.5,6,,,0.870087742805481,0,1.5101737805775233,2.1351795196533203,1.5451040998153902,7,ppo_kalman_seed46,ppo_kalman,PPO-Kalman,46
77019,intercepted,1,0,0,0,33,14,7.0,19,33.0,16.5,2.1186022758483887,0,1.5779372945427894,2.1092283725738525,1.702653575805526,20,ppo_kalman_seed46,ppo_kalman,PPO-Kalman,46
77020,intercepted,1,0,0,0,37,16,8.0,21,37.0,18.5,5.935399532318115,0,2.372173645279624,1.8169500827789307,2.5072714367032667,22,ppo_kalman_seed46,ppo_kalman,PPO-Kalman,46
77021,intercepted,1,0,0,0,39,19,9.5,20,39.0,19.5,6.934703826904297,0,2.13100532690684,2.801250457763672,2.3154413039344965,21,ppo_kalman_seed46,ppo_kalman,PPO-Kalman,46
