environment_seed,outcome,success,soldier_caught,unsafe_intercept,timeout,total_steps,detection_step,detection_time_seconds,post_detection_steps,intercept_step,intercept_time_seconds,min_enemy_soldier_dist,physical_limit_violations,mean_tracking_error,final_tracking_error,tracking_rmse,n_tracking_samples,instance_id,instance_name,family,training_seed
77000,soldier_caught,0,1,0,0,379,15,7.5,364,,,1.1254533529281616,0,1.1032740559684087,1.802210807800293,1.199678945910004,365,ppo_seed45,ppo,PPO,45
77001,intercepted,1,0,0,0,25,23,11.5,2,25.0,12.5,4.813319206237793,0,1.171428124109904,1.6648527383804321,1.233222311274038,3,ppo_seed45,ppo,PPO,45
77002,soldier_caught,0,1,0,0,94,17,8.5,77,,,1.5800141096115112,0,1.0578839981403105,0.7798368334770203,1.1630916519485566,78,ppo_seed45,ppo,PPO,45
77003,intercepted,1,0,0,0,83,15,7.5,68,83.0,41.5,3.261536121368408,0,1.1341568503690802,0.4517456591129303,1.2386541805453817,69,ppo_seed45,ppo,PPO,45
77004,soldier_caught,0,1,0,0,77,15,7.5,62,,,1.8172913789749146,0,1.181860869366025,1.2635565996170044,1.2692592554267603,63,ppo_seed45,ppo,PPO,45
77005,unsafe_intercept,0,0,1,0,223,18,9.0,205,,,2.289827585220337,0,1.1505974312719789,0.8122194409370422,1.2643375661713023,206,ppo_seed45,ppo,PPO,45
77006,intercepted,1,0,0,0,145,23,11.5,122,145.0,72.5,3.049774646759033,0,1.0901009824460115,1.0971908569335938,1.1904757494607432,123,ppo_seed45,ppo,PPO,45
77007,intercepted,1,0,0,0,205,17,8.5,188,205.0,102.5,2.729875087738037,0,1.1705979753738989,0.5777347683906555,1.2730188678039227,189,ppo_seed45,ppo,PPO,45
77008,intercepted,1,0,0,0,112,11,5.5,101,112.0,56.0,3.3527750968933105,0,1.1787750761882931,1.6546424627304077,1.2510923253752104,102,ppo_seed45,ppo,PPO,45
77009,intercepted,1,0,0,0,30,27,13.5,3,30.0,15.0,8.135069847106934,0,1.589084655046463,1.7030823230743408,1.6150782731761795,4,ppo_seed45,ppo,PPO,45
77010,soldier_caught,0,1,0,0,209,18,9.0,191,,,1.59310781955719,0,1.1556170729454607,0.30711689591407776,1.2446994549954105,192,ppo_seed45,ppo,PPO,45
77011,soldier_caught,0,1,0,0,84,20,10.0,64,,,1.4880330562591553,0,1.0256123633338854,1.1980775594711304,1.1176416218514278,65,ppo_seed45,ppo,PPO,45
77012,intercepted,1,0,0,0,247,18,9.0,229,247.0,123.5,2.301603078842163,0,1.1032100190934928,0.5420791506767273,1.1939454997136447,230,ppo_seed45,ppo,PPO,45
77013,soldier_caught,0,1,0,0,117,18,9.0,99,,,1.249436616897583,0,1.094118410050869,1.557883620262146,1.1802308802745194,100,ppo_seed45,ppo,PPO,45
77014,soldier_caught,0,1,0,0,197,14,7.0,183,,,0.5743929743766785,0,1.0888699072048715,0.87052321434021,1.1717566721512493,184,ppo_seed45,ppo,PPO,45
77015,soldier_caught,0,1,0,0,30,12,6.0,18,,,0.8616975545883179,0,1.1230851945124174,1.2629244327545166,1.1890557958952923,19,ppo_seed45,ppo,PPO,45
77016,soldier_caught,0,1,0,0,33,13,6.5,20,,,0.7927118539810181,0,1.2323579475993203,1.90452241897583,1.377317953338379,21,ppo_seed45,ppo,PPO,45
77017,soldier_caught,0,1,0,0,643,21,10.5,622,,,0.9800275564193726,0,1.1565697661228778,1.1809409856796265,1.2419206099440732,623,ppo_seed45,ppo,PPO,45
77018,soldier_caught,0,1,0,0,25,19,9.5,6,,,1.1424856185913086,0,1.3723974909101213,1.0525976419448853,1.411033723072282,7,ppo_seed45,ppo,PPO,45
77019,soldier_caught,0,1,0,0,234,14,7.0,220,,,1.8837335109710693,0,1.1317037360161137,0.7025631070137024,1.2241257811999697,221,ppo_seed45,ppo,PPO,45
77020,intercepted,1,0,0,0,81,16,8.0,65,81.0,40.5,6.80735969543457,0,1.1783068717429133,0.8684459328651428,1.2730131495613537,66,ppo_seed45,ppo,PPO,45
77021,soldier_caught,0,1,0,0,76,19,9.5,57,,,0.9529989361763,0,1.2298103565799778,1.6564257144927979,1.3323401758683338,58,ppo_seed45,ppo,PPO,45
77022,soldier_caught,0,1,0,0,142,24,12.0,118,,,1.6856194734573364,0,1.1207632979675501,1.157110571861267,1.2300156240708902,119,ppo_seed45,ppo,PPO,45
77023,intercepted,1,0,0,0,181,19,9.5,162,181.0,90.5,2.7037479877471924,0,1.08721099144842,1.3909096717834473,1.193591729703577,163,ppo_seed45,ppo,PPO,45
77024,soldier_caught,0,1,0,0,78,26,13.0,52,,,1.9147824048995972,0,1.1781451929852647,1.653098464012146,1.274129303868315,53,ppo_seed45,ppo,PPO,45
77025,soldier_caught,0,1,0,0,65,29,14.5,36,,,1.7452057600021362,0,1.296832020218308,1.9027118682861328,1.3969343889069852,37,ppo_seed45,ppo,PPO,45
77026,intercepted,1,0,0,0,425,15,7.5,410,425.0,212.5,2.2687184810638428,0,1.156243705510223,0.7455375790596008,1.2533948537009951,411,ppo_seed45,ppo,PPO,45
77027,intercepted,1,0,0,0,310,28,14.0,282,310.0,155.0,2.2914395332336426,0,1.1250999912672246,0.9349316954612732,1.2194946222324794,283,ppo_seed45,ppo,PPO,45
77028,soldier_caught,0,1,0,0,136,14,7.0,122,,,1.3659271001815796,0,1.191383959558921,1.7548397779464722,1.2646285144920955,123,ppo_seed45,ppo,PPO,45
77029,soldier_caught,0,1,0,0,74,20,10.0,54,,,1.902692437171936,0,1.1438885948874733,1.7142060995101929,1.2339018546758103,55,ppo_seed45,ppo,PPO,45
77030,soldier_caught,0,1,0,0,48,13,6.5,35,,,0.8796430826187134,0,1.199509107404285,0.5055704116821289,1.2783374015938214,36,ppo_seed45,ppo,PPO,45
77031,soldier_caught,0,1,0,0,230,16,8.0,214,,,1.6533194780349731,0,1.1306328029133552,1.3344337940216064,1.224315030200834,215,ppo_seed45,ppo,PPO,45
77032,intercepted,1,0,0,0,174,19,9.5,155,174.0,87.0,2.315239906311035,0,1.1555934695479197,0.6365797519683838,1.2473342066077218,156,ppo_seed45,ppo,PPO,45
77033,soldier_caught,0,1,0,0,145,18,9.0,127,,,0.3058594763278961,0,1.149480405030772,0.8359683156013489,1.2488120503174278,128,ppo_seed45,ppo,PPO,45
77034,intercepted,1,0,0,0,130,13,6.5,117,130.0,65.0,4.45309591293335,0,1.0904220510589875,0.8265848159790039,1.1965573300148309,118,ppo_seed45,ppo,PPO,45
77035,soldier_caught,0,1,0,0,100,19,9.5,81,,,1.8543131351470947,0,1.1071926996838757,1.2627902030944824,1.2192969367045228,82,ppo_seed45,ppo,PPO,45
77036,intercepted,1,0,0,0,101,17,8.5,84,101.0,50.5,2.5276598930358887,0,1.1213436196832096,0.41647830605506897,1.1942516011300124,85,ppo_seed45,ppo,PPO,45
77037,soldier_caught,0,1,0,0,78,18,9.0,60,,,1.0886576175689697,0,1.1474959669543094,1.0959430932998657,1.2234003121880537,61,ppo_seed45,ppo,PPO,45
77038,soldier_caught,0,1,0,0,117,16,8.0,101,,,1.433058261871338,0,1.1064136481168223,0.8423907160758972,1.1940273441754754,102,ppo_seed45,ppo,PPO,45
77039,soldier_caught,0,1,0,0,151,22,11.0,129,,,1.434489130973816,0,1.103604194178031,1.111738681793213,1.1938291721546028,130,ppo_seed45,ppo,PPO,45
