environment_seed,outcome,success,soldier_caught,unsafe_intercept,timeout,total_steps,detection_step,detection_time_seconds,post_detection_steps,intercept_step,intercept_time_seconds,min_enemy_soldier_dist,physical_limit_violations,mean_tracking_error,final_tracking_error,tracking_rmse,n_tracking_samples,optimizer_fallback_count,measurement_fallback_count,lead_init_count,pursuit_init_count,n_policy_calls,n_post_detection_decisions,instance_id,instance_name,family,training_seed
77000,intercepted,1,0,0,0,52,15,7.5,37,52.0,26.0,6.749577522277832,0,1.1181849319683879,1.2798569202423096,1.215038867358146,38,0,0,36,1,52,37,rmpc,rmpc,RMPC,
77001,intercepted,1,0,0,0,25,23,11.5,2,25.0,12.5,4.810616970062256,0,1.171428124109904,1.6648527383804321,1.233222311274038,3,0,0,1,1,25,2,rmpc,rmpc,RMPC,
77002,intercepted,1,0,0,0,67,17,8.5,50,67.0,33.5,3.843869209289551,0,1.0472047945447998,0.39916354417800903,1.1313650608722707,51,0,0,49,1,67,50,rmpc,rmpc,RMPC,
77003,intercepted,1,0,0,0,48,15,7.5,33,48.0,24.0,5.8327250480651855,0,1.150549417909454,0.5464732646942139,1.2545412563524394,34,0,0,32,1,48,33,rmpc,rmpc,RMPC,
77004,intercepted,1,0,0,0,17,15,7.5,2,17.0,8.5,7.235352993011475,0,0.7806859016418457,0.6984719634056091,0.7884766847054978,3,0,0,1,1,17,2,rmpc,rmpc,RMPC,
77005,intercepted,1,0,0,0,46,18,9.0,28,46.0,23.0,6.558273792266846,0,1.0050327623712605,1.245700478553772,1.1445906260797205,29,0,0,27,1,46,28,rmpc,rmpc,RMPC,
77006,soldier_caught,0,1,0,0,219,23,11.5,196,,,0.8498435020446777,0,1.1214666598793215,1.0212234258651733,1.2188868148063678,197,0,0,195,1,219,196,rmpc,rmpc,RMPC,
77007,soldier_caught,0,1,0,0,88,17,8.5,71,,,0.9869890809059143,0,1.1787320191247597,1.4811296463012695,1.281526610514158,72,0,0,70,1,88,71,rmpc,rmpc,RMPC,
77008,intercepted,1,0,0,0,20,11,5.5,9,20.0,10.0,3.6708993911743164,0,1.248489397764206,0.831379234790802,1.327341062938975,10,0,0,8,1,20,9,rmpc,rmpc,RMPC,
77009,intercepted,1,0,0,0,30,27,13.5,3,30.0,15.0,8.110726356506348,0,1.589084655046463,1.7030823230743408,1.6150782731761795,4,0,0,2,1,30,3,rmpc,rmpc,RMPC,
