instance,family,training_seed,n,successes,success_rate,success_ci_low,success_ci_high,soldier_caught_rate,unsafe_intercept_rate,timeout_rate,mean_post_detection_steps,mean_intercept_time_if_success
greedy,Greedy,,1000,528,0.528,0.4970108021953935,0.5587748993294154,0.462,0.01,0.0,83.153,43.27462121212121
pn,PN,,1000,321,0.321,0.2927964857623614,0.3505734937754673,0.672,0.007,0.0,118.456,41.30373831775701
lead,Lead,,1000,497,0.497,0.4660816352651897,0.5279413252857236,0.493,0.01,0.0,92.814,39.269617706237426
ppo_seed45,PPO,45.0,1000,441,0.441,0.4105106415843448,0.47194091591695075,0.551,0.008,0.0,93.345,55.81972789115646
ppo_seed46,PPO,46.0,1000,405,0.405,0.37499439177359234,0.43573269233866313,0.588,0.007,0.0,99.322,60.53950617283951
ppo_seed47,PPO,47.0,1000,381,0.381,0.35141031362749775,0.4115004548920643,0.609,0.01,0.0,91.358,58.72309711286089
ppo_kalman_seed45,PPO-Kalman,45.0,1000,456,0.456,0.42535751292751345,0.4869792418192155,0.538,0.006,0.0,86.494,56.47478070175438
ppo_kalman_seed46,PPO-Kalman,46.0,1000,652,0.652,0.6219460655735375,0.6808905998468539,0.333,0.015,0.0,49.525,33.60889570552147
ppo_kalman_seed47,PPO-Kalman,47.0,1000,362,0.362,0.33279441286747335,0.39226177247453986,0.634,0.004,0.0,95.442,60.90745856353591
lr_ppo_seed55,LR-PPO,55.0,1000,584,0.584,0.5531860721954471,0.6141710323789795,0.409,0.007,0.0,71.976,39.173801369863014
lr_ppo_seed56,LR-PPO,56.0,1000,594,0.594,0.5632592745396628,0.6240212948650526,0.391,0.015,0.0,74.879,42.95791245791246
lr_ppo_seed57,LR-PPO,57.0,1000,562,0.562,0.5310701383860444,0.5924553435617469,0.431,0.007,0.0,76.66,42.763345195729535
rmpc,RMPC,,1000,693,0.693,0.6637186226479856,0.72080424857659,0.303,0.004,0.0,67.134,39.15728715728716
