environment_seed,outcome,success,soldier_caught,unsafe_intercept,timeout,total_steps,detection_step,detection_time_seconds,post_detection_steps,intercept_step,intercept_time_seconds,min_enemy_soldier_dist,physical_limit_violations,mean_tracking_error,final_tracking_error,tracking_rmse,n_tracking_samples,instance_id,instance_name,family,training_seed
77000,soldier_caught,0,1,0,0,486,9,4.5,477,,,1.5364383459091187,0,3.1679269408955233,2.302436590194702,3.4429109538496565,478,greedy,greedy,Greedy,
77001,soldier_caught,0,1,0,0,86,17,8.5,69,,,1.2479791641235352,0,3.3359405176980155,3.9064245223999023,3.601217461383597,70,greedy,greedy,Greedy,
77002,intercepted,1,0,0,0,84,58,29.0,26,84.0,42.0,13.839563369750977,0,2.9062561657693653,2.9689648151397705,3.0829625495131197,27,greedy,greedy,Greedy,
77003,soldier_caught,0,1,0,0,168,30,15.0,138,,,1.4762070178985596,0,3.207834516926635,2.241959571838379,3.482329248314606,139,greedy,greedy,Greedy,
77004,intercepted,1,0,0,0,91,72,36.0,19,91.0,45.5,14.649307250976562,0,3.6835816621780397,6.222604274749756,4.036488619157108,20,greedy,greedy,Greedy,
77005,soldier_caught,0,1,0,0,159,13,6.5,146,,,0.32835814356803894,0,3.105024052315018,1.780853509902954,3.443133763640108,147,greedy,greedy,Greedy,
77006,intercepted,1,0,0,0,309,31,15.5,278,309.0,154.5,3.708709716796875,0,3.1924546390878685,3.92706561088562,3.4596809762510254,279,greedy,greedy,Greedy,
77007,soldier_caught,0,1,0,0,200,16,8.0,184,,,1.1291145086288452,0,3.3337806579228992,2.732393503189087,3.6236372083138884,185,greedy,greedy,Greedy,
77008,intercepted,1,0,0,0,41,9,4.5,32,41.0,20.5,3.0100624561309814,0,3.401929877021096,2.003605365753174,3.6017633090057517,33,greedy,greedy,Greedy,
77009,intercepted,1,0,0,0,962,136,68.0,826,962.0,481.0,2.424072742462158,0,3.217453679698266,1.660431146621704,3.499566544062201,827,greedy,greedy,Greedy,
77010,soldier_caught,0,1,0,0,541,10,5.0,531,,,0.4807644784450531,0,3.1730094361013936,2.417564868927002,3.436765334310855,532,greedy,greedy,Greedy,
77011,intercepted,1,0,0,0,142,17,8.5,125,142.0,71.0,4.864638805389404,0,2.990245951546563,5.026002407073975,3.2628133761107514,126,greedy,greedy,Greedy,
77012,soldier_caught,0,1,0,0,146,10,5.0,136,,,1.972374677658081,0,3.2047738398078582,2.2637012004852295,3.4795067056248,137,greedy,greedy,Greedy,
77013,intercepted,1,0,0,0,553,29,14.5,524,553.0,276.5,4.892199516296387,0,3.0899280465500696,1.756054401397705,3.3577049421319285,525,greedy,greedy,Greedy,
77014,soldier_caught,0,1,0,0,535,10,5.0,525,,,1.7420592308044434,0,3.151505903882672,2.792139768600464,3.401032063284384,526,greedy,greedy,Greedy,
77015,soldier_caught,0,1,0,0,126,9,4.5,117,,,1.2058831453323364,0,3.3162341082500197,5.48638916015625,3.6018733222138173,118,greedy,greedy,Greedy,
77016,intercepted,1,0,0,0,216,8,4.0,208,216.0,108.0,3.0528364181518555,0,3.2704925973449597,3.5466110706329346,3.5319788031079957,209,greedy,greedy,Greedy,
77017,intercepted,1,0,0,0,537,14,7.0,523,537.0,268.5,4.415672302246094,0,3.2845533047696107,1.8048858642578125,3.5232211176525854,524,greedy,greedy,Greedy,
77018,intercepted,1,0,0,0,320,77,38.5,243,320.0,160.0,3.9447293281555176,0,3.342052571109084,7.0618133544921875,3.6373463441995915,244,greedy,greedy,Greedy,
77019,intercepted,1,0,0,0,188,8,4.0,180,188.0,94.0,9.040027618408203,0,3.124892598028341,1.563956618309021,3.385339453443879,181,greedy,greedy,Greedy,
77020,intercepted,1,0,0,0,490,10,5.0,480,490.0,245.0,6.891316890716553,0,3.252156664638658,3.2924156188964844,3.5236540695961835,481,greedy,greedy,Greedy,
77021,intercepted,1,0,0,0,52,41,20.5,11,52.0,26.0,14.011042594909668,0,3.330163369576136,3.59201979637146,3.535446524851347,12,greedy,greedy,Greedy,
77022,intercepted,1,0,0,0,1084,16,8.0,1068,1084.0,542.0,3.1217739582061768,0,3.146846980135278,4.79514217376709,3.4177887494664008,1069,greedy,greedy,Greedy,
77023,intercepted,1,0,0,0,359,12,6.0,347,359.0,179.5,7.746044635772705,0,3.1321714063142907,5.5620951652526855,3.416588999548388,348,greedy,greedy,Greedy,
77024,soldier_caught,0,1,0,0,1080,18,9.0,1062,,,0.4454343318939209,0,3.1328143361230447,1.7875053882598877,3.418933631495457,1063,greedy,greedy,Greedy,
77025,intercepted,1,0,0,0,588,57,28.5,531,588.0,294.0,2.077775001525879,0,3.206628688183942,1.4379585981369019,3.465861026865287,532,greedy,greedy,Greedy,
77026,intercepted,1,0,0,0,345,10,5.0,335,345.0,172.5,2.5961992740631104,0,3.260718720477252,4.819053649902344,3.546422907307501,336,greedy,greedy,Greedy,
77027,intercepted,1,0,0,0,325,21,10.5,304,325.0,162.5,2.590066909790039,0,3.177601499635665,4.166326999664307,3.4441184583243536,305,greedy,greedy,Greedy,
77028,intercepted,1,0,0,0,179,10,5.0,169,179.0,89.5,2.5870144367218018,0,3.36875995853368,2.8086938858032227,3.5855395556307084,170,greedy,greedy,Greedy,
77029,intercepted,1,0,0,0,50,15,7.5,35,50.0,25.0,7.036109447479248,0,3.2570543918344708,6.291465759277344,3.5507589408355735,36,greedy,greedy,Greedy,
77030,intercepted,1,0,0,0,157,9,4.5,148,157.0,78.5,2.6012790203094482,0,3.217116736125626,4.2217183113098145,3.5312434383013755,149,greedy,greedy,Greedy,
77031,intercepted,1,0,0,0,275,9,4.5,266,275.0,137.5,2.473454475402832,0,3.1697802283567436,2.1770567893981934,3.44732594479006,267,greedy,greedy,Greedy,
77032,soldier_caught,0,1,0,0,444,31,15.5,413,,,1.236061692237854,0,3.1592756529937045,1.8194987773895264,3.435926262663321,414,greedy,greedy,Greedy,
77033,intercepted,1,0,0,0,597,14,7.0,583,597.0,298.5,2.671055555343628,0,3.1888524690923625,1.9163167476654053,3.4742585128750583,584,greedy,greedy,Greedy,
77034,soldier_caught,0,1,0,0,86,10,5.0,76,,,0.9593331813812256,0,3.0125968239524146,4.990317344665527,3.307944171668082,77,greedy,greedy,Greedy,
77035,soldier_caught,0,1,0,0,890,13,6.5,877,,,0.8003280758857727,0,3.20746416892169,3.0603389739990234,3.4890741921766875,878,greedy,greedy,Greedy,
77036,intercepted,1,0,0,0,373,13,6.5,360,373.0,186.5,2.629941463470459,0,3.205107750489771,1.877637267112732,3.442107296293066,361,greedy,greedy,Greedy,
77037,intercepted,1,0,0,0,146,12,6.0,134,146.0,73.0,4.510367393493652,0,3.186137596545396,4.63154411315918,3.4526094087744226,135,greedy,greedy,Greedy,
77038,soldier_caught,0,1,0,0,294,11,5.5,283,,,1.8014479875564575,0,3.1668757231722418,2.079000473022461,3.431003100604992,284,greedy,greedy,Greedy,
77039,intercepted,1,0,0,0,285,13,6.5,272,285.0,142.5,2.437390089035034,0,3.1300792826182677,2.1913681030273438,3.394735143038575,273,greedy,greedy,Greedy,
