environment_seed,outcome,success,soldier_caught,unsafe_intercept,timeout,total_steps,detection_step,detection_time_seconds,post_detection_steps,intercept_step,intercept_time_seconds,min_enemy_soldier_dist,physical_limit_violations,mean_tracking_error,final_tracking_error,tracking_rmse,n_tracking_samples,instance_id,instance_name,family,training_seed
77000,soldier_caught,0,1,0,0,558,9,4.5,549,,,1.8877809047698975,0,3.1621118018843912,1.9764126539230347,3.438314427413502,550,lead,lead,Lead,
77001,soldier_caught,0,1,0,0,85,17,8.5,68,,,1.9323375225067139,0,3.327672586924788,3.334951400756836,3.5966037405488542,69,lead,lead,Lead,
77002,soldier_caught,0,1,0,0,255,58,29.0,197,,,1.2243366241455078,0,3.0262455753605777,4.4493632316589355,3.3023689439549413,198,lead,lead,Lead,
77003,intercepted,1,0,0,0,371,30,15.0,341,371.0,185.5,3.0376718044281006,0,3.191188138827943,3.238722562789917,3.4754891715998264,342,lead,lead,Lead,
77004,intercepted,1,0,0,0,397,72,36.0,325,397.0,198.5,7.275041580200195,0,3.1967371131744855,4.207643032073975,3.447282136130372,326,lead,lead,Lead,
77005,intercepted,1,0,0,0,59,13,6.5,46,59.0,29.5,6.542994976043701,0,3.226457675720783,2.381345748901367,3.6449812712588447,47,lead,lead,Lead,
77006,intercepted,1,0,0,0,110,31,15.5,79,110.0,55.0,7.615900039672852,0,2.9934165216982365,2.757343053817749,3.2934453682581095,80,lead,lead,Lead,
77007,soldier_caught,0,1,0,0,200,16,8.0,184,,,1.1095315217971802,0,3.3337806534122776,2.732393503189087,3.62363720260518,185,lead,lead,Lead,
77008,soldier_caught,0,1,0,0,143,9,4.5,134,,,1.7890888452529907,0,3.3113943956516407,1.208974838256836,3.533191224943122,135,lead,lead,Lead,
77009,soldier_caught,0,1,0,0,253,136,68.0,117,,,1.6450117826461792,0,3.23733606025324,2.234236001968384,3.541429949403878,118,lead,lead,Lead,
77010,intercepted,1,0,0,0,84,10,5.0,74,84.0,42.0,2.680508613586426,0,3.3631461588541667,3.2199807167053223,3.5857809777859555,75,lead,lead,Lead,
77011,intercepted,1,0,0,0,1488,17,8.5,1471,1488.0,744.0,3.4108853340148926,0,3.118149427231401,5.540615081787109,3.3837227535731613,1472,lead,lead,Lead,
