environment_seed,outcome,success,soldier_caught,unsafe_intercept,timeout,total_steps,detection_step,detection_time_seconds,post_detection_steps,intercept_step,intercept_time_seconds,min_enemy_soldier_dist,physical_limit_violations,mean_tracking_error,final_tracking_error,tracking_rmse,n_tracking_samples,instance_id,instance_name,family,training_seed
77000,intercepted,1,0,0,0,350,9,4.5,341,350.0,175.0,3.4881179332733154,0,3.116865954901043,4.2630391120910645,3.3842456125513967,342,lr_ppo_seed57,lr_ppo,LR-PPO,57
77001,intercepted,1,0,0,0,384,17,8.5,367,384.0,192.0,2.0493316650390625,0,3.229164655846746,1.6319409608840942,3.5089112466943573,368,lr_ppo_seed57,lr_ppo,LR-PPO,57
77002,intercepted,1,0,0,0,383,58,29.0,325,383.0,191.5,8.851665496826172,0,3.055525634460654,2.9598844051361084,3.3271139159902132,326,lr_ppo_seed57,lr_ppo,LR-PPO,57
77003,soldier_caught,0,1,0,0,792,30,15.0,762,,,1.6680916547775269,0,3.16298321928453,4.469520568847656,3.452506773820482,763,lr_ppo_seed57,lr_ppo,LR-PPO,57
77004,intercepted,1,0,0,0,550,72,36.0,478,550.0,275.0,8.739216804504395,0,3.1748390717272468,2.352738857269287,3.420952454036798,479,lr_ppo_seed57,lr_ppo,LR-PPO,57
77005,intercepted,1,0,0,0,156,13,6.5,143,156.0,78.0,3.252518892288208,0,3.107604436162445,1.1350622177124023,3.443651251997609,144,lr_ppo_seed57,lr_ppo,LR-PPO,57
77006,intercepted,1,0,0,0,177,31,15.5,146,177.0,88.5,3.7628543376922607,0,3.081231095352951,0.7191129922866821,3.355621589839105,147,lr_ppo_seed57,lr_ppo,LR-PPO,57
77007,intercepted,1,0,0,0,143,16,8.0,127,143.0,71.5,11.313361167907715,0,3.3930568189825863,3.7378034591674805,3.694491034082906,128,lr_ppo_seed57,lr_ppo,LR-PPO,57
77008,intercepted,1,0,0,0,206,9,4.5,197,206.0,103.0,4.347198009490967,0,3.289346165428258,2.000122547149658,3.497874674383213,198,lr_ppo_seed57,lr_ppo,LR-PPO,57
77009,soldier_caught,0,1,0,0,252,136,68.0,116,,,1.7420436143875122,0,3.245909580308148,2.5972988605499268,3.5505288938525945,117,lr_ppo_seed57,lr_ppo,LR-PPO,57
77010,intercepted,1,0,0,0,263,10,5.0,253,263.0,131.5,5.219310283660889,0,3.206371444534129,2.4409573078155518,3.459540840606459,254,lr_ppo_seed57,lr_ppo,LR-PPO,57
77011,intercepted,1,0,0,0,45,17,8.5,28,45.0,22.5,8.239426612854004,0,3.0561730532810607,1.605736494064331,3.284165063778525,29,lr_ppo_seed57,lr_ppo,LR-PPO,57
77012,soldier_caught,0,1,0,0,146,10,5.0,136,,,1.6567274332046509,0,3.204773858080815,2.2637012004852295,3.479506724772786,137,lr_ppo_seed57,lr_ppo,LR-PPO,57
77013,soldier_caught,0,1,0,0,338,29,14.5,309,,,1.505167841911316,0,3.076997346599256,3.6610336303710938,3.358501839087649,310,lr_ppo_seed57,lr_ppo,LR-PPO,57
77014,intercepted,1,0,0,0,305,10,5.0,295,305.0,152.5,4.9878363609313965,0,3.1063682590988844,8.0872220993042,3.351353722627105,296,lr_ppo_seed57,lr_ppo,LR-PPO,57
77015,soldier_caught,0,1,0,0,126,9,4.5,117,,,0.7726935744285583,0,3.3162341203729984,5.486389636993408,3.6018733380683154,118,lr_ppo_seed57,lr_ppo,LR-PPO,57
77016,intercepted,1,0,0,0,33,8,4.0,25,33.0,16.5,6.749454021453857,0,3.4943099205310526,4.277715682983398,3.860629537407617,26,lr_ppo_seed57,lr_ppo,LR-PPO,57
77017,intercepted,1,0,0,0,136,14,7.0,122,136.0,68.0,11.350142478942871,0,3.399267900280836,2.0786845684051514,3.6431079365194923,123,lr_ppo_seed57,lr_ppo,LR-PPO,57
77018,intercepted,1,0,0,0,825,77,38.5,748,825.0,412.5,2.9381296634674072,0,3.2364739641567097,3.5815868377685547,3.5172887711342304,749,lr_ppo_seed57,lr_ppo,LR-PPO,57
77019,intercepted,1,0,0,0,21,8,4.0,13,21.0,10.5,9.040027618408203,0,3.1437492030007497,1.8016961812973022,3.4199855927638314,14,lr_ppo_seed57,lr_ppo,LR-PPO,57
77020,soldier_caught,0,1,0,0,567,10,5.0,557,,,1.9970874786376953,0,3.262837661263336,2.334658145904541,3.5322952881896437,558,lr_ppo_seed57,lr_ppo,LR-PPO,57
77021,intercepted,1,0,0,0,649,41,20.5,608,649.0,324.5,7.666996955871582,0,3.2634538481828614,3.410595655441284,3.5341791314753817,609,lr_ppo_seed57,lr_ppo,LR-PPO,57
77022,intercepted,1,0,0,0,29,16,8.0,13,29.0,14.5,3.5127291679382324,0,3.9148121220724925,0.6816061735153198,4.14479330859332,14,lr_ppo_seed57,lr_ppo,LR-PPO,57
77023,soldier_caught,0,1,0,0,58,12,6.0,46,,,1.7837411165237427,0,2.995334394434665,3.408903121948242,3.2376969706438876,47,lr_ppo_seed57,lr_ppo,LR-PPO,57
77024,intercepted,1,0,0,0,690,18,9.0,672,690.0,345.0,3.577995777130127,0,3.1370732234057486,3.993152379989624,3.426749981685722,673,lr_ppo_seed57,lr_ppo,LR-PPO,57
77025,intercepted,1,0,0,0,194,57,28.5,137,194.0,97.0,12.863751411437988,0,3.359409167282823,4.451086521148682,3.6221607618931007,138,lr_ppo_seed57,lr_ppo,LR-PPO,57
77026,intercepted,1,0,0,0,28,10,5.0,18,28.0,14.0,8.552523612976074,0,3.398937827662418,0.19792920351028442,3.7205903095973176,19,lr_ppo_seed57,lr_ppo,LR-PPO,57
77027,intercepted,1,0,0,0,109,21,10.5,88,109.0,54.5,2.6702089309692383,0,3.0959694499380133,6.492471218109131,3.3441533337302003,89,lr_ppo_seed57,lr_ppo,LR-PPO,57
77028,soldier_caught,0,1,0,0,149,10,5.0,139,,,1.9180138111114502,0,3.354297132577215,3.6606736183166504,3.5558028876960868,140,lr_ppo_seed57,lr_ppo,LR-PPO,57
