environment_seed,outcome,success,soldier_caught,unsafe_intercept,timeout,total_steps,detection_step,detection_time_seconds,post_detection_steps,intercept_step,intercept_time_seconds,min_enemy_soldier_dist,physical_limit_violations,mean_tracking_error,final_tracking_error,tracking_rmse,n_tracking_samples,instance_id,instance_name,family,training_seed
77000,intercepted,1,0,0,0,139,9,4.5,130,139.0,69.5,3.385511636734009,0,3.125671653347161,5.361166477203369,3.404492919676837,131,pn,pn,PN,
77001,intercepted,1,0,0,0,178,17,8.5,161,178.0,89.0,5.377665042877197,0,3.1781794557600844,1.4620393514633179,3.4437347311123334,162,pn,pn,PN,
77002,intercepted,1,0,0,0,875,58,29.0,817,875.0,437.5,3.788393259048462,0,3.1262910661531254,4.390101909637451,3.423490828298741,818,pn,pn,PN,
77003,intercepted,1,0,0,0,158,30,15.0,128,158.0,79.0,9.492432594299316,0,3.240367303985034,2.8319928646087646,3.519054326566827,129,pn,pn,PN,
77004,intercepted,1,0,0,0,93,72,36.0,21,93.0,46.5,12.873159408569336,0,3.6250679113648157,3.388983726501465,3.9576785999475983,22,pn,pn,PN,
77005,intercepted,1,0,0,0,759,13,6.5,746,759.0,379.5,4.557133197784424,0,3.1828532508578165,6.040826320648193,3.489339962024817,747,pn,pn,PN,
77006,intercepted,1,0,0,0,296,31,15.5,265,296.0,148.0,4.106418609619141,0,3.1771065940086105,4.133864402770996,3.4423598761908334,266,pn,pn,PN,
77007,soldier_caught,0,1,0,0,200,16,8.0,184,,,1.1479068994522095,0,3.3337806637222704,2.732393503189087,3.623637212904482,185,pn,pn,PN,
77008,intercepted,1,0,0,0,18,9,4.5,9,18.0,9.0,8.822500228881836,0,3.5312609910964965,2.3514950275421143,3.754287224608181,10,pn,pn,PN,
77009,soldier_caught,0,1,0,0,252,136,68.0,116,,,1.4927905797958374,0,3.2459095833647966,2.5972988605499268,3.550528901130832,117,pn,pn,PN,
77010,intercepted,1,0,0,0,453,10,5.0,443,453.0,226.5,2.4372081756591797,0,3.1673907398640573,3.0082242488861084,3.4270981249492367,444,pn,pn,PN,
77011,intercepted,1,0,0,0,109,17,8.5,92,109.0,54.5,4.12122917175293,0,3.0473852420365937,3.4110982418060303,3.335058750279731,93,pn,pn,PN,
77012,soldier_caught,0,1,0,0,146,10,5.0,136,,,1.8520228862762451,0,3.204773840677999,2.2637012004852295,3.479506704851878,137,pn,pn,PN,
77013,intercepted,1,0,0,0,305,29,14.5,276,305.0,152.5,10.063711166381836,0,3.052026794221427,5.311688423156738,3.346866761139857,277,pn,pn,PN,
77014,soldier_caught,0,1,0,0,451,10,5.0,441,,,1.2074464559555054,0,3.131092701629816,1.4982295036315918,3.38922353447513,442,pn,pn,PN,
77015,intercepted,1,0,0,0,403,9,4.5,394,403.0,201.5,2.0853614807128906,0,3.2119206634314756,3.2595138549804688,3.483393094698889,395,pn,pn,PN,
77016,intercepted,1,0,0,0,23,8,4.0,15,23.0,11.5,11.848437309265137,0,3.3823698982596397,0.8536581993103027,3.8144665040866848,16,pn,pn,PN,
77017,intercepted,1,0,0,0,1147,14,7.0,1133,1147.0,573.5,2.191657781600952,0,3.167456499772307,2.21697735786438,3.4219263697105187,1134,pn,pn,PN,
77018,intercepted,1,0,0,0,428,77,38.5,351,428.0,214.0,3.93426775932312,0,3.3142043756829067,3.2335543632507324,3.5963525238550695,352,pn,pn,PN,
77019,soldier_caught,0,1,0,0,938,8,4.0,930,,,1.937487244606018,0,3.2531776675188198,2.524555206298828,3.524471407591027,931,pn,pn,PN,
77020,intercepted,1,0,0,0,583,10,5.0,573,583.0,291.5,6.527881145477295,0,3.2642021400899424,3.0490007400512695,3.5307626269709753,574,pn,pn,PN,
77021,soldier_caught,0,1,0,0,137,41,20.5,96,,,1.7258964776992798,0,3.3667041739237678,3.1063804626464844,3.6224682005033184,97,pn,pn,PN,
77022,intercepted,1,0,0,0,428,16,8.0,412,428.0,214.0,3.5142033100128174,0,3.095652088775473,4.720012187957764,3.3957257462211965,413,pn,pn,PN,
77023,soldier_caught,0,1,0,0,794,12,6.0,782,,,1.6141053438186646,0,3.195946325059138,4.061233997344971,3.4604037157238197,783,pn,pn,PN,
77024,intercepted,1,0,0,0,138,18,9.0,120,138.0,69.0,13.297287940979004,0,3.12067346631988,3.534430742263794,3.4462136271656876,121,pn,pn,PN,
77025,intercepted,1,0,0,0,605,57,28.5,548,605.0,302.5,6.482877254486084,0,3.2018212566393105,3.4271533489227295,3.4577219033985203,549,pn,pn,PN,
77026,intercepted,1,0,0,0,296,10,5.0,286,296.0,148.0,5.747422218322754,0,3.2254069513975536,4.658824920654297,3.518959622141898,287,pn,pn,PN,
