environment_seed,outcome,success,soldier_caught,unsafe_intercept,timeout,total_steps,detection_step,detection_time_seconds,post_detection_steps,intercept_step,intercept_time_seconds,min_enemy_soldier_dist,physical_limit_violations,mean_tracking_error,final_tracking_error,tracking_rmse,n_tracking_samples,instance_id,instance_name,family,training_seed
77000,intercepted,1,0,0,0,89,9,4.5,80,89.0,44.5,11.677605628967285,0,7.502433425114479,10.16283893585205,7.732256336562811,81,ppo_kalman_seed46,ppo_kalman,PPO-Kalman,46
77001,intercepted,1,0,0,0,207,17,8.5,190,207.0,103.5,4.523054122924805,0,6.758481408288966,8.754426002502441,7.034493948737724,191,ppo_kalman_seed46,ppo_kalman,PPO-Kalman,46
77002,intercepted,1,0,0,0,103,58,29.0,45,103.0,51.5,11.408300399780273,0,5.834145360666772,8.493002891540527,6.1040945075207205,46,ppo_kalman_seed46,ppo_kalman,PPO-Kalman,46
77003,intercepted,1,0,0,0,703,30,15.0,673,703.0,351.5,8.216686248779297,0,7.114881064842292,10.13486385345459,7.327683351736022,674,ppo_kalman_seed46,ppo_kalman,PPO-Kalman,46
77004,intercepted,1,0,0,0,968,72,36.0,896,968.0,484.0,3.0265190601348877,0,7.664845380961164,7.039988040924072,7.812298992064799,897,ppo_kalman_seed46,ppo_kalman,PPO-Kalman,46
77005,intercepted,1,0,0,0,209,13,6.5,196,209.0,104.5,3.6885833740234375,0,6.466587946045823,6.350790023803711,6.817617091158254,197,ppo_kalman_seed46,ppo_kalman,PPO-Kalman,46
77006,intercepted,1,0,0,0,85,31,15.5,54,85.0,42.5,3.379873752593994,0,6.379172019525008,5.678566932678223,6.771677899826658,55,ppo_kalman_seed46,ppo_kalman,PPO-Kalman,46
77007,intercepted,1,0,0,0,204,16,8.0,188,204.0,102.0,2.490955114364624,0,7.87503684008563,2.5266497135162354,8.06123514945824,189,ppo_kalman_seed46,ppo_kalman,PPO-Kalman,46
77008,intercepted,1,0,0,0,78,9,4.5,69,78.0,39.0,2.6594839096069336,0,6.5813618115016395,8.741588592529297,6.941711407598408,70,ppo_kalman_seed46,ppo_kalman,PPO-Kalman,46
77009,intercepted,1,0,0,0,341,136,68.0,205,341.0,170.5,4.680366516113281,0,7.367490126380643,8.167506217956543,7.620336941362485,206,ppo_kalman_seed46,ppo_kalman,PPO-Kalman,46
77010,intercepted,1,0,0,0,543,10,5.0,533,543.0,271.5,2.5899674892425537,0,7.180211846524856,7.852280616760254,7.4292710308479295,534,ppo_kalman_seed46,ppo_kalman,PPO-Kalman,46
77011,intercepted,1,0,0,0,472,17,8.5,455,472.0,236.0,3.563417911529541,0,7.417742624878883,7.287905693054199,7.6349322006416225,456,ppo_kalman_seed46,ppo_kalman,PPO-Kalman,46
77012,intercepted,1,0,0,0,186,10,5.0,176,186.0,93.0,2.2509043216705322,0,6.784798780235193,8.710195541381836,7.173179214788283,177,ppo_kalman_seed46,ppo_kalman,PPO-Kalman,46
77013,intercepted,1,0,0,0,195,29,14.5,166,195.0,97.5,12.062164306640625,0,7.783747333966329,7.242764472961426,7.905436043483997,167,ppo_kalman_seed46,ppo_kalman,PPO-Kalman,46
77014,intercepted,1,0,0,0,96,10,5.0,86,96.0,48.0,3.060946226119995,0,5.8174554709045365,4.655596733093262,6.165247296857465,87,ppo_kalman_seed46,ppo_kalman,PPO-Kalman,46
77015,soldier_caught,0,1,0,0,125,9,4.5,116,,,1.9769132137298584,0,6.845510838378189,1.7115039825439453,7.1780665710746785,117,ppo_kalman_seed46,ppo_kalman,PPO-Kalman,46
77016,soldier_caught,0,1,0,0,58,8,4.0,50,,,1.948118805885315,0,6.46677726390315,7.770330429077148,6.874989828870993,51,ppo_kalman_seed46,ppo_kalman,PPO-Kalman,46
77017,soldier_caught,0,1,0,0,276,14,7.0,262,,,0.8129810094833374,0,7.192843380989684,8.503884315490723,7.481912008558269,263,ppo_kalman_seed46,ppo_kalman,PPO-Kalman,46
77018,intercepted,1,0,0,0,101,77,38.5,24,101.0,50.5,7.468869686126709,0,5.510755472183227,6.128485679626465,5.675250374920134,25,ppo_kalman_seed46,ppo_kalman,PPO-Kalman,46
77019,intercepted,1,0,0,0,137,8,4.0,129,137.0,68.5,9.040027618408203,0,7.259512306176699,8.253313064575195,7.500922569814517,130,ppo_kalman_seed46,ppo_kalman,PPO-Kalman,46
77020,intercepted,1,0,0,0,502,10,5.0,492,502.0,251.0,5.062867164611816,0,7.52183619353157,6.926303386688232,7.659691769574008,493,ppo_kalman_seed46,ppo_kalman,PPO-Kalman,46
77021,intercepted,1,0,0,0,76,41,20.5,35,76.0,38.0,13.68062686920166,0,7.302624940872192,8.660531997680664,7.831377158760286,36,ppo_kalman_seed46,ppo_kalman,PPO-Kalman,46
