environment_seed,outcome,success,soldier_caught,unsafe_intercept,timeout,total_steps,detection_step,detection_time_seconds,post_detection_steps,intercept_step,intercept_time_seconds,min_enemy_soldier_dist,physical_limit_violations,mean_tracking_error,final_tracking_error,tracking_rmse,n_tracking_samples,instance_id,instance_name,family,training_seed
77000,intercepted,1,0,0,0,176,9,4.5,167,176.0,88.0,2.496143341064453,0,3.119947423182783,1.1424802541732788,3.3844229078073487,168,ppo_seed47,ppo,PPO,47
77001,soldier_caught,0,1,0,0,231,17,8.5,214,,,0.8673664331436157,0,3.1750994058542474,4.5800089836120605,3.4581896695481613,215,ppo_seed47,ppo,PPO,47
77002,intercepted,1,0,0,0,111,58,29.0,53,111.0,55.5,14.539632797241211,0,2.968623587378749,2.8046443462371826,3.210470648808999,54,ppo_seed47,ppo,PPO,47
77003,intercepted,1,0,0,0,84,30,15.0,54,84.0,42.0,10.934410095214844,0,3.349106811393391,2.3747329711914062,3.6072532852939805,55,ppo_seed47,ppo,PPO,47
77004,soldier_caught,0,1,0,0,127,72,36.0,55,,,1.3958293199539185,0,3.380021420972688,2.0251762866973877,3.6437449895773275,56,ppo_seed47,ppo,PPO,47
77005,intercepted,1,0,0,0,326,13,6.5,313,326.0,163.0,4.222914695739746,0,3.268747660954287,1.7051756381988525,3.579065440264486,314,ppo_seed47,ppo,PPO,47
77006,intercepted,1,0,0,0,139,31,15.5,108,139.0,69.5,8.672088623046875,0,3.066057504863914,3.387815237045288,3.3659000083339943,109,ppo_seed47,ppo,PPO,47
77007,intercepted,1,0,0,0,52,16,8.0,36,52.0,26.0,14.507919311523438,0,3.321506503466013,5.421719551086426,3.656438207370502,37,ppo_seed47,ppo,PPO,47
77008,soldier_caught,0,1,0,0,221,9,4.5,212,,,1.9794467687606812,0,3.275348616877632,1.4456840753555298,3.4874684562915865,213,ppo_seed47,ppo,PPO,47
77009,intercepted,1,0,0,0,160,136,68.0,24,160.0,80.0,11.077831268310547,0,3.701852798461914,3.638232946395874,3.937504498466953,25,ppo_seed47,ppo,PPO,47
77010,intercepted,1,0,0,0,314,10,5.0,304,314.0,157.0,6.302349090576172,0,3.1840637721976295,3.845245838165283,3.4314553029373593,305,ppo_seed47,ppo,PPO,47
77011,intercepted,1,0,0,0,360,17,8.5,343,360.0,180.0,2.9483084678649902,0,3.051195486600316,3.136960744857788,3.324232434618458,344,ppo_seed47,ppo,PPO,47
77012,intercepted,1,0,0,0,385,10,5.0,375,385.0,192.5,4.02731466293335,0,3.0884165983409324,4.103795528411865,3.3704958121239046,376,ppo_seed47,ppo,PPO,47
77013,intercepted,1,0,0,0,36,29,14.5,7,36.0,18.0,14.421826362609863,0,3.5213379114866257,1.6018868684768677,3.645840334963193,8,ppo_seed47,ppo,PPO,47
77014,intercepted,1,0,0,0,627,10,5.0,617,627.0,313.5,3.6552155017852783,0,3.1907344586351543,4.517715930938721,3.4333137818365205,618,ppo_seed47,ppo,PPO,47
77015,intercepted,1,0,0,0,891,9,4.5,882,891.0,445.5,2.221754312515259,0,3.2114115705880275,1.525797963142395,3.493557883348019,883,ppo_seed47,ppo,PPO,47
77016,intercepted,1,0,0,0,271,8,4.0,263,271.0,135.5,2.4395124912261963,0,3.216899403342695,5.692149639129639,3.4731006550001258,264,ppo_seed47,ppo,PPO,47
77017,intercepted,1,0,0,0,227,14,7.0,213,227.0,113.5,5.33113431930542,0,3.331528155324615,3.342780828475952,3.5579753361165554,214,ppo_seed47,ppo,PPO,47
77018,intercepted,1,0,0,0,144,77,38.5,67,144.0,72.0,4.336207389831543,0,3.4051059015533505,3.9852893352508545,3.6388672703587317,68,ppo_seed47,ppo,PPO,47
77019,intercepted,1,0,0,0,47,8,4.0,39,47.0,23.5,9.040027618408203,0,3.0066435754299166,2.009322166442871,3.1996823073894585,40,ppo_seed47,ppo,PPO,47
77020,intercepted,1,0,0,0,109,10,5.0,99,109.0,54.5,6.867186069488525,0,3.3096935814619064,1.653066873550415,3.5596911899979404,100,ppo_seed47,ppo,PPO,47
77021,intercepted,1,0,0,0,327,41,20.5,286,327.0,163.5,10.523321151733398,0,3.1736494522892222,3.2351608276367188,3.401071161342695,287,ppo_seed47,ppo,PPO,47
77022,intercepted,1,0,0,0,20,16,8.0,4,20.0,10.0,3.459892749786377,0,4.389624357223511,4.038844585418701,4.417312790990675,5,ppo_seed47,ppo,PPO,47
77023,intercepted,1,0,0,0,55,12,6.0,43,55.0,27.5,9.287458419799805,0,2.972471922636032,3.113255739212036,3.230677037839723,44,ppo_seed47,ppo,PPO,47
77024,intercepted,1,0,0,0,95,18,9.0,77,95.0,47.5,13.2960205078125,0,3.1719319499455967,1.4433867931365967,3.476732891966696,78,ppo_seed47,ppo,PPO,47
77025,intercepted,1,0,0,0,104,57,28.5,47,104.0,52.0,12.863751411437988,0,3.6366697351137796,3.7385523319244385,3.930412064896338,48,ppo_seed47,ppo,PPO,47
77026,intercepted,1,0,0,0,14,10,5.0,4,14.0,7.0,8.561929702758789,0,3.9349910259246825,4.712252140045166,4.036050155292489,5,ppo_seed47,ppo,PPO,47
77027,intercepted,1,0,0,0,349,21,10.5,328,349.0,174.5,2.684752941131592,0,3.183630720460306,2.9195258617401123,3.4607344614877387,329,ppo_seed47,ppo,PPO,47
77028,intercepted,1,0,0,0,18,10,5.0,8,18.0,9.0,10.966418266296387,0,2.9225765069325766,3.521669387817383,3.0882849547465105,9,ppo_seed47,ppo,PPO,47
77029,intercepted,1,0,0,0,339,15,7.5,324,339.0,169.5,3.351180076599121,0,3.181659256678361,3.7247087955474854,3.4451283109297246,325,ppo_seed47,ppo,PPO,47
77030,intercepted,1,0,0,0,410,9,4.5,401,410.0,205.0,8.09959888458252,0,3.12825145190628,2.7663016319274902,3.3972021162448267,402,ppo_seed47,ppo,PPO,47
77031,soldier_caught,0,1,0,0,354,9,4.5,345,,,1.5425924062728882,0,3.2339626209584273,3.441164255142212,3.524347697411591,346,ppo_seed47,ppo,PPO,47
77032,intercepted,1,0,0,0,514,31,15.5,483,514.0,257.0,3.560289144515991,0,3.2072992955973327,5.029460430145264,3.4899197724755426,484,ppo_seed47,ppo,PPO,47
77033,unsafe_intercept,0,0,1,0,16,14,7.0,2,,,2.442563772201538,0,4.064332326253255,2.2559261322021484,4.8632848730704525,3,ppo_seed47,ppo,PPO,47
