environment_seed,outcome,success,soldier_caught,unsafe_intercept,timeout,total_steps,detection_step,detection_time_seconds,post_detection_steps,intercept_step,intercept_time_seconds,min_enemy_soldier_dist,physical_limit_violations,mean_tracking_error,final_tracking_error,tracking_rmse,n_tracking_samples,optimizer_fallback_count,measurement_fallback_count,lead_init_count,pursuit_init_count,n_policy_calls,n_post_detection_decisions,instance_id,instance_name,family,training_seed
77000,intercepted,1,0,0,0,145,9,4.5,136,145.0,72.5,4.011573314666748,0,3.1494550300340585,5.408017158508301,3.4221597190279422,137,0,0,106,30,145,136,rmpc,rmpc,RMPC,
77001,soldier_caught,0,1,0,0,307,17,8.5,290,,,1.5663115978240967,0,3.1952272842020513,3.930663585662842,3.4709842637974124,291,0,0,233,57,307,290,rmpc,rmpc,RMPC,
77002,soldier_caught,0,1,0,0,1021,58,29.0,963,,,1.7902780771255493,0,3.137441401041395,2.977335214614868,3.4295125541249156,964,0,0,797,166,1021,963,rmpc,rmpc,RMPC,
77003,soldier_caught,0,1,0,0,169,30,15.0,139,,,1.0358721017837524,0,3.2282054236957003,6.059765338897705,3.5074619293301175,140,0,0,113,26,169,139,rmpc,rmpc,RMPC,
77004,intercepted,1,0,0,0,1300,72,36.0,1228,1300.0,650.0,4.769646644592285,0,3.154516862091541,4.645770072937012,3.428098827972603,1229,0,0,983,245,1300,1228,rmpc,rmpc,RMPC,
77005,intercepted,1,0,0,0,777,13,6.5,764,777.0,388.5,4.137373924255371,0,3.179829403660656,4.034207820892334,3.483611012037699,765,0,0,611,153,777,764,rmpc,rmpc,RMPC,
77006,soldier_caught,0,1,0,0,1269,31,15.5,1238,,,0.8817145228385925,0,3.211697517851363,1.7098349332809448,3.4908062196751515,1239,0,0,1000,238,1269,1238,rmpc,rmpc,RMPC,
77007,soldier_caught,0,1,0,0,200,16,8.0,184,,,1.2118563652038574,0,3.333780648901656,2.732393503189087,3.6236371974379438,185,0,0,146,38,200,184,rmpc,rmpc,RMPC,
77008,soldier_caught,0,1,0,0,33,9,4.5,24,,,1.6912611722946167,0,3.502364182472229,2.763120412826538,3.691227103215252,25,0,0,19,5,33,24,rmpc,rmpc,RMPC,
77009,soldier_caught,0,1,0,0,252,136,68.0,116,,,1.648721694946289,0,3.2459095767420583,2.597299098968506,3.5505288943049744,117,0,0,92,24,252,116,rmpc,rmpc,RMPC,
