instance,family,training_seed,n,successes,success_rate,success_ci_low,success_ci_high,soldier_caught_rate,unsafe_intercept_rate,timeout_rate,mean_post_detection_steps,mean_intercept_time_if_success
greedy,Greedy,,1000,704,0.704,0.6749696568758727,0.7314690256620207,0.284,0.012,0.0,324.545,177.5490056818182
pn,PN,,1000,641,0.641,0.6107804510612619,0.6701404030458117,0.346,0.012,0.001,387.14,201.65522620904835
lead,Lead,,1000,730,0.73,0.7016420587131036,0.756597632383541,0.257,0.011,0.002,319.254,171.70205479452054
ppo_seed45,PPO,45.0,1000,849,0.849,0.8254750432083057,0.8698538793687768,0.131,0.02,0.0,188.656,105.54829210836277
ppo_seed46,PPO,46.0,1000,854,0.854,0.8307599284226275,0.8745307265695994,0.129,0.017,0.0,176.16,101.57611241217799
ppo_seed47,PPO,47.0,1000,804,0.804,0.7782523359291924,0.8274209949115903,0.185,0.01,0.001,187.176,102.14800995024876
ppo_kalman_seed45,PPO-Kalman,45.0,1000,832,0.832,0.8075669791195391,0.8538920532460522,0.153,0.015,0.0,155.134,89.27103365384616
ppo_kalman_seed46,PPO-Kalman,46.0,1000,788,0.788,0.7615898394196515,0.8122059476926687,0.181,0.031,0.0,217.532,123.36865482233503
ppo_kalman_seed47,PPO-Kalman,47.0,1000,824,0.824,0.7991696851594058,0.8463505753419543,0.166,0.01,0.0,191.412,104.03094660194175
lr_ppo_seed55,LR-PPO,55.0,1000,802,0.802,0.776166200305855,0.8255224375688698,0.184,0.014,0.0,229.455,127.12531172069825
lr_ppo_seed56,LR-PPO,56.0,1000,745,0.745,0.7170834253930005,0.7710414629490774,0.236,0.018,0.001,290.882,155.12348993288592
lr_ppo_seed57,LR-PPO,57.0,1000,788,0.788,0.7615898394196515,0.8122059476926687,0.196,0.016,0.0,256.95,140.56154822335026
rmpc,RMPC,,1000,527,0.527,0.4960112345098614,0.5577821205319188,0.438,0.017,0.018,523.925,268.91745730550286
