condition,comparison,difference_pp,ci_low_pp,ci_high_pp,resolution
Strong evasion,LR-PPO - Lead,1.9000000000000017,-0.33333333333332993,4.200000000000004,unresolved
Strong evasion,LR-PPO - RMPC,8.699999999999996,6.066666666666675,11.299999999999999,resolved positive
Strong evasion,LR-PPO - PPO,4.766666666666675,1.4666666666666717,8.233333333333338,resolved positive
Strong evasion,RMPC - Lead,-6.799999999999995,-9.599999999999998,-4.0000000000000036,resolved negative
Strong evasion,RMPC - PPO,-3.933333333333322,-7.666666666666666,-0.0,unresolved
Restrictive dynamics,LR-PPO - Lead,2.0333333333333314,-2.200000000000002,6.034166666666656,unresolved
Restrictive dynamics,LR-PPO - RMPC,0.43333333333333,-3.633333333333333,4.399999999999993,unresolved
Restrictive dynamics,LR-PPO - PPO,11.533333333333328,3.1000000000000028,18.633333333333336,resolved positive
Restrictive dynamics,RMPC - Lead,1.6000000000000014,-2.0000000000000018,5.100000000000005,unresolved
Restrictive dynamics,RMPC - PPO,11.099999999999998,2.9000000000000026,17.899999999999995,resolved positive
High measurement noise,LR-PPO - Lead,4.833333333333334,0.5000000000000004,8.699999999999996,resolved positive
High measurement noise,LR-PPO - RMPC,25.13333333333333,20.733333333333327,29.366666666666664,resolved positive
High measurement noise,LR-PPO - PPO,-5.733333333333324,-10.166666666666657,-1.29999999999999,resolved negative
High measurement noise,RMPC - Lead,-20.299999999999997,-24.0,-16.599999999999994,resolved negative
High measurement noise,RMPC - PPO,-30.866666666666653,-34.93333333333333,-26.53333333333333,resolved negative
Hard mobility,LR-PPO - Lead,8.299999999999997,4.665833333333338,11.866666666666664,resolved positive
Hard mobility,LR-PPO - RMPC,-11.299999999999999,-15.09999999999999,-7.600000000000007,resolved negative
Hard mobility,LR-PPO - PPO,17.099999999999994,12.466666666666665,21.46666666666667,resolved positive
Hard mobility,RMPC - Lead,19.599999999999994,15.700000000000003,23.499999999999993,resolved positive
Hard mobility,RMPC - PPO,28.39999999999999,23.96666666666667,32.9,resolved positive
Short detection,LR-PPO - Lead,0.8000000000000007,-1.1333333333333417,2.7000000000000024,unresolved
Short detection,LR-PPO - RMPC,7.100000000000007,4.733333333333334,9.466666666666669,resolved positive
Short detection,LR-PPO - PPO,6.466666666666665,1.7666666666666608,12.36666666666666,resolved positive
Short detection,RMPC - Lead,-6.300000000000006,-8.800000000000008,-3.8000000000000034,resolved negative
Short detection,RMPC - PPO,-0.6333333333333413,-5.600000000000005,5.399999999999993,unresolved
