environment_seed,outcome,success,soldier_caught,unsafe_intercept,timeout,total_steps,detection_step,detection_time_seconds,post_detection_steps,intercept_step,intercept_time_seconds,min_enemy_soldier_dist,physical_limit_violations,mean_tracking_error,final_tracking_error,tracking_rmse,n_tracking_samples,instance_id,instance_name,family,training_seed
77000,soldier_caught,0,1,0,0,485,9,4.5,476,,,0.8396517038345337,0,1.1206727871511217,0.45921653509140015,1.2179579448289923,477,greedy,greedy,Greedy,
77001,intercepted,1,0,0,0,275,17,8.5,258,275.0,137.5,5.559764385223389,0,1.1265909734494899,0.6692964434623718,1.2270862719141566,259,greedy,greedy,Greedy,
77002,intercepted,1,0,0,0,362,58,29.0,304,362.0,181.0,2.9618027210235596,0,1.0816318431350052,1.5227936506271362,1.1788309319987371,305,greedy,greedy,Greedy,
77003,intercepted,1,0,0,0,76,30,15.0,46,76.0,38.0,10.934521675109863,0,1.2042301252801368,1.1545538902282715,1.2954699452653682,47,greedy,greedy,Greedy,
77004,intercepted,1,0,0,0,334,72,36.0,262,334.0,167.0,5.363095283508301,0,1.1351649377055948,1.2477548122406006,1.22461565461881,263,greedy,greedy,Greedy,
77005,intercepted,1,0,0,0,55,13,6.5,42,55.0,27.5,6.807077884674072,0,1.1581016674984332,1.3411264419555664,1.3059537341829466,43,greedy,greedy,Greedy,
77006,intercepted,1,0,0,0,88,31,15.5,57,88.0,44.0,7.576457977294922,0,1.009205730824635,0.19468539953231812,1.1228909908261258,58,greedy,greedy,Greedy,
77007,soldier_caught,0,1,0,0,200,16,8.0,184,,,1.1122921705245972,0,1.1786694603997308,0.9660471081733704,1.2811492279464969,185,greedy,greedy,Greedy,
77008,intercepted,1,0,0,0,362,9,4.5,353,362.0,181.0,2.5571651458740234,0,1.1406499244651551,1.016079306602478,1.225038964425245,354,greedy,greedy,Greedy,
77009,intercepted,1,0,0,0,504,136,68.0,368,504.0,252.0,4.743991851806641,0,1.1497413770252773,1.6169909238815308,1.251078175132215,369,greedy,greedy,Greedy,
77010,intercepted,1,0,0,0,483,10,5.0,473,483.0,241.5,2.165808916091919,0,1.1252360535070363,1.4290518760681152,1.2164750221229703,474,greedy,greedy,Greedy,
77011,soldier_caught,0,1,0,0,468,17,8.5,451,,,1.5147390365600586,0,1.0955971943593659,0.5500916838645935,1.1865266153390677,452,greedy,greedy,Greedy,
77012,intercepted,1,0,0,0,57,10,5.0,47,57.0,28.5,4.07587194442749,0,1.0612777847175796,1.0542553663253784,1.1361317084449225,48,greedy,greedy,Greedy,
77013,soldier_caught,0,1,0,0,408,29,14.5,379,,,1.61585533618927,0,1.0918729629269557,1.1039079427719116,1.1877341013431748,380,greedy,greedy,Greedy,
77014,intercepted,1,0,0,0,389,10,5.0,379,389.0,194.5,4.862905502319336,0,1.1063348831706925,1.1887707710266113,1.1948956840672724,380,greedy,greedy,Greedy,
