environment_seed,outcome,success,soldier_caught,unsafe_intercept,timeout,total_steps,detection_step,detection_time_seconds,post_detection_steps,intercept_step,intercept_time_seconds,min_enemy_soldier_dist,physical_limit_violations,mean_tracking_error,final_tracking_error,tracking_rmse,n_tracking_samples,instance_id,instance_name,family,training_seed
77000,soldier_caught,0,1,0,0,606,9,4.5,597,,,0.39200037717819214,0,1.120472215041269,1.1220427751541138,1.2213703698894502,598,lead,lead,Lead,
77001,soldier_caught,0,1,0,0,309,17,8.5,292,,,0.21048589050769806,0,1.1284986307698306,0.8513783812522888,1.2255617520543913,293,lead,lead,Lead,
77002,intercepted,1,0,0,0,245,58,29.0,187,245.0,122.5,10.148700714111328,0,1.0661099023641425,2.04876971244812,1.1637187440925836,188,lead,lead,Lead,
77003,soldier_caught,0,1,0,0,168,30,15.0,138,,,0.7296567559242249,0,1.1341407548823803,0.7926522493362427,1.2311892903690191,139,lead,lead,Lead,
77004,intercepted,1,0,0,0,210,72,36.0,138,210.0,105.0,10.459773063659668,0,1.1423538786044223,1.3560117483139038,1.2268062114917253,139,lead,lead,Lead,
77005,intercepted,1,0,0,0,1211,13,6.5,1198,1211.0,605.5,3.2733800411224365,0,1.1143324819826106,1.045627236366272,1.214639636679382,1199,lead,lead,Lead,
77006,intercepted,1,0,0,0,319,31,15.5,288,319.0,159.5,4.802282810211182,0,1.1338340361638053,1.73292076587677,1.2299542102636873,289,lead,lead,Lead,
77007,soldier_caught,0,1,0,0,200,16,8.0,184,,,1.1866432428359985,0,1.1786694510563,0.9660471081733704,1.2811492149668116,185,lead,lead,Lead,
77008,intercepted,1,0,0,0,455,9,4.5,446,455.0,227.5,2.5605251789093018,0,1.129837508502956,1.2375645637512207,1.2225904055946095,447,lead,lead,Lead,
77009,intercepted,1,0,0,0,235,136,68.0,99,235.0,117.5,11.086567878723145,0,1.1167067481577397,1.1266342401504517,1.222674557847934,100,lead,lead,Lead,
77010,intercepted,1,0,0,0,874,10,5.0,864,874.0,437.0,2.1692044734954834,0,1.1330042805285812,1.6833305358886719,1.2245237565363016,865,lead,lead,Lead,
77011,intercepted,1,0,0,0,295,17,8.5,278,295.0,147.5,4.273690700531006,0,1.0845257318628732,1.1376292705535889,1.180536401815103,279,lead,lead,Lead,
77012,intercepted,1,0,0,0,132,10,5.0,122,132.0,66.0,4.112267971038818,0,1.1396578156608876,2.21476411819458,1.2415113314202035,123,lead,lead,Lead,
77013,intercepted,1,0,0,0,374,29,14.5,345,374.0,187.0,3.385685682296753,0,1.0957832132396155,0.348614901304245,1.193747152730517,346,lead,lead,Lead,
77014,intercepted,1,0,0,0,140,10,5.0,130,140.0,70.0,4.854448318481445,0,1.0669088725370306,1.0517797470092773,1.1555039847397763,131,lead,lead,Lead,
77015,intercepted,1,0,0,0,584,9,4.5,575,584.0,292.0,2.3004701137542725,0,1.1373855735744454,1.0817675590515137,1.2338311799665849,576,lead,lead,Lead,
77016,intercepted,1,0,0,0,164,8,4.0,156,164.0,82.0,2.9329187870025635,0,1.141583839419541,0.5501837134361267,1.2360486855735255,157,lead,lead,Lead,
77017,intercepted,1,0,0,0,297,14,7.0,283,297.0,148.5,9.31545639038086,0,1.1664452979367383,0.9619455337524414,1.2436424468700367,284,lead,lead,Lead,
