environment_seed,outcome,success,soldier_caught,unsafe_intercept,timeout,total_steps,detection_step,detection_time_seconds,post_detection_steps,intercept_step,intercept_time_seconds,min_enemy_soldier_dist,physical_limit_violations,mean_tracking_error,final_tracking_error,tracking_rmse,n_tracking_samples,instance_id,instance_name,family,training_seed
77000,soldier_caught,0,1,0,0,462,9,4.5,453,,,0.6640048027038574,0,1.114083517785902,1.5272936820983887,1.212022470314147,454,lr_ppo_seed55,lr_ppo,LR-PPO,55
77001,intercepted,1,0,0,0,241,17,8.5,224,241.0,120.5,5.483946323394775,0,1.1213240308894052,1.2657049894332886,1.219441568160896,225,lr_ppo_seed55,lr_ppo,LR-PPO,55
77002,intercepted,1,0,0,0,358,58,29.0,300,358.0,179.0,2.883190631866455,0,1.0779401706995757,0.8704826831817627,1.1755868323530587,301,lr_ppo_seed55,lr_ppo,LR-PPO,55
77003,soldier_caught,0,1,0,0,168,30,15.0,138,,,0.7536849975585938,0,1.13414073837318,0.7926522493362427,1.231189276407846,139,lr_ppo_seed55,lr_ppo,LR-PPO,55
77004,intercepted,1,0,0,0,811,72,36.0,739,811.0,405.5,2.0286056995391846,0,1.1042548316455372,0.575697124004364,1.196192377588898,740,lr_ppo_seed55,lr_ppo,LR-PPO,55
77005,intercepted,1,0,0,0,101,13,6.5,88,101.0,50.5,5.123961925506592,0,1.1393319681454241,0.6551390290260315,1.2641801249788092,89,lr_ppo_seed55,lr_ppo,LR-PPO,55
77006,intercepted,1,0,0,0,199,31,15.5,168,199.0,99.5,3.5842833518981934,0,1.1109832470586314,1.3694109916687012,1.2079131153997082,169,lr_ppo_seed55,lr_ppo,LR-PPO,55
77007,soldier_caught,0,1,0,0,200,16,8.0,184,,,1.066967248916626,0,1.1786694592720754,0.9660471081733704,1.281149220278689,185,lr_ppo_seed55,lr_ppo,LR-PPO,55
77008,intercepted,1,0,0,0,350,9,4.5,341,350.0,175.0,2.56062650680542,0,1.1522687070115267,0.8594233393669128,1.235710667992865,342,lr_ppo_seed55,lr_ppo,LR-PPO,55
77009,intercepted,1,0,0,0,1357,136,68.0,1221,1357.0,678.5,2.1173787117004395,0,1.1308253050252868,1.2213613986968994,1.2290076235282554,1222,lr_ppo_seed55,lr_ppo,LR-PPO,55
77010,intercepted,1,0,0,0,581,10,5.0,571,581.0,290.5,2.1712794303894043,0,1.1234911446544258,1.1147305965423584,1.2158791995209586,572,lr_ppo_seed55,lr_ppo,LR-PPO,55
77011,intercepted,1,0,0,0,187,17,8.5,170,187.0,93.5,4.408799171447754,0,1.0772752398897332,1.3974624872207642,1.1715308580876358,171,lr_ppo_seed55,lr_ppo,LR-PPO,55
77012,intercepted,1,0,0,0,531,10,5.0,521,531.0,265.5,2.134305000305176,0,1.1027886046817477,0.903289258480072,1.1985714842527526,522,lr_ppo_seed55,lr_ppo,LR-PPO,55
