environment_seed,outcome,success,soldier_caught,unsafe_intercept,timeout,total_steps,detection_step,detection_time_seconds,post_detection_steps,intercept_step,intercept_time_seconds,min_enemy_soldier_dist,physical_limit_violations,mean_tracking_error,final_tracking_error,tracking_rmse,n_tracking_samples,instance_id,instance_name,family,training_seed
77000,intercepted,1,0,0,0,810,9,4.5,801,810.0,405.0,2.2857394218444824,0,1.1282032931181707,0.562390148639679,1.2210713042952963,802,pn,pn,PN,
77001,soldier_caught,0,1,0,0,307,17,8.5,290,,,1.035160779953003,0,1.1296834289720379,1.3896995782852173,1.2271782377714604,291,pn,pn,PN,
77002,intercepted,1,0,0,0,1048,58,29.0,990,1048.0,524.0,3.408083438873291,0,1.1107384460845702,1.1548012495040894,1.213112440689046,991,pn,pn,PN,
77003,soldier_caught,0,1,0,0,168,30,15.0,138,,,0.7372671961784363,0,1.1341407508086816,0.7926522493362427,1.2311892850689874,139,pn,pn,PN,
77004,intercepted,1,0,0,0,82,72,36.0,10,82.0,41.0,14.649307250976562,0,1.1032154018228704,0.5784795880317688,1.1858793960812428,11,pn,pn,PN,
77005,intercepted,1,0,0,0,126,13,6.5,113,126.0,63.0,4.860605716705322,0,1.1207537495514803,0.3313790261745453,1.2430538056078353,114,pn,pn,PN,
77006,soldier_caught,0,1,0,0,683,31,15.5,652,,,0.32963791489601135,0,1.118478547969967,1.0987346172332764,1.2142058487386673,653,pn,pn,PN,
77007,soldier_caught,0,1,0,0,200,16,8.0,184,,,1.1833994388580322,0,1.1786694587887945,0.9660471081733704,1.2811492264702513,185,pn,pn,PN,
77008,intercepted,1,0,0,0,38,9,4.5,29,38.0,19.0,2.5690653324127197,0,1.205960077047348,1.2732924222946167,1.277712457907108,30,pn,pn,PN,
77009,intercepted,1,0,0,0,1520,136,68.0,1384,1520.0,760.0,4.776096343994141,0,1.1248907750922958,0.43961143493652344,1.2226682363827264,1385,pn,pn,PN,
77010,intercepted,1,0,0,0,826,10,5.0,816,826.0,413.0,2.4665920734405518,0,1.1279210599100575,1.0199148654937744,1.2208637533112057,817,pn,pn,PN,
77011,intercepted,1,0,0,0,48,17,8.5,31,48.0,24.0,8.234762191772461,0,1.0860837725922465,1.5578480958938599,1.163413734087975,32,pn,pn,PN,
77012,soldier_caught,0,1,0,0,146,10,5.0,136,,,1.858127474784851,0,1.1330586722949996,0.8003390431404114,1.2301914078383418,137,pn,pn,PN,
77013,intercepted,1,0,0,0,263,29,14.5,234,263.0,131.5,9.837163925170898,0,1.0675689084098694,1.2749104499816895,1.1701676390469826,235,pn,pn,PN,
77014,intercepted,1,0,0,0,340,10,5.0,330,340.0,170.0,3.7272329330444336,0,1.0944973167335879,1.1042335033416748,1.1779673643223405,331,pn,pn,PN,
77015,soldier_caught,0,1,0,0,126,9,4.5,117,,,0.7509891390800476,0,1.1724658416489424,1.9397315979003906,1.2734545420077845,118,pn,pn,PN,
77016,intercepted,1,0,0,0,659,8,4.0,651,659.0,329.5,2.924344301223755,0,1.1376761297803897,0.8151127099990845,1.2303657630525622,652,pn,pn,PN,
77017,intercepted,1,0,0,0,164,14,7.0,150,164.0,82.0,10.28815746307373,0,1.1863936248007199,1.5672504901885986,1.275600487401836,151,pn,pn,PN,
77018,intercepted,1,0,0,0,983,77,38.5,906,983.0,491.5,2.8633787631988525,0,1.1413087916643643,0.4207272529602051,1.2422951554591768,907,pn,pn,PN,
77019,intercepted,1,0,0,0,209,8,4.0,201,209.0,104.5,9.040027618408203,0,1.140412386580564,2.2298319339752197,1.2319953397503325,202,pn,pn,PN,
77020,intercepted,1,0,0,0,117,10,5.0,107,117.0,58.5,6.891316890716553,0,1.1737388165460692,1.090071678161621,1.260499782722237,108,pn,pn,PN,
77021,intercepted,1,0,0,0,122,41,20.5,81,122.0,61.0,5.125603199005127,0,1.1952635729458274,1.11738121509552,1.2893500535597986,82,pn,pn,PN,
77022,unsafe_intercept,0,0,1,0,18,16,8.0,2,,,3.4947891235351562,0,1.5278230508168538,1.2741605043411255,1.5383339735122155,3,pn,pn,PN,
77023,intercepted,1,0,0,0,414,12,6.0,402,414.0,207.0,6.319450855255127,0,1.1250125143871117,0.8624382615089417,1.2243847462145838,403,pn,pn,PN,
77024,intercepted,1,0,0,0,187,18,9.0,169,187.0,93.5,11.271416664123535,0,1.0859914502676795,1.0312833786010742,1.1923382216560137,170,pn,pn,PN,
77025,intercepted,1,0,0,0,434,57,28.5,377,434.0,217.0,6.242510795593262,0,1.1503502917352808,0.8166883587837219,1.2427106789619278,378,pn,pn,PN,
77026,intercepted,1,0,0,0,184,10,5.0,174,184.0,92.0,4.5855183601379395,0,1.1558539078491075,1.6543492078781128,1.2606754235880735,175,pn,pn,PN,
77027,intercepted,1,0,0,0,416,21,10.5,395,416.0,208.0,2.686319351196289,0,1.1272043741938442,2.1592061519622803,1.2231451050410056,396,pn,pn,PN,
77028,soldier_caught,0,1,0,0,222,10,5.0,212,,,1.9338678121566772,0,1.1831175166536385,0.7386392951011658,1.2641706779270492,213,pn,pn,PN,
77029,soldier_caught,0,1,0,0,342,15,7.5,327,,,1.698042631149292,0,1.1279078543004466,0.7696905732154846,1.221394412554774,328,pn,pn,PN,
77030,intercepted,1,0,0,0,130,9,4.5,121,130.0,65.0,9.381898880004883,0,1.1769538731848608,1.0548652410507202,1.2789488353165352,122,pn,pn,PN,
77031,soldier_caught,0,1,0,0,963,9,4.5,954,,,1.4422637224197388,0,1.1372151383554747,0.4440380930900574,1.2348339601860612,955,pn,pn,PN,
77032,intercepted,1,0,0,0,44,31,15.5,13,44.0,22.0,13.209561347961426,0,1.366748524563653,0.7362871766090393,1.4619796972869992,14,pn,pn,PN,
77033,intercepted,1,0,0,0,381,14,7.0,367,381.0,190.5,2.5384535789489746,0,1.1383229788271305,1.3111293315887451,1.2425877809334642,368,pn,pn,PN,
77034,soldier_caught,0,1,0,0,989,10,5.0,979,,,1.615889310836792,0,1.1348194900215889,0.3068293631076813,1.235578208066704,980,pn,pn,PN,
77035,soldier_caught,0,1,0,0,1147,13,6.5,1134,,,1.1628865003585815,0,1.1292571511923741,0.966894805431366,1.2288058390547203,1135,pn,pn,PN,
77036,intercepted,1,0,0,0,405,13,6.5,392,405.0,202.5,2.961641788482666,0,1.1444091316473697,1.0850117206573486,1.229122860778534,393,pn,pn,PN,
77037,intercepted,1,0,0,0,516,12,6.0,504,516.0,258.0,4.514182090759277,0,1.1504645790646573,1.0149030685424805,1.259733437426431,505,pn,pn,PN,
77038,soldier_caught,0,1,0,0,294,11,5.5,283,,,1.8448972702026367,0,1.1196596423085308,0.7350379824638367,1.2130427668421038,284,pn,pn,PN,
77039,intercepted,1,0,0,0,792,13,6.5,779,792.0,396.0,2.6412858963012695,0,1.120194739055557,1.2750204801559448,1.2168084055208912,780,pn,pn,PN,
77040,soldier_caught,0,1,0,0,993,10,5.0,983,,,1.1671431064605713,0,1.1322187360042963,1.1500825881958008,1.223170355317426,984,pn,pn,PN,
77041,soldier_caught,0,1,0,0,44,18,9.0,26,,,1.9375859498977661,0,1.057059058436641,1.3071051836013794,1.16808716814679,27,pn,pn,PN,
77042,unsafe_intercept,0,0,1,0,10,8,4.0,2,,,2.2113826274871826,0,1.2983132203420003,1.9264744520187378,1.374620054414842,3,pn,pn,PN,
77043,intercepted,1,0,0,0,1024,13,6.5,1011,1024.0,512.0,3.200735569000244,0,1.1298938973147878,1.0737859010696411,1.2234672781671727,1012,pn,pn,PN,
77044,intercepted,1,0,0,0,220,13,6.5,207,220.0,110.0,3.7166266441345215,0,1.1565746975919375,0.8725821375846863,1.2544670348564397,208,pn,pn,PN,
77045,soldier_caught,0,1,0,0,734,60,30.0,674,,,1.4190763235092163,0,1.1308141130871243,0.6276760101318359,1.2327859377240393,675,pn,pn,PN,
77046,intercepted,1,0,0,0,321,13,6.5,308,321.0,160.5,6.868005275726318,0,1.155874632130163,0.5007151365280151,1.2633974814843094,309,pn,pn,PN,
77047,unsafe_intercept,0,0,1,0,11,9,4.5,2,,,2.48655366897583,0,0.6339781582355499,0.383727103471756,0.680930316224528,3,pn,pn,PN,
77048,intercepted,1,0,0,0,44,34,17.0,10,44.0,22.0,13.542168617248535,0,0.9969136823307384,0.7781060338020325,1.1039914857117326,11,pn,pn,PN,
77049,intercepted,1,0,0,0,405,34,17.0,371,405.0,202.5,2.7870543003082275,0,1.0859462346040434,0.8453083038330078,1.1950346680084394,372,pn,pn,PN,
77050,soldier_caught,0,1,0,0,38,10,5.0,28,,,0.8272708058357239,0,1.0351795245861184,0.9680606722831726,1.1248353815409757,29,pn,pn,PN,
77051,intercepted,1,0,0,0,205,15,7.5,190,205.0,102.5,2.874983072280884,0,1.1038809213494756,1.4815722703933716,1.1887537680206552,191,pn,pn,PN,
77052,soldier_caught,0,1,0,0,1028,17,8.5,1011,,,1.8017750978469849,0,1.1259339984300225,1.1680939197540283,1.220731979066839,1012,pn,pn,PN,
77053,soldier_caught,0,1,0,0,638,11,5.5,627,,,1.1758478879928589,0,1.1475699373704802,2.006026029586792,1.2399706507376957,628,pn,pn,PN,
77054,intercepted,1,0,0,0,477,19,9.5,458,477.0,238.5,8.353214263916016,0,1.1543486968234733,0.7115041613578796,1.2524055492430846,459,pn,pn,PN,
77055,soldier_caught,0,1,0,0,582,13,6.5,569,,,1.7495577335357666,0,1.1334331972295777,0.4757522940635681,1.2341898743155644,570,pn,pn,PN,
77056,soldier_caught,0,1,0,0,208,132,66.0,76,,,1.2811334133148193,0,1.1199287807012532,0.9836905002593994,1.198941929690734,77,pn,pn,PN,
77057,intercepted,1,0,0,0,186,10,5.0,176,186.0,93.0,2.3416993618011475,0,1.130782662643551,1.4981284141540527,1.241533311985125,177,pn,pn,PN,
77058,soldier_caught,0,1,0,0,1216,7,3.5,1209,,,1.8772940635681152,0,1.1194363576321562,1.2484477758407593,1.214543058866049,1210,pn,pn,PN,
