environment_seed,outcome,success,soldier_caught,unsafe_intercept,timeout,total_steps,detection_step,detection_time_seconds,post_detection_steps,intercept_step,intercept_time_seconds,min_enemy_soldier_dist,physical_limit_violations,mean_tracking_error,final_tracking_error,tracking_rmse,n_tracking_samples,instance_id,instance_name,family,training_seed
77000,intercepted,1,0,0,0,473,9,4.5,464,473.0,236.5,3.4450132846832275,0,1.1218690340877862,1.5971506834030151,1.2199968663702814,465,ppo_seed46,ppo,PPO,46
77001,soldier_caught,0,1,0,0,615,17,8.5,598,,,0.7206736207008362,0,1.1396126394628086,1.4238673448562622,1.2354913757546333,599,ppo_seed46,ppo,PPO,46
77002,intercepted,1,0,0,0,92,58,29.0,34,92.0,46.0,14.559732437133789,0,1.0526179147618158,1.698568344116211,1.1230005273020343,35,ppo_seed46,ppo,PPO,46
77003,soldier_caught,0,1,0,0,168,30,15.0,138,,,1.3542441129684448,0,1.1341407505942762,0.7926522493362427,1.2311892880765427,139,ppo_seed46,ppo,PPO,46
77004,soldier_caught,0,1,0,0,885,72,36.0,813,,,1.6216061115264893,0,1.107299783424971,0.7667683362960815,1.1998353980213992,814,ppo_seed46,ppo,PPO,46
77005,soldier_caught,0,1,0,0,258,13,6.5,245,,,1.9651556015014648,0,1.1517077045348603,1.6612553596496582,1.2638425803751072,246,ppo_seed46,ppo,PPO,46
77006,intercepted,1,0,0,0,797,31,15.5,766,797.0,398.5,3.7603487968444824,0,1.121980119355732,0.6823329925537109,1.2184793937426177,767,ppo_seed46,ppo,PPO,46
77007,soldier_caught,0,1,0,0,200,16,8.0,184,,,1.199184536933899,0,1.1786694578222325,0.9660471081733704,1.2811492249824485,185,ppo_seed46,ppo,PPO,46
77008,intercepted,1,0,0,0,465,9,4.5,456,465.0,232.5,2.1900980472564697,0,1.131300975835558,1.20968759059906,1.2235470636142283,457,ppo_seed46,ppo,PPO,46
77009,soldier_caught,0,1,0,0,1226,136,68.0,1090,,,1.8847246170043945,0,1.1302533180108867,0.2758665978908539,1.2278934415901852,1091,ppo_seed46,ppo,PPO,46
77010,intercepted,1,0,0,0,380,10,5.0,370,380.0,190.0,2.9997103214263916,0,1.1266275268359325,1.0413869619369507,1.2149174902778082,371,ppo_seed46,ppo,PPO,46
77011,intercepted,1,0,0,0,379,17,8.5,362,379.0,189.5,3.3666093349456787,0,1.0813180057757814,0.618421733379364,1.1773790180689196,363,ppo_seed46,ppo,PPO,46
77012,intercepted,1,0,0,0,1091,10,5.0,1081,1091.0,545.5,2.1340091228485107,0,1.1201715673597155,0.8994404077529907,1.2167427714124368,1082,ppo_seed46,ppo,PPO,46
77013,intercepted,1,0,0,0,201,29,14.5,172,201.0,100.5,10.038195610046387,0,1.0890342685356305,0.7674431204795837,1.1853967486793506,173,ppo_seed46,ppo,PPO,46
77014,intercepted,1,0,0,0,1022,10,5.0,1012,1022.0,511.0,2.9084224700927734,0,1.105719401064418,0.8994852304458618,1.1989690075673602,1013,ppo_seed46,ppo,PPO,46
77015,soldier_caught,0,1,0,0,87,9,4.5,78,,,1.035304307937622,0,1.1164810800854164,0.31968623399734497,1.1976945596631299,79,ppo_seed46,ppo,PPO,46
77016,soldier_caught,0,1,0,0,348,8,4.0,340,,,1.4489948749542236,0,1.1501476815587615,0.8214117288589478,1.2398722393583537,341,ppo_seed46,ppo,PPO,46
77017,soldier_caught,0,1,0,0,611,14,7.0,597,,,0.810333251953125,0,1.1593247281518269,1.430755615234375,1.2453088571315585,598,ppo_seed46,ppo,PPO,46
77018,soldier_caught,0,1,0,0,102,77,38.5,25,,,1.0933218002319336,0,1.1809842454699369,2.2403335571289062,1.2966259661990793,26,ppo_seed46,ppo,PPO,46
77019,intercepted,1,0,0,0,630,8,4.0,622,630.0,315.0,4.300971508026123,0,1.1625713677792833,1.0943268537521362,1.263020659448034,623,ppo_seed46,ppo,PPO,46
77020,intercepted,1,0,0,0,1034,10,5.0,1024,1034.0,517.0,3.3713953495025635,0,1.1247047421917682,0.5278379321098328,1.2230387226408639,1025,ppo_seed46,ppo,PPO,46
77021,intercepted,1,0,0,0,76,41,20.5,35,76.0,38.0,9.41576099395752,0,1.2101013097498152,1.0329324007034302,1.3053420761905388,36,ppo_seed46,ppo,PPO,46
77022,soldier_caught,0,1,0,0,827,16,8.0,811,,,1.8706045150756836,0,1.1051576156627956,1.8665411472320557,1.2034484800341856,812,ppo_seed46,ppo,PPO,46
77023,soldier_caught,0,1,0,0,721,12,6.0,709,,,1.96024751663208,0,1.1308241641437504,1.042052149772644,1.226473979019769,710,ppo_seed46,ppo,PPO,46
77024,intercepted,1,0,0,0,892,18,9.0,874,892.0,446.0,7.421940326690674,0,1.1093989619782993,1.098317265510559,1.2125365863132456,875,ppo_seed46,ppo,PPO,46
