instance,family,training_seed,n,successes,success_rate,success_ci_low,success_ci_high,soldier_caught_rate,unsafe_intercept_rate,timeout_rate,mean_post_detection_steps,mean_intercept_time_if_success
greedy,Greedy,,1000,612,0.612,0.5814239245764211,0.6417188815228144,0.362,0.023,0.003,380.77,203.3488562091503
pn,PN,,1000,589,0.589,0.5582210567913957,0.6190977801981754,0.38,0.024,0.007,454.161,245.937181663837
lead,Lead,,1000,656,0.656,0.6260105435553518,0.684795507797155,0.318,0.026,0.0,358.693,194.81783536585365
ppo_seed45,PPO,45.0,1000,510,0.51,0.47903749580454597,0.5408859690257428,0.455,0.023,0.012,487.072,246.8921568627451
ppo_seed46,PPO,46.0,1000,525,0.525,0.49401247046123636,0.555796191614486,0.443,0.021,0.011,505.784,267.3647619047619
ppo_seed47,PPO,47.0,1000,648,0.648,0.6178838670299425,0.6769834124583332,0.333,0.017,0.002,335.602,169.09259259259258
ppo_kalman_seed45,PPO-Kalman,45.0,1000,607,0.607,0.5763739069246411,0.63680716675945,0.368,0.022,0.003,389.637,196.88550247116967
ppo_kalman_seed46,PPO-Kalman,46.0,1000,591,0.591,0.560235954911328,0.6210675750443009,0.385,0.022,0.002,398.846,210.5871404399323
ppo_kalman_seed47,PPO-Kalman,47.0,1000,572,0.572,0.5411151999524977,0.6023337468255823,0.403,0.018,0.007,404.347,201.97027972027973
lr_ppo_seed55,LR-PPO,55.0,1000,699,0.699,0.6698531605689392,0.7266237895538098,0.271,0.028,0.002,334.749,181.43776824034336
lr_ppo_seed56,LR-PPO,56.0,1000,685,0.685,0.655548006716873,0.7130360926434717,0.285,0.028,0.002,326.457,174.47664233576643
lr_ppo_seed57,LR-PPO,57.0,1000,645,0.645,0.6148387032147422,0.6740515368244469,0.325,0.029,0.001,308.209,166.74186046511628
rmpc,RMPC,,1000,672,0.672,0.6422916335335495,0.7003919615474198,0.299,0.027,0.002,314.498,168.68526785714286
