environment_seed,outcome,success,soldier_caught,unsafe_intercept,timeout,total_steps,detection_step,detection_time_seconds,post_detection_steps,intercept_step,intercept_time_seconds,min_enemy_soldier_dist,physical_limit_violations,mean_tracking_error,final_tracking_error,tracking_rmse,n_tracking_samples,instance_id,instance_name,family,training_seed
77000,soldier_caught,0,1,0,0,283,238,119.0,45,,,1.9434144496917725,0,1.0965413117538327,0.9350373148918152,1.1912862330462228,46,greedy,greedy,Greedy,
77001,intercepted,1,0,0,0,683,282,141.0,401,683.0,341.5,2.4188899993896484,0,1.1330991185719694,0.6562275886535645,1.23242177066586,402,greedy,greedy,Greedy,
77002,soldier_caught,0,1,0,0,1124,395,197.5,729,,,1.0439029932022095,0,1.1037093699999052,0.7691115736961365,1.210745993634019,730,greedy,greedy,Greedy,
77003,unsafe_intercept,0,0,1,0,499,499,249.5,0,,,2.231374740600586,0,0.8109434843063354,0.8109434843063354,0.8109434843063354,1,greedy,greedy,Greedy,
77004,soldier_caught,0,1,0,0,1435,1435,717.5,0,,,0.6248793601989746,0,0.7066055536270142,0.7066055536270142,0.7066055536270142,1,greedy,greedy,Greedy,
77005,soldier_caught,0,1,0,0,568,568,284.0,0,,,0.26938682794570923,0,2.4094505310058594,2.4094505310058594,2.4094505310058594,1,greedy,greedy,Greedy,
77006,intercepted,1,0,0,0,178,151,75.5,27,178.0,89.0,4.0623555183410645,0,1.1925847700663976,2.012578248977661,1.2861196462409068,28,greedy,greedy,Greedy,
77007,intercepted,1,0,0,0,212,200,100.0,12,212.0,106.0,2.036670446395874,0,1.1049455266732435,0.7013797163963318,1.168851060739569,13,greedy,greedy,Greedy,
77008,intercepted,1,0,0,0,55,33,16.5,22,55.0,27.5,2.876715898513794,0,1.2607983117518218,1.5235834121704102,1.3296097463376226,23,greedy,greedy,Greedy,
77009,intercepted,1,0,0,0,475,291,145.5,184,475.0,237.5,2.0002453327178955,0,1.106793907043096,1.0129458904266357,1.2110723372980123,185,greedy,greedy,Greedy,
77010,intercepted,1,0,0,0,104,77,38.5,27,104.0,52.0,3.9140076637268066,0,1.242612671639238,1.7245733737945557,1.3356889474393259,28,greedy,greedy,Greedy,
77011,intercepted,1,0,0,0,198,102,51.0,96,198.0,99.0,3.8065853118896484,0,1.07657520895459,1.4533418416976929,1.17526237419278,97,greedy,greedy,Greedy,
77012,intercepted,1,0,0,0,308,37,18.5,271,308.0,154.0,2.0028223991394043,0,1.099379142801113,0.8744608163833618,1.187224616675834,272,greedy,greedy,Greedy,
77013,soldier_caught,0,1,0,0,1131,1131,565.5,0,,,1.5480592250823975,0,1.1092720031738281,1.1092720031738281,1.1092720031738281,1,greedy,greedy,Greedy,
77014,intercepted,1,0,0,0,392,13,6.5,379,392.0,196.0,4.772366523742676,0,1.1063349161885287,1.1887710094451904,1.194895722834456,380,greedy,greedy,Greedy,
77015,intercepted,1,0,0,0,178,79,39.5,99,178.0,89.0,2.766850471496582,0,1.1411283773183822,2.1428987979888916,1.2397189064732008,100,greedy,greedy,Greedy,
77016,soldier_caught,0,1,0,0,58,34,17.0,24,,,1.5132591724395752,0,1.2243459033966064,0.9362630844116211,1.3587071964897526,25,greedy,greedy,Greedy,
77017,soldier_caught,0,1,0,0,667,642,321.0,25,,,0.8231271505355835,0,1.4524084673478053,1.355522871017456,1.5146252462546566,26,greedy,greedy,Greedy,
77018,soldier_caught,0,1,0,0,102,101,50.5,1,,,1.1392302513122559,0,1.5546565055847168,1.316162347793579,1.5728433849742913,2,greedy,greedy,Greedy,
