environment_seed,outcome,success,soldier_caught,unsafe_intercept,timeout,total_steps,detection_step,detection_time_seconds,post_detection_steps,intercept_step,intercept_time_seconds,min_enemy_soldier_dist,physical_limit_violations,mean_tracking_error,final_tracking_error,tracking_rmse,n_tracking_samples,instance_id,instance_name,family,training_seed
77000,intercepted,1,0,0,0,378,238,119.0,140,378.0,189.0,2.364182949066162,0,1.1066444109306268,0.5253868699073792,1.2052795404781256,141,lead,lead,Lead,
77001,intercepted,1,0,0,0,542,282,141.0,260,542.0,271.0,3.931469678878784,0,1.128858472937825,1.691308856010437,1.2289271750230457,261,lead,lead,Lead,
77002,intercepted,1,0,0,0,406,395,197.5,11,406.0,203.0,4.641254425048828,0,0.9838816697398821,1.0762014389038086,1.0279338744430817,12,lead,lead,Lead,
77003,unsafe_intercept,0,0,1,0,499,499,249.5,0,,,2.231374740600586,0,0.8109434843063354,0.8109434843063354,0.8109434843063354,1,lead,lead,Lead,
77004,soldier_caught,0,1,0,0,1435,1435,717.5,0,,,0.6248793601989746,0,0.7066055536270142,0.7066055536270142,0.7066055536270142,1,lead,lead,Lead,
77005,soldier_caught,0,1,0,0,568,568,284.0,0,,,0.26938682794570923,0,2.4094505310058594,2.4094505310058594,2.4094505310058594,1,lead,lead,Lead,
77006,intercepted,1,0,0,0,178,151,75.5,27,178.0,89.0,4.0623555183410645,0,1.1925847658089228,2.012578248977661,1.2861196398561932,28,lead,lead,Lead,
77007,intercepted,1,0,0,0,344,200,100.0,144,344.0,172.0,2.036670446395874,0,1.2019196188655392,1.1032435894012451,1.3021188537486652,145,lead,lead,Lead,
77008,intercepted,1,0,0,0,41,33,16.5,8,41.0,20.5,2.876715898513794,0,1.2948349714279175,0.8060555458068848,1.3714206471659387,9,lead,lead,Lead,
77009,intercepted,1,0,0,0,346,291,145.5,55,346.0,173.0,2.6286916732788086,0,1.1175594494811125,1.1067243814468384,1.214369007304031,56,lead,lead,Lead,
77010,intercepted,1,0,0,0,249,77,38.5,172,249.0,124.5,3.9140076637268066,0,1.1442193458707346,0.48729363083839417,1.2311517143374737,173,lead,lead,Lead,
77011,intercepted,1,0,0,0,196,102,51.0,94,196.0,98.0,3.2251830101013184,0,1.0744356777322919,0.9459482431411743,1.174522128577015,95,lead,lead,Lead,
77012,intercepted,1,0,0,0,134,37,18.5,97,134.0,67.0,3.7550442218780518,0,1.142643658330246,0.638382613658905,1.234911651145504,98,lead,lead,Lead,
77013,soldier_caught,0,1,0,0,1131,1131,565.5,0,,,1.5480592250823975,0,1.1092720031738281,1.1092720031738281,1.1092720031738281,1,lead,lead,Lead,
77014,intercepted,1,0,0,0,299,13,6.5,286,299.0,149.5,4.772366523742676,0,1.0988446822980555,1.287695050239563,1.1819876908385802,287,lead,lead,Lead,
77015,intercepted,1,0,0,0,195,79,39.5,116,195.0,97.5,2.3818070888519287,0,1.1659080342859285,0.9283714890480042,1.26624977127831,117,lead,lead,Lead,
77016,intercepted,1,0,0,0,40,34,17.0,6,40.0,20.0,2.5507404804229736,0,1.1972657186644418,1.7715723514556885,1.2931888562518354,7,lead,lead,Lead,
77017,soldier_caught,0,1,0,0,667,642,321.0,25,,,0.8286389708518982,0,1.4524084627628326,1.355522871017456,1.5146252418116977,26,lead,lead,Lead,
77018,soldier_caught,0,1,0,0,102,101,50.5,1,,,1.1392302513122559,0,1.5546565055847168,1.316162347793579,1.5728433849742913,2,lead,lead,Lead,
77019,intercepted,1,0,0,0,1103,541,270.5,562,1103.0,551.5,4.212021827697754,0,1.1532767133697948,1.422421932220459,1.2527018973185284,563,lead,lead,Lead,
77020,intercepted,1,0,0,0,1831,1825,912.5,6,1831.0,915.5,3.057528495788574,0,1.1529953820364816,0.613448441028595,1.2053812673360824,7,lead,lead,Lead,
77021,intercepted,1,0,0,0,738,663,331.5,75,738.0,369.0,4.258903980255127,0,1.2093689696569192,1.186804175376892,1.3022704439003272,76,lead,lead,Lead,
77022,intercepted,1,0,0,0,276,18,9.0,258,276.0,138.0,3.5045509338378906,0,1.1122691273459135,0.4456848204135895,1.223662503195768,259,lead,lead,Lead,
77023,intercepted,1,0,0,0,42,35,17.5,7,42.0,21.0,3.6529250144958496,0,0.9360053725540638,1.400611162185669,1.0257928680410704,8,lead,lead,Lead,
77024,intercepted,1,0,0,0,1187,996,498.0,191,1187.0,593.5,2.5164456367492676,0,1.0710154318561156,1.8561762571334839,1.1751580669690975,192,lead,lead,Lead,
77025,intercepted,1,0,0,0,852,593,296.5,259,852.0,426.0,2.0124261379241943,0,1.158365642737884,0.5350409746170044,1.2532335186469818,260,lead,lead,Lead,
77026,soldier_caught,0,1,0,0,1070,689,344.5,381,,,1.8523043394088745,0,1.1549792465466167,1.3652565479278564,1.2532855619452319,382,lead,lead,Lead,
77027,intercepted,1,0,0,0,52,24,12.0,28,52.0,26.0,2.6837401390075684,0,1.071951221803139,1.3081663846969604,1.1325970527916653,29,lead,lead,Lead,
77028,intercepted,1,0,0,0,244,103,51.5,141,244.0,122.0,2.7372710704803467,0,1.1878163501830168,1.8018659353256226,1.2593751885505535,142,lead,lead,Lead,
77029,soldier_caught,0,1,0,0,208,208,104.0,0,,,1.0801197290420532,0,1.2510684728622437,1.2510684728622437,1.2510684728622437,1,lead,lead,Lead,
77030,soldier_caught,0,1,0,0,245,245,122.5,0,,,1.3338195085525513,0,1.0282388925552368,1.0282388925552368,1.0282388925552368,1,lead,lead,Lead,
77031,soldier_caught,0,1,0,0,285,267,133.5,18,,,0.41735005378723145,0,1.0760652093510878,1.2241549491882324,1.1839544676761353,19,lead,lead,Lead,
77032,intercepted,1,0,0,0,206,184,92.0,22,206.0,103.0,2.2415974140167236,0,1.2954819992832516,1.4218344688415527,1.4136225902522146,23,lead,lead,Lead,
77033,intercepted,1,0,0,0,68,15,7.5,53,68.0,34.0,2.552212715148926,0,1.1354395123543564,0.4203394949436188,1.2572863492156716,54,lead,lead,Lead,
77034,intercepted,1,0,0,0,68,37,18.5,31,68.0,34.0,3.737484931945801,0,1.089315821416676,1.892033338546753,1.206234761188077,32,lead,lead,Lead,
77035,soldier_caught,0,1,0,0,35,35,17.5,0,,,1.6373635530471802,0,2.0075533390045166,2.0075533390045166,2.0075533390045166,1,lead,lead,Lead,
77036,intercepted,1,0,0,0,91,15,7.5,76,91.0,45.5,2.9662725925445557,0,1.160659443248402,1.2488666772842407,1.2263837722575008,77,lead,lead,Lead,
77037,intercepted,1,0,0,0,1194,1161,580.5,33,1194.0,597.0,3.9912681579589844,0,1.159372504143154,1.5490832328796387,1.2377113627589265,34,lead,lead,Lead,
77038,intercepted,1,0,0,0,303,150,75.0,153,303.0,151.5,2.761361598968506,0,1.126254696350593,0.9010233879089355,1.21759352374131,154,lead,lead,Lead,
77039,soldier_caught,0,1,0,0,276,276,138.0,0,,,1.9417202472686768,0,1.3701748847961426,1.3701748847961426,1.3701748847961426,1,lead,lead,Lead,
77040,unsafe_intercept,0,0,1,0,56,56,28.0,0,,,2.4703831672668457,0,1.1675270795822144,1.1675270795822144,1.1675270795822144,1,lead,lead,Lead,
77041,unsafe_intercept,0,0,1,0,44,44,22.0,0,,,2.444850444793701,0,0.3259643018245697,0.3259643018245697,0.3259643018245697,1,lead,lead,Lead,
77042,unsafe_intercept,0,0,1,0,10,10,5.0,0,,,2.229530096054077,0,0.884209156036377,0.884209156036377,0.884209156036377,1,lead,lead,Lead,
77043,intercepted,1,0,0,0,44,39,19.5,5,44.0,22.0,4.213113307952881,0,1.393936703602473,0.629509449005127,1.4955533742586742,6,lead,lead,Lead,
77044,intercepted,1,0,0,0,22,15,7.5,7,22.0,11.0,3.668275833129883,0,0.9310490749776363,0.4386090040206909,1.0404158596429829,8,lead,lead,Lead,
77045,intercepted,1,0,0,0,482,470,235.0,12,482.0,241.0,2.93376088142395,0,1.1499012410640717,0.4942209720611572,1.2438830110549397,13,lead,lead,Lead,
77046,intercepted,1,0,0,0,640,618,309.0,22,640.0,320.0,3.9496514797210693,0,1.2341398875350538,0.918226957321167,1.376395685045385,23,lead,lead,Lead,
77047,unsafe_intercept,0,0,1,0,11,11,5.5,0,,,2.430607557296753,0,0.9727330803871155,0.9727330803871155,0.9727330803871155,1,lead,lead,Lead,
77048,intercepted,1,0,0,0,89,83,41.5,6,89.0,44.5,4.3824143409729,0,0.984790929726192,1.9596633911132812,1.0923601207610443,7,lead,lead,Lead,
77049,intercepted,1,0,0,0,173,159,79.5,14,173.0,86.5,3.645073413848877,0,1.1939636945724488,1.8533307313919067,1.3327798265591588,15,lead,lead,Lead,
77050,soldier_caught,0,1,0,0,38,38,19.0,0,,,0.8753161430358887,0,1.398564338684082,1.398564338684082,1.398564338684082,1,lead,lead,Lead,
77051,soldier_caught,0,1,0,0,152,118,59.0,34,,,1.8635659217834473,0,1.0775937037808554,1.2994365692138672,1.1448400830117182,35,lead,lead,Lead,
77052,intercepted,1,0,0,0,259,194,97.0,65,259.0,129.5,4.823126792907715,0,1.2068881579872333,0.9673967957496643,1.300780952612094,66,lead,lead,Lead,
77053,intercepted,1,0,0,0,471,429,214.5,42,471.0,235.5,4.332381248474121,0,1.1276816088099813,0.8395290970802307,1.2205752113779074,43,lead,lead,Lead,
77054,soldier_caught,0,1,0,0,995,906,453.0,89,,,0.7948176264762878,0,1.1483029756281111,1.3408982753753662,1.2395987185740183,90,lead,lead,Lead,
77055,intercepted,1,0,0,0,701,99,49.5,602,701.0,350.5,3.7994980812072754,0,1.1282461270022748,0.7000430822372437,1.226868566356761,603,lead,lead,Lead,
77056,intercepted,1,0,0,0,261,157,78.5,104,261.0,130.5,3.2752482891082764,0,1.097804966427031,0.781195878982544,1.1840436827456469,105,lead,lead,Lead,
77057,intercepted,1,0,0,0,210,36,18.0,174,210.0,105.0,2.265209913253784,0,1.1312673117433276,1.053136944770813,1.2424026489636704,175,lead,lead,Lead,
77058,unsafe_intercept,0,0,1,0,78,78,39.0,0,,,2.3066208362579346,0,0.9127029180526733,0.9127029180526733,0.9127029180526733,1,lead,lead,Lead,
77059,soldier_caught,0,1,0,0,561,560,280.0,1,,,0.4109880328178406,0,0.8959392309188843,0.9038910865783691,0.8959745183362924,2,lead,lead,Lead,
77060,soldier_caught,0,1,0,0,191,167,83.5,24,,,1.9541229009628296,0,1.0355067002773284,1.4938448667526245,1.1211849208341205,25,lead,lead,Lead,
77061,intercepted,1,0,0,0,22,10,5.0,12,22.0,11.0,3.1809558868408203,0,1.1611997324686785,1.3372483253479004,1.2543221480311293,13,lead,lead,Lead,
77062,intercepted,1,0,0,0,20,14,7.0,6,20.0,10.0,3.8235068321228027,0,0.9441035900797162,0.3528924286365509,1.0657172410655333,7,lead,lead,Lead,
77063,intercepted,1,0,0,0,581,565,282.5,16,581.0,290.5,2.3973922729492188,0,1.0938633312197292,1.2863281965255737,1.175272585248126,17,lead,lead,Lead,
77064,intercepted,1,0,0,0,292,263,131.5,29,292.0,146.0,2.5236101150512695,0,1.283549490571022,1.3341474533081055,1.3841712286234191,30,lead,lead,Lead,
77065,unsafe_intercept,0,0,1,0,82,82,41.0,0,,,2.3955633640289307,0,1.0658751726150513,1.0658751726150513,1.0658751726150513,1,lead,lead,Lead,
77066,intercepted,1,0,0,0,97,13,6.5,84,97.0,48.5,2.6508781909942627,0,1.1676540444878971,1.1836011409759521,1.2579918099926233,85,lead,lead,Lead,
77067,soldier_caught,0,1,0,0,108,107,53.5,1,,,1.6621952056884766,0,1.7128913402557373,2.112452507019043,1.7588763087574835,2,lead,lead,Lead,
77068,intercepted,1,0,0,0,181,85,42.5,96,181.0,90.5,4.487205982208252,0,1.1655938216705912,1.623337745666504,1.2593414894545032,97,lead,lead,Lead,
77069,unsafe_intercept,0,0,1,0,682,682,341.0,0,,,2.422853708267212,0,0.9465869665145874,0.9465869665145874,0.9465869665145874,1,lead,lead,Lead,
77070,intercepted,1,0,0,0,153,14,7.0,139,153.0,76.5,4.4356255531311035,0,1.0760638139077596,1.0776619911193848,1.1537051881359215,140,lead,lead,Lead,
77071,intercepted,1,0,0,0,615,585,292.5,30,615.0,307.5,4.32698392868042,0,0.895614150070375,1.746288776397705,0.990861165454328,31,lead,lead,Lead,
