environment_seed,outcome,success,soldier_caught,unsafe_intercept,timeout,total_steps,detection_step,detection_time_seconds,post_detection_steps,intercept_step,intercept_time_seconds,min_enemy_soldier_dist,physical_limit_violations,mean_tracking_error,final_tracking_error,tracking_rmse,n_tracking_samples,instance_id,instance_name,family,training_seed
77000,intercepted,1,0,0,0,292,238,119.0,54,292.0,146.0,2.1002328395843506,0,1.0828742907805877,1.2796070575714111,1.175482311994914,55,lr_ppo_seed57,lr_ppo,LR-PPO,57
77001,intercepted,1,0,0,0,304,282,141.0,22,304.0,152.0,3.931469678878784,0,1.07991152483484,1.2027616500854492,1.1595219883029309,23,lr_ppo_seed57,lr_ppo,LR-PPO,57
77002,intercepted,1,0,0,0,424,395,197.5,29,424.0,212.0,4.641254425048828,0,1.044986509780089,0.6595296859741211,1.1117355942472429,30,lr_ppo_seed57,lr_ppo,LR-PPO,57
77003,unsafe_intercept,0,0,1,0,499,499,249.5,0,,,2.231374740600586,0,0.8109434843063354,0.8109434843063354,0.8109434843063354,1,lr_ppo_seed57,lr_ppo,LR-PPO,57
77004,soldier_caught,0,1,0,0,1435,1435,717.5,0,,,0.6248793601989746,0,0.7066055536270142,0.7066055536270142,0.7066055536270142,1,lr_ppo_seed57,lr_ppo,LR-PPO,57
77005,soldier_caught,0,1,0,0,568,568,284.0,0,,,0.26938682794570923,0,2.4094505310058594,2.4094505310058594,2.4094505310058594,1,lr_ppo_seed57,lr_ppo,LR-PPO,57
77006,intercepted,1,0,0,0,183,151,75.5,32,183.0,91.5,4.0623555183410645,0,1.0857731438044347,0.5331117510795593,1.200585163629701,33,lr_ppo_seed57,lr_ppo,LR-PPO,57
77007,intercepted,1,0,0,0,338,200,100.0,138,338.0,169.0,2.036670446395874,0,1.2060192200562936,0.9398585557937622,1.3085447789321405,139,lr_ppo_seed57,lr_ppo,LR-PPO,57
77008,intercepted,1,0,0,0,56,33,16.5,23,56.0,28.0,2.876715898513794,0,1.2491628527641296,0.9815471768379211,1.3169450591321534,24,lr_ppo_seed57,lr_ppo,LR-PPO,57
77009,soldier_caught,0,1,0,0,364,291,145.5,73,,,1.774786114692688,0,1.1175383246830992,1.3994534015655518,1.21431957642377,74,lr_ppo_seed57,lr_ppo,LR-PPO,57
77010,intercepted,1,0,0,0,95,77,38.5,18,95.0,47.5,3.9140076637268066,0,1.2831106515307176,0.8439099788665771,1.3911859224033167,19,lr_ppo_seed57,lr_ppo,LR-PPO,57
77011,intercepted,1,0,0,0,612,102,51.0,510,612.0,306.0,3.8065853118896484,0,1.0965372772628548,0.38805335760116577,1.1888362212483858,511,lr_ppo_seed57,lr_ppo,LR-PPO,57
77012,intercepted,1,0,0,0,56,37,18.5,19,56.0,28.0,3.7550442218780518,0,0.9019617326557636,0.9197407960891724,0.9807681197336848,20,lr_ppo_seed57,lr_ppo,LR-PPO,57
77013,soldier_caught,0,1,0,0,1131,1131,565.5,0,,,1.5480592250823975,0,1.1092720031738281,1.1092720031738281,1.1092720031738281,1,lr_ppo_seed57,lr_ppo,LR-PPO,57
77014,intercepted,1,0,0,0,108,13,6.5,95,108.0,54.0,4.772366523742676,0,1.0449690846726298,1.3543930053710938,1.1172095841248586,96,lr_ppo_seed57,lr_ppo,LR-PPO,57
77015,intercepted,1,0,0,0,121,79,39.5,42,121.0,60.5,3.195908784866333,0,1.1213087384090867,1.2684862613677979,1.1975028387450013,43,lr_ppo_seed57,lr_ppo,LR-PPO,57
77016,intercepted,1,0,0,0,66,34,17.0,32,66.0,33.0,2.5507404804229736,0,1.2585808038711548,0.9040484428405762,1.372389338834931,33,lr_ppo_seed57,lr_ppo,LR-PPO,57
77017,soldier_caught,0,1,0,0,667,642,321.0,25,,,0.8996037840843201,0,1.4524084352529967,1.355522871017456,1.5146252112768952,26,lr_ppo_seed57,lr_ppo,LR-PPO,57
77018,soldier_caught,0,1,0,0,102,101,50.5,1,,,1.1392302513122559,0,1.5546565055847168,1.316162347793579,1.5728433849742913,2,lr_ppo_seed57,lr_ppo,LR-PPO,57
77019,intercepted,1,0,0,0,610,541,270.5,69,610.0,305.0,4.212021827697754,0,1.1707577692610878,1.6060683727264404,1.2613680300919008,70,lr_ppo_seed57,lr_ppo,LR-PPO,57
77020,intercepted,1,0,0,0,1860,1825,912.5,35,1860.0,930.0,3.057528495788574,0,1.183615715139442,1.3603506088256836,1.2629203495878583,36,lr_ppo_seed57,lr_ppo,LR-PPO,57
77021,intercepted,1,0,0,0,738,663,331.5,75,738.0,369.0,4.258903980255127,0,1.2093689696569192,1.186804175376892,1.3022704416835138,76,lr_ppo_seed57,lr_ppo,LR-PPO,57
77022,intercepted,1,0,0,0,127,18,9.0,109,127.0,63.5,3.5045509338378906,0,1.1266512399370021,0.5721221566200256,1.2394038783355967,110,lr_ppo_seed57,lr_ppo,LR-PPO,57
