environment_seed,outcome,success,soldier_caught,unsafe_intercept,timeout,total_steps,detection_step,detection_time_seconds,post_detection_steps,intercept_step,intercept_time_seconds,min_enemy_soldier_dist,physical_limit_violations,mean_tracking_error,final_tracking_error,tracking_rmse,n_tracking_samples,instance_id,instance_name,family,training_seed
77000,soldier_caught,0,1,0,0,455,238,119.0,217,,,1.3696563243865967,0,1.1030832456612805,0.9510866403579712,1.1975548396728437,218,pn,pn,PN,
77001,intercepted,1,0,0,0,295,282,141.0,13,295.0,147.5,3.931469678878784,0,1.1251026732581002,0.6679406762123108,1.2092742931902538,14,pn,pn,PN,
77002,intercepted,1,0,0,0,1037,395,197.5,642,1037.0,518.5,2.1730940341949463,0,1.102540208985609,0.6750696897506714,1.2122379643002543,643,pn,pn,PN,
77003,unsafe_intercept,0,0,1,0,499,499,249.5,0,,,2.231374740600586,0,0.8109434843063354,0.8109434843063354,0.8109434843063354,1,pn,pn,PN,
77004,soldier_caught,0,1,0,0,1435,1435,717.5,0,,,0.6248793601989746,0,0.7066055536270142,0.7066055536270142,0.7066055536270142,1,pn,pn,PN,
77005,soldier_caught,0,1,0,0,568,568,284.0,0,,,0.26938682794570923,0,2.4094505310058594,2.4094505310058594,2.4094505310058594,1,pn,pn,PN,
77006,intercepted,1,0,0,0,178,151,75.5,27,178.0,89.0,4.0623555183410645,0,1.1925847700663976,2.012578248977661,1.2861196462409068,28,pn,pn,PN,
77007,intercepted,1,0,0,0,759,200,100.0,559,759.0,379.5,2.036670446395874,0,1.1624678663111159,1.2063149213790894,1.2544183217306142,560,pn,pn,PN,
77008,intercepted,1,0,0,0,1037,33,16.5,1004,1037.0,518.5,2.876715898513794,0,1.140328690795163,1.158090591430664,1.2368883340130523,1005,pn,pn,PN,
77009,soldier_caught,0,1,0,0,364,291,145.5,73,,,1.9088566303253174,0,1.1175383222666946,1.3994535207748413,1.2143195748008375,74,pn,pn,PN,
77010,intercepted,1,0,0,0,245,77,38.5,168,245.0,122.5,3.9140076637268066,0,1.1535079206764345,0.9840155243873596,1.239980230463282,169,pn,pn,PN,
77011,intercepted,1,0,0,0,153,102,51.0,51,153.0,76.5,3.8065853118896484,0,1.0131818773941352,1.1660125255584717,1.1074166536028143,52,pn,pn,PN,
77012,intercepted,1,0,0,0,43,37,18.5,6,43.0,21.5,3.7550442218780518,0,0.9994270354509354,0.20119695365428925,1.149560816317795,7,pn,pn,PN,
77013,soldier_caught,0,1,0,0,1131,1131,565.5,0,,,1.5480592250823975,0,1.1092720031738281,1.1092720031738281,1.1092720031738281,1,pn,pn,PN,
77014,soldier_caught,0,1,0,0,307,13,6.5,294,,,1.3139839172363281,0,1.0922975877584038,0.9283356070518494,1.1751563640244578,295,pn,pn,PN,
77015,intercepted,1,0,0,0,376,79,39.5,297,376.0,188.0,2.8084187507629395,0,1.1569204821482602,1.3482626676559448,1.2524402737113531,298,pn,pn,PN,
77016,soldier_caught,0,1,0,0,58,34,17.0,24,,,0.5443344712257385,0,1.224345862865448,0.9362630844116211,1.3587071548277818,25,pn,pn,PN,
77017,soldier_caught,0,1,0,0,667,642,321.0,25,,,0.8324893116950989,0,1.4524084627628326,1.355522871017456,1.5146252418116977,26,pn,pn,PN,
77018,soldier_caught,0,1,0,0,102,101,50.5,1,,,1.1392302513122559,0,1.5546565055847168,1.316162347793579,1.5728433849742913,2,pn,pn,PN,
77019,soldier_caught,0,1,0,0,1118,541,270.5,577,,,1.7332864999771118,0,1.1550706616477158,0.9949716925621033,1.2541341241405224,578,pn,pn,PN,
77020,intercepted,1,0,0,0,1831,1825,912.5,6,1831.0,915.5,3.057528495788574,0,1.1529953820364816,0.613448441028595,1.2053812673360824,7,pn,pn,PN,
77021,intercepted,1,0,0,0,852,663,331.5,189,852.0,426.0,2.9480690956115723,0,1.1189958968444875,1.3134814500808716,1.2024598852139994,190,pn,pn,PN,
77022,intercepted,1,0,0,0,425,18,9.0,407,425.0,212.5,3.5045509338378906,0,1.0924974582797171,0.7547509074211121,1.1991229564610322,408,pn,pn,PN,
77023,intercepted,1,0,0,0,251,35,17.5,216,251.0,125.5,2.1732165813446045,0,1.122585634001389,0.9728139042854309,1.2263509823987553,217,pn,pn,PN,
77024,intercepted,1,0,0,0,1202,996,498.0,206,1202.0,601.0,2.5164456367492676,0,1.0636100291773893,0.4652527868747711,1.1659463651414657,207,pn,pn,PN,
77025,intercepted,1,0,0,0,601,593,296.5,8,601.0,300.5,3.7117273807525635,0,1.3978819052378337,1.0914872884750366,1.4518094617416464,9,pn,pn,PN,
77026,intercepted,1,0,0,0,1060,689,344.5,371,1060.0,530.0,2.941678285598755,0,1.1537271396967994,0.7329203486442566,1.2510396472127043,372,pn,pn,PN,
77027,intercepted,1,0,0,0,66,24,12.0,42,66.0,33.0,2.6837401390075684,0,1.10916367900926,0.8227933645248413,1.1789099093093356,43,pn,pn,PN,
77028,intercepted,1,0,0,0,291,103,51.5,188,291.0,145.5,2.7372710704803467,0,1.1906692341521934,1.3242417573928833,1.2685965946522793,189,pn,pn,PN,
77029,soldier_caught,0,1,0,0,208,208,104.0,0,,,1.0801197290420532,0,1.2510684728622437,1.2510684728622437,1.2510684728622437,1,pn,pn,PN,
77030,soldier_caught,0,1,0,0,245,245,122.5,0,,,1.3338195085525513,0,1.0282388925552368,1.0282388925552368,1.0282388925552368,1,pn,pn,PN,
77031,soldier_caught,0,1,0,0,285,267,133.5,18,,,0.7821519374847412,0,1.0760651968027417,1.2241549491882324,1.1839544517418668,19,pn,pn,PN,
77032,intercepted,1,0,0,0,634,184,92.0,450,634.0,317.0,2.470383644104004,0,1.1256227123317724,0.6553261280059814,1.2244038311651708,451,pn,pn,PN,
77033,intercepted,1,0,0,0,352,15,7.5,337,352.0,176.0,2.552212715148926,0,1.1428748545782452,0.3400940001010895,1.2492818994110442,338,pn,pn,PN,
77034,soldier_caught,0,1,0,0,86,37,18.5,49,,,1.532150387763977,0,1.0721314078569413,1.056498408317566,1.176613038959253,50,pn,pn,PN,
77035,soldier_caught,0,1,0,0,35,35,17.5,0,,,1.6373635530471802,0,2.0075533390045166,2.0075533390045166,2.0075533390045166,1,pn,pn,PN,
