environment_seed,outcome,success,soldier_caught,unsafe_intercept,timeout,total_steps,detection_step,detection_time_seconds,post_detection_steps,intercept_step,intercept_time_seconds,min_enemy_soldier_dist,physical_limit_violations,mean_tracking_error,final_tracking_error,tracking_rmse,n_tracking_samples,instance_id,instance_name,family,training_seed
77000,intercepted,1,0,0,0,518,238,119.0,280,518.0,259.0,4.7295613288879395,0,2.3747476439034814,2.9337704181671143,2.497307156236852,281,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77001,intercepted,1,0,0,0,398,282,141.0,116,398.0,199.0,2.7137551307678223,0,2.5834376569996533,2.7456374168395996,2.6827119485351028,117,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77002,intercepted,1,0,0,0,437,395,197.5,42,437.0,218.5,4.641254425048828,0,2.3052818705869274,1.7762454748153687,2.4868151225935127,43,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77003,unsafe_intercept,0,0,1,0,499,499,249.5,0,,,2.231374740600586,0,0.8109434843063354,0.8109434843063354,0.8109434843063354,1,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77004,soldier_caught,0,1,0,0,1435,1435,717.5,0,,,0.6248793601989746,0,0.7066055536270142,0.7066055536270142,0.7066055536270142,1,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77005,soldier_caught,0,1,0,0,568,568,284.0,0,,,0.26938682794570923,0,2.4094505310058594,2.4094505310058594,2.4094505310058594,1,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77006,intercepted,1,0,0,0,308,151,75.5,157,308.0,154.0,4.0623555183410645,0,2.4223078687357,2.2828705310821533,2.5354174778760448,158,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77007,intercepted,1,0,0,0,222,200,100.0,22,222.0,111.0,2.036670446395874,0,2.3807230125302854,3.186044692993164,2.5467439679282333,23,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77008,intercepted,1,0,0,0,289,33,16.5,256,289.0,144.5,2.876715898513794,0,2.6343963830387547,2.765390396118164,2.7475432904617954,257,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77009,intercepted,1,0,0,0,318,291,145.5,27,318.0,159.0,2.6286916732788086,0,2.2971832071031844,2.0475900173187256,2.4043909154865823,28,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77010,intercepted,1,0,0,0,221,77,38.5,144,221.0,110.5,3.9140076637268066,0,2.655310197945299,3.0604782104492188,2.7317841425190754,145,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77011,intercepted,1,0,0,0,325,102,51.0,223,325.0,162.5,3.8065853118896484,0,2.6504706567419425,3.168633460998535,2.7195450491030395,224,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
