environment_seed,outcome,success,soldier_caught,unsafe_intercept,timeout,total_steps,detection_step,detection_time_seconds,post_detection_steps,intercept_step,intercept_time_seconds,min_enemy_soldier_dist,physical_limit_violations,mean_tracking_error,final_tracking_error,tracking_rmse,n_tracking_samples,instance_id,instance_name,family,training_seed
77000,intercepted,1,0,0,0,354,238,119.0,116,354.0,177.0,4.7295613288879395,0,1.113705262923852,0.4525183439254761,1.210881315469446,117,ppo_seed47,ppo,PPO,47
77001,intercepted,1,0,0,0,448,282,141.0,166,448.0,224.0,2.6766152381896973,0,1.1227532007737073,1.5180972814559937,1.2177768328204184,167,ppo_seed47,ppo,PPO,47
77002,intercepted,1,0,0,0,737,395,197.5,342,737.0,368.5,4.641254425048828,0,1.0765760545741017,1.9295103549957275,1.1769740743759651,343,ppo_seed47,ppo,PPO,47
77003,unsafe_intercept,0,0,1,0,499,499,249.5,0,,,2.231374740600586,0,0.8109434843063354,0.8109434843063354,0.8109434843063354,1,ppo_seed47,ppo,PPO,47
77004,soldier_caught,0,1,0,0,1435,1435,717.5,0,,,0.6248793601989746,0,0.7066055536270142,0.7066055536270142,0.7066055536270142,1,ppo_seed47,ppo,PPO,47
77005,soldier_caught,0,1,0,0,568,568,284.0,0,,,0.26938682794570923,0,2.4094505310058594,2.4094505310058594,2.4094505310058594,1,ppo_seed47,ppo,PPO,47
77006,intercepted,1,0,0,0,203,151,75.5,52,203.0,101.5,4.0623555183410645,0,1.0356083886241012,1.5527241230010986,1.1452513934744153,53,ppo_seed47,ppo,PPO,47
77007,unsafe_intercept,0,0,1,0,201,200,100.0,1,,,2.036670446395874,0,1.3087592720985413,1.3155139684677124,1.308776702966149,2,ppo_seed47,ppo,PPO,47
77008,intercepted,1,0,0,0,227,33,16.5,194,227.0,113.5,2.876715898513794,0,1.1689515923842406,1.2994451522827148,1.2424115105864797,195,ppo_seed47,ppo,PPO,47
77009,intercepted,1,0,0,0,342,291,145.5,51,342.0,171.0,2.6286916732788086,0,1.1254523493922675,0.7579092979431152,1.2280332962957605,52,ppo_seed47,ppo,PPO,47
