environment_seed,outcome,success,soldier_caught,unsafe_intercept,timeout,total_steps,detection_step,detection_time_seconds,post_detection_steps,intercept_step,intercept_time_seconds,min_enemy_soldier_dist,physical_limit_violations,mean_tracking_error,final_tracking_error,tracking_rmse,n_tracking_samples,optimizer_fallback_count,measurement_fallback_count,lead_init_count,pursuit_init_count,n_policy_calls,n_post_detection_decisions,instance_id,instance_name,family,training_seed
77000,intercepted,1,0,0,0,400,238,119.0,162,400.0,200.0,2.081679344177246,0,1.1052601696706257,1.0166783332824707,1.1995516637284274,163,0,0,161,1,400,162,rmpc,rmpc,RMPC,
77001,intercepted,1,0,0,0,551,282,141.0,269,551.0,275.5,3.931469678878784,0,1.1275434898557486,1.2032479047775269,1.229160433890262,270,0,0,268,1,551,269,rmpc,rmpc,RMPC,
77002,intercepted,1,0,0,0,508,395,197.5,113,508.0,254.0,4.641254425048828,0,1.0882612664187163,1.6754252910614014,1.1867468320715178,114,0,0,112,1,508,113,rmpc,rmpc,RMPC,
77003,unsafe_intercept,0,0,1,0,499,499,249.5,0,,,2.231374740600586,0,0.8109434843063354,0.8109434843063354,0.8109434843063354,1,0,0,0,0,499,0,rmpc,rmpc,RMPC,
77004,soldier_caught,0,1,0,0,1435,1435,717.5,0,,,0.6248793601989746,0,0.7066055536270142,0.7066055536270142,0.7066055536270142,1,0,0,0,0,1435,0,rmpc,rmpc,RMPC,
77005,soldier_caught,0,1,0,0,568,568,284.0,0,,,0.26938682794570923,0,2.4094505310058594,2.4094505310058594,2.4094505310058594,1,0,0,0,0,568,0,rmpc,rmpc,RMPC,
77006,intercepted,1,0,0,0,456,151,75.5,305,456.0,228.0,2.129671812057495,0,1.1289038836371665,0.6487331390380859,1.225708886806043,306,0,0,304,1,456,305,rmpc,rmpc,RMPC,
77007,intercepted,1,0,0,0,398,200,100.0,198,398.0,199.0,2.036670446395874,0,1.1746691278926091,1.5595734119415283,1.2742902575199033,199,0,0,197,1,398,198,rmpc,rmpc,RMPC,
77008,intercepted,1,0,0,0,44,33,16.5,11,44.0,22.0,2.876715898513794,0,1.2373103350400925,0.9135837554931641,1.3087300913554183,12,0,0,10,1,44,11,rmpc,rmpc,RMPC,
77009,intercepted,1,0,0,0,347,291,145.5,56,347.0,173.5,2.6286916732788086,0,1.1082081674483784,0.5845368504524231,1.2061569987466012,57,0,0,55,1,347,56,rmpc,rmpc,RMPC,
77010,intercepted,1,0,0,0,404,77,38.5,327,404.0,202.0,3.9140076637268066,0,1.1279393145133083,1.1831426620483398,1.2153549773531056,328,0,0,326,1,404,327,rmpc,rmpc,RMPC,
77011,intercepted,1,0,0,0,1090,102,51.0,988,1090.0,545.0,2.133021354675293,0,1.107137612938218,1.421881079673767,1.2008209141788568,989,0,0,987,1,1090,988,rmpc,rmpc,RMPC,
77012,intercepted,1,0,0,0,67,37,18.5,30,67.0,33.5,3.7550442218780518,0,1.015934772549137,1.1029857397079468,1.0884866473545003,31,0,0,29,1,67,30,rmpc,rmpc,RMPC,
77013,soldier_caught,0,1,0,0,1131,1131,565.5,0,,,1.5480592250823975,0,1.1092720031738281,1.1092720031738281,1.1092720031738281,1,0,0,0,0,1131,0,rmpc,rmpc,RMPC,
77014,intercepted,1,0,0,0,470,13,6.5,457,470.0,235.0,4.772366523742676,0,1.1077538854950901,1.0997591018676758,1.1983918376318112,458,0,0,456,1,470,457,rmpc,rmpc,RMPC,
77015,intercepted,1,0,0,0,821,79,39.5,742,821.0,410.5,2.7565104961395264,0,1.133789510763229,1.5141804218292236,1.2325835912197691,743,0,0,741,1,821,742,rmpc,rmpc,RMPC,
