instance,family,training_seed,n,successes,success_rate,success_ci_low,success_ci_high,soldier_caught_rate,unsafe_intercept_rate,timeout_rate,mean_post_detection_steps,mean_intercept_time_if_success
greedy,Greedy,,1000,581,0.581,0.5501666261541897,0.6112134389711504,0.332,0.084,0.003,145.908,234.2641996557659
pn,PN,,1000,556,0.556,0.5250491625099077,0.5865222405397102,0.359,0.083,0.002,159.233,244.93345323741008
lead,Lead,,1000,652,0.652,0.6219460655735375,0.6808905998468539,0.259,0.087,0.002,90.421,192.2361963190184
ppo_seed45,PPO,45.0,1000,618,0.618,0.5874883403629351,0.6476085446344738,0.259,0.12,0.003,102.642,199.55258899676375
ppo_seed46,PPO,46.0,1000,634,0.634,0.6036838706724748,0.6632905580533965,0.249,0.116,0.001,97.716,199.01340694006308
ppo_seed47,PPO,47.0,1000,534,0.534,0.5030108102327143,0.5647289701902679,0.335,0.129,0.002,109.644,203.3005617977528
ppo_kalman_seed45,PPO-Kalman,45.0,1000,560,0.56,0.5290626428712739,0.5904781461104596,0.31,0.128,0.002,76.915,181.56160714285716
ppo_kalman_seed46,PPO-Kalman,46.0,1000,551,0.551,0.5200351373690727,0.5815745332654009,0.31,0.137,0.002,111.73,208.34119782214157
ppo_kalman_seed47,PPO-Kalman,47.0,1000,586,0.586,0.5551996791811112,0.6161421183593733,0.29,0.123,0.001,97.889,200.8566552901024
lr_ppo_seed55,LR-PPO,55.0,1000,666,0.666,0.6361818350568,0.6945476811259959,0.248,0.086,0.0,67.158,178.45195195195194
lr_ppo_seed56,LR-PPO,56.0,1000,652,0.652,0.6219460655735375,0.6808905998468539,0.259,0.087,0.002,71.833,176.90337423312883
lr_ppo_seed57,LR-PPO,57.0,1000,662,0.662,0.6321115753976023,0.6906485548530779,0.251,0.087,0.0,66.133,175.54833836858006
rmpc,RMPC,,1000,589,0.589,0.5582210567913957,0.6190977801981754,0.301,0.108,0.002,137.689,230.3548387096774
