environment_seed,outcome,success,soldier_caught,unsafe_intercept,timeout,total_steps,detection_step,detection_time_seconds,post_detection_steps,intercept_step,intercept_time_seconds,min_enemy_soldier_dist,physical_limit_violations,mean_tracking_error,final_tracking_error,tracking_rmse,n_tracking_samples,instance_id,instance_name,family,training_seed
77000,intercepted,1,0,0,0,1162,9,4.5,1153,1162.0,581.0,3.071784257888794,0,1.1248017154130407,1.487969994544983,1.2185639655927205,1154,greedy,greedy,Greedy,
77001,intercepted,1,0,0,0,290,17,8.5,273,290.0,145.0,2.0358593463897705,0,1.1251927979671172,0.7600600123405457,1.2258502436822565,274,greedy,greedy,Greedy,
77002,intercepted,1,0,0,0,72,58,29.0,14,72.0,36.0,14.403212547302246,0,1.013429433107376,1.0893007516860962,1.057499741974192,15,greedy,greedy,Greedy,
77003,intercepted,1,0,0,0,175,30,15.0,145,175.0,87.5,3.0786385536193848,0,1.129211456195949,0.8443717956542969,1.2279733416694056,146,greedy,greedy,Greedy,
77004,intercepted,1,0,0,0,92,71,35.5,21,92.0,46.0,14.304373741149902,0,1.2816552248868076,1.1981865167617798,1.3992508846633838,22,greedy,greedy,Greedy,
77005,intercepted,1,0,0,0,102,13,6.5,89,102.0,51.0,4.404162406921387,0,1.1342148120204607,0.6787886619567871,1.259171812550261,90,greedy,greedy,Greedy,
77006,intercepted,1,0,0,0,104,31,15.5,73,104.0,52.0,7.50284481048584,0,1.0437016036059406,0.817264974117279,1.1547583758835376,74,greedy,greedy,Greedy,
77007,soldier_caught,0,1,0,0,200,16,8.0,184,,,0.9884657263755798,0,1.1786694595942626,0.9660471081733704,1.2811492195528809,185,greedy,greedy,Greedy,
77008,intercepted,1,0,0,0,41,9,4.5,32,41.0,20.5,2.6354894638061523,0,1.2027638662945142,0.7083811163902283,1.273415627466647,33,greedy,greedy,Greedy,
77009,soldier_caught,0,1,0,0,1559,136,68.0,1423,,,1.255237340927124,0,1.124276939145122,1.8129792213439941,1.2218670515340395,1424,greedy,greedy,Greedy,
77010,intercepted,1,0,0,0,729,10,5.0,719,729.0,364.5,2.1087779998779297,0,1.1244989745111929,0.5676252841949463,1.219709352281741,720,greedy,greedy,Greedy,
77011,intercepted,1,0,0,0,92,17,8.5,75,92.0,46.0,8.872443199157715,0,1.0723398677808673,1.194927453994751,1.1702598733870064,76,greedy,greedy,Greedy,
77012,intercepted,1,0,0,0,143,10,5.0,133,143.0,71.5,3.8741559982299805,0,1.1294939861591182,1.553595781326294,1.2276278269044005,134,greedy,greedy,Greedy,
77013,soldier_caught,0,1,0,0,338,29,14.5,309,,,1.9775339365005493,0,1.087882808091179,1.2943700551986694,1.1874096799196912,310,greedy,greedy,Greedy,
77014,soldier_caught,0,1,0,0,307,10,5.0,297,,,1.4067797660827637,0,1.097130203307075,0.5028096437454224,1.183863614485192,298,greedy,greedy,Greedy,
77015,intercepted,1,0,0,0,44,9,4.5,35,44.0,22.0,6.5450921058654785,0,1.124011880821652,0.9518082141876221,1.191905254237239,36,greedy,greedy,Greedy,
77016,soldier_caught,0,1,0,0,248,8,4.0,240,,,1.0641634464263916,0,1.1350849526799072,0.7994155883789062,1.2264109364778115,241,greedy,greedy,Greedy,
