environment_seed,outcome,success,soldier_caught,unsafe_intercept,timeout,total_steps,detection_step,detection_time_seconds,post_detection_steps,intercept_step,intercept_time_seconds,min_enemy_soldier_dist,physical_limit_violations,mean_tracking_error,final_tracking_error,tracking_rmse,n_tracking_samples,instance_id,instance_name,family,training_seed
77000,intercepted,1,0,0,0,141,9,4.5,132,141.0,70.5,3.851170539855957,0,1.105734987590546,0.9830510020256042,1.2030197923786554,133,lead,lead,Lead,
77001,intercepted,1,0,0,0,498,17,8.5,481,498.0,249.0,7.262064456939697,0,1.1417665556382341,0.9138423204421997,1.2404770510409937,482,lead,lead,Lead,
77002,intercepted,1,0,0,0,73,58,29.0,15,73.0,36.5,14.403212547302246,0,1.0499639939516783,1.597982406616211,1.0990943242047966,16,lead,lead,Lead,
77003,intercepted,1,0,0,0,58,30,15.0,28,58.0,29.0,10.895166397094727,0,1.2109350747075573,2.074276924133301,1.3088706234920287,29,lead,lead,Lead,
77004,intercepted,1,0,0,0,79,71,35.5,8,79.0,39.5,14.304373741149902,0,1.1765397323502436,1.136576533317566,1.2559937607293736,9,lead,lead,Lead,
77005,intercepted,1,0,0,0,44,13,6.5,31,44.0,22.0,6.74576473236084,0,0.981370615772903,0.5295431017875671,1.1156763757904118,32,lead,lead,Lead,
77006,intercepted,1,0,0,0,106,31,15.5,75,106.0,53.0,7.516294956207275,0,1.0542150539787192,1.384442687034607,1.1633050977945927,76,lead,lead,Lead,
77007,soldier_caught,0,1,0,0,200,16,8.0,184,,,0.919746458530426,0,1.1786694523450492,0.9660471081733704,1.2811492118331111,185,lead,lead,Lead,
77008,intercepted,1,0,0,0,100,9,4.5,91,100.0,50.0,3.8538131713867188,0,1.154818875634152,1.827644944190979,1.2236624196920105,92,lead,lead,Lead,
77009,intercepted,1,0,0,0,266,136,68.0,130,266.0,133.0,3.411975383758545,0,1.1268057021248432,1.4860315322875977,1.231194429085636,131,lead,lead,Lead,
77010,intercepted,1,0,0,0,80,10,5.0,70,80.0,40.0,2.049135208129883,0,1.195320317023237,1.8878767490386963,1.2775766433048732,71,lead,lead,Lead,
77011,intercepted,1,0,0,0,82,17,8.5,65,82.0,41.0,8.872443199157715,0,1.0430060548312736,2.173595666885376,1.1409558496620436,66,lead,lead,Lead,
77012,intercepted,1,0,0,0,223,10,5.0,213,223.0,111.5,3.4933958053588867,0,1.105379918259438,0.3579574227333069,1.19997895349754,214,lead,lead,Lead,
77013,intercepted,1,0,0,0,324,29,14.5,295,324.0,162.0,10.055091857910156,0,1.0830680904154841,1.5382695198059082,1.1849412567191202,296,lead,lead,Lead,
77014,soldier_caught,0,1,0,0,525,10,5.0,515,,,1.9571590423583984,0,1.1136718034282211,1.181369662284851,1.201810823835668,516,lead,lead,Lead,
77015,intercepted,1,0,0,0,40,9,4.5,31,40.0,20.0,8.874738693237305,0,1.1647491715848446,1.1223970651626587,1.2300301560582385,32,lead,lead,Lead,
77016,intercepted,1,0,0,0,22,8,4.0,14,22.0,11.0,12.041261672973633,0,1.2554503242174784,0.3712261915206909,1.390664379485998,15,lead,lead,Lead,
77017,intercepted,1,0,0,0,186,14,7.0,172,186.0,93.0,2.132877826690674,0,1.1905611737098307,0.578493595123291,1.2772120833357405,173,lead,lead,Lead,
77018,intercepted,1,0,0,0,325,77,38.5,248,325.0,162.5,3.1610937118530273,0,1.1788318768203498,1.0815470218658447,1.2823199607096538,249,lead,lead,Lead,
77019,intercepted,1,0,0,0,48,8,4.0,40,48.0,24.0,5.790734767913818,0,1.0803696262400324,1.7747970819473267,1.1512424939696857,41,lead,lead,Lead,
77020,intercepted,1,0,0,0,376,10,5.0,366,376.0,188.0,7.089316368103027,0,1.1441577163395504,1.1298589706420898,1.2394537154865761,367,lead,lead,Lead,
77021,intercepted,1,0,0,0,50,41,20.5,9,50.0,25.0,13.844696044921875,0,1.0983000993728638,0.7479091882705688,1.1669591288467382,10,lead,lead,Lead,
77022,intercepted,1,0,0,0,18,16,8.0,2,18.0,9.0,3.601125717163086,0,1.5278230508168538,1.2741605043411255,1.5383339735122155,3,lead,lead,Lead,
77023,soldier_caught,0,1,0,0,58,12,6.0,46,,,1.7525924444198608,0,1.0590107336323311,1.2052292823791504,1.1446988071274162,47,lead,lead,Lead,
77024,intercepted,1,0,0,0,311,18,9.0,293,311.0,155.5,9.919404029846191,0,1.0630853856806042,0.6023653149604797,1.166259594428275,294,lead,lead,Lead,
77025,intercepted,1,0,0,0,469,57,28.5,412,469.0,234.5,3.4049439430236816,0,1.1402209971199313,0.9395533800125122,1.2312551946927457,413,lead,lead,Lead,
77026,intercepted,1,0,0,0,27,10,5.0,17,27.0,13.5,8.51110553741455,0,1.264579575922754,1.2289507389068604,1.3513723049390975,18,lead,lead,Lead,
77027,intercepted,1,0,0,0,102,21,10.5,81,102.0,51.0,2.6170926094055176,0,1.0829973871388086,1.4939119815826416,1.1663945522945445,82,lead,lead,Lead,
