environment_seed,outcome,success,soldier_caught,unsafe_intercept,timeout,total_steps,detection_step,detection_time_seconds,post_detection_steps,intercept_step,intercept_time_seconds,min_enemy_soldier_dist,physical_limit_violations,mean_tracking_error,final_tracking_error,tracking_rmse,n_tracking_samples,instance_id,instance_name,family,training_seed
77000,intercepted,1,0,0,0,144,9,4.5,135,144.0,72.0,8.881464958190918,0,1.107628954903168,1.4797508716583252,1.2032372398047546,136,lr_ppo_seed55,lr_ppo,LR-PPO,55
77001,intercepted,1,0,0,0,151,17,8.5,134,151.0,75.5,7.505845069885254,0,1.149931538546527,1.3585926294326782,1.2431814574986904,135,lr_ppo_seed55,lr_ppo,LR-PPO,55
77002,intercepted,1,0,0,0,332,58,29.0,274,332.0,166.0,3.701716184616089,0,1.071059803149917,0.6650315523147583,1.1669589380748069,275,lr_ppo_seed55,lr_ppo,LR-PPO,55
77003,intercepted,1,0,0,0,41,30,15.0,11,41.0,20.5,10.894806861877441,0,1.205266311764717,0.7740785479545593,1.3408801973070528,12,lr_ppo_seed55,lr_ppo,LR-PPO,55
77004,intercepted,1,0,0,0,79,71,35.5,8,79.0,39.5,14.303674697875977,0,1.1765397191047668,1.1365764141082764,1.2559937487432495,9,lr_ppo_seed55,lr_ppo,LR-PPO,55
77005,intercepted,1,0,0,0,55,13,6.5,42,55.0,27.5,6.730154037475586,0,1.1581016522507335,1.3411264419555664,1.3059537098081409,43,lr_ppo_seed55,lr_ppo,LR-PPO,55
77006,intercepted,1,0,0,0,89,31,15.5,58,89.0,44.5,7.495743274688721,0,1.0030997163158353,0.6489512920379639,1.116535341623879,59,lr_ppo_seed55,lr_ppo,LR-PPO,55
77007,intercepted,1,0,0,0,247,16,8.0,231,247.0,123.5,10.704206466674805,0,1.1725135185466757,1.1018348932266235,1.2715664776809465,232,lr_ppo_seed55,lr_ppo,LR-PPO,55
77008,intercepted,1,0,0,0,42,9,4.5,33,42.0,21.0,3.2333757877349854,0,1.179538377067622,0.41309478878974915,1.2565479741219736,34,lr_ppo_seed55,lr_ppo,LR-PPO,55
77009,intercepted,1,0,0,0,236,136,68.0,100,236.0,118.0,11.256834983825684,0,1.1198522202154197,1.434397578239441,1.2249502186201269,101,lr_ppo_seed55,lr_ppo,LR-PPO,55
77010,intercepted,1,0,0,0,63,10,5.0,53,63.0,31.5,9.108739852905273,0,1.1868742627126199,1.105403184890747,1.2722227396498735,54,lr_ppo_seed55,lr_ppo,LR-PPO,55
77011,intercepted,1,0,0,0,39,17,8.5,22,39.0,19.5,8.870829582214355,0,1.1468589189259901,1.110013484954834,1.213371895422449,23,lr_ppo_seed55,lr_ppo,LR-PPO,55
77012,intercepted,1,0,0,0,131,10,5.0,121,131.0,65.5,4.417084693908691,0,1.130845441559299,0.900603175163269,1.230356841295031,122,lr_ppo_seed55,lr_ppo,LR-PPO,55
77013,intercepted,1,0,0,0,368,29,14.5,339,368.0,184.0,3.887009859085083,0,1.0969590463072938,1.5322035551071167,1.1954693500679627,340,lr_ppo_seed55,lr_ppo,LR-PPO,55
77014,intercepted,1,0,0,0,37,10,5.0,27,37.0,18.5,6.104224681854248,0,0.9959037931902068,0.8979458212852478,1.0626597247425296,28,lr_ppo_seed55,lr_ppo,LR-PPO,55
77015,soldier_caught,0,1,0,0,127,9,4.5,118,,,1.9705595970153809,0,1.1833056096269303,2.462402582168579,1.288026367588345,119,lr_ppo_seed55,lr_ppo,LR-PPO,55
77016,intercepted,1,0,0,0,22,8,4.0,14,22.0,11.0,12.051596641540527,0,1.2554503122965495,0.3712261915206909,1.3906643517346615,15,lr_ppo_seed55,lr_ppo,LR-PPO,55
77017,intercepted,1,0,0,0,137,14,7.0,123,137.0,68.5,12.354548454284668,0,1.2046379141749874,1.5509074926376343,1.2903673519546535,124,lr_ppo_seed55,lr_ppo,LR-PPO,55
77018,intercepted,1,0,0,0,317,77,38.5,240,317.0,158.5,3.9675076007843018,0,1.1724406937716907,1.194123387336731,1.2753566981574613,241,lr_ppo_seed55,lr_ppo,LR-PPO,55
77019,intercepted,1,0,0,0,117,8,4.0,109,117.0,58.5,5.7180399894714355,0,1.1181284034794028,1.3073756694793701,1.21210608515727,110,lr_ppo_seed55,lr_ppo,LR-PPO,55
77020,intercepted,1,0,0,0,63,10,5.0,53,63.0,31.5,7.089316368103027,0,1.1877370962390192,1.2982125282287598,1.2816268875945558,54,lr_ppo_seed55,lr_ppo,LR-PPO,55
77021,intercepted,1,0,0,0,58,41,20.5,17,58.0,29.0,13.84725284576416,0,1.1096269687016804,0.9482722878456116,1.1760538459567755,18,lr_ppo_seed55,lr_ppo,LR-PPO,55
77022,intercepted,1,0,0,0,193,16,8.0,177,193.0,96.5,3.613175392150879,0,1.12992951499947,1.6564079523086548,1.2505391672039508,178,lr_ppo_seed55,lr_ppo,LR-PPO,55
77023,soldier_caught,0,1,0,0,58,12,6.0,46,,,1.2549540996551514,0,1.0590107225357217,1.2052292823791504,1.1446987984977413,47,lr_ppo_seed55,lr_ppo,LR-PPO,55
77024,intercepted,1,0,0,0,347,18,9.0,329,347.0,173.5,9.540590286254883,0,1.0588840967326454,0.5938498377799988,1.157863391961938,330,lr_ppo_seed55,lr_ppo,LR-PPO,55
77025,intercepted,1,0,0,0,282,57,28.5,225,282.0,141.0,6.205336093902588,0,1.1878605323423326,1.1738052368164062,1.2829134447128636,226,lr_ppo_seed55,lr_ppo,LR-PPO,55
77026,intercepted,1,0,0,0,183,10,5.0,173,183.0,91.5,5.643293380737305,0,1.1529889845385635,1.2107970714569092,1.2580569375637567,174,lr_ppo_seed55,lr_ppo,LR-PPO,55
77027,intercepted,1,0,0,0,33,21,10.5,12,33.0,16.5,2.6915171146392822,0,1.0521658819455366,1.1556943655014038,1.1243259422227938,13,lr_ppo_seed55,lr_ppo,LR-PPO,55
77028,soldier_caught,0,1,0,0,102,10,5.0,92,,,1.723170280456543,0,1.2077044969604862,1.3036595582962036,1.275073760816452,93,lr_ppo_seed55,lr_ppo,LR-PPO,55
77029,intercepted,1,0,0,0,48,15,7.5,33,48.0,24.0,7.399606704711914,0,1.1194443159243639,1.7390986680984497,1.2177443699381745,34,lr_ppo_seed55,lr_ppo,LR-PPO,55
77030,intercepted,1,0,0,0,42,9,4.5,33,42.0,21.0,9.451560020446777,0,1.1849052660605486,1.071024775505066,1.246898242005794,34,lr_ppo_seed55,lr_ppo,LR-PPO,55
77031,intercepted,1,0,0,0,233,9,4.5,224,233.0,116.5,3.7184038162231445,0,1.12976579354869,0.13783255219459534,1.227367828056165,225,lr_ppo_seed55,lr_ppo,LR-PPO,55
77032,intercepted,1,0,0,0,243,31,15.5,212,243.0,121.5,4.940286159515381,0,1.0986012453344507,1.1438052654266357,1.1969408726283923,213,lr_ppo_seed55,lr_ppo,LR-PPO,55
77033,intercepted,1,0,0,0,66,14,7.0,52,66.0,33.0,3.095477819442749,0,1.1489319306499552,1.384739875793457,1.2677779999824532,53,lr_ppo_seed55,lr_ppo,LR-PPO,55
77034,intercepted,1,0,0,0,20,10,5.0,10,20.0,10.0,9.359688758850098,0,1.1545614952390844,1.1238877773284912,1.2372213619117216,11,lr_ppo_seed55,lr_ppo,LR-PPO,55
77035,intercepted,1,0,0,0,238,13,6.5,225,238.0,119.0,4.894016265869141,0,1.0849140563205015,1.3519285917282104,1.1832292164281253,226,lr_ppo_seed55,lr_ppo,LR-PPO,55
77036,intercepted,1,0,0,0,70,13,6.5,57,70.0,35.0,3.9411535263061523,0,1.1711860155237133,1.3520303964614868,1.2357364867426741,58,lr_ppo_seed55,lr_ppo,LR-PPO,55
77037,intercepted,1,0,0,0,187,12,6.0,175,187.0,93.5,4.55840539932251,0,1.1309459566731344,1.8604798316955566,1.233375159304174,176,lr_ppo_seed55,lr_ppo,LR-PPO,55
77038,intercepted,1,0,0,0,319,11,5.5,308,319.0,159.5,3.945183277130127,0,1.1196123684204897,1.8501169681549072,1.2117712926498743,309,lr_ppo_seed55,lr_ppo,LR-PPO,55
77039,intercepted,1,0,0,0,98,13,6.5,85,98.0,49.0,12.673373222351074,0,1.0878031229556993,1.3019894361495972,1.1697114226657912,86,lr_ppo_seed55,lr_ppo,LR-PPO,55
77040,intercepted,1,0,0,0,124,10,5.0,114,124.0,62.0,6.961309432983398,0,1.1077450683583383,1.3643327951431274,1.1929972223815377,115,lr_ppo_seed55,lr_ppo,LR-PPO,55
77041,intercepted,1,0,0,0,77,18,9.0,59,77.0,38.5,2.58803391456604,0,1.1367494761943817,0.8306529521942139,1.2587637326187444,60,lr_ppo_seed55,lr_ppo,LR-PPO,55
77042,intercepted,1,0,0,0,223,8,4.0,215,223.0,111.5,3.3714895248413086,0,1.1403131610541433,0.5569053888320923,1.2323269763412363,216,lr_ppo_seed55,lr_ppo,LR-PPO,55
77043,intercepted,1,0,0,0,24,13,6.5,11,24.0,12.0,5.448793888092041,0,1.1823900354405243,1.728917121887207,1.3039225800439989,12,lr_ppo_seed55,lr_ppo,LR-PPO,55
77044,intercepted,1,0,0,0,63,13,6.5,50,63.0,31.5,3.9070470333099365,0,1.2701411533589457,1.5904747247695923,1.3922125436420507,51,lr_ppo_seed55,lr_ppo,LR-PPO,55
77045,intercepted,1,0,0,0,286,63,31.5,223,286.0,143.0,7.192583084106445,0,1.0977962497355682,1.1272592544555664,1.187412538006904,224,lr_ppo_seed55,lr_ppo,LR-PPO,55
77046,intercepted,1,0,0,0,108,13,6.5,95,108.0,54.0,7.0150275230407715,0,1.143693576566875,2.2349133491516113,1.2525149096533588,96,lr_ppo_seed55,lr_ppo,LR-PPO,55
77047,intercepted,1,0,0,0,34,9,4.5,25,34.0,17.0,3.0849525928497314,0,0.9652134111294379,1.0871045589447021,1.0736358706196412,26,lr_ppo_seed55,lr_ppo,LR-PPO,55
77048,intercepted,1,0,0,0,60,34,17.0,26,60.0,30.0,11.317438125610352,0,1.18069714418164,1.6807352304458618,1.2678531119736804,27,lr_ppo_seed55,lr_ppo,LR-PPO,55
77049,intercepted,1,0,0,0,57,34,17.0,23,57.0,28.5,13.194940567016602,0,1.233241433898608,1.345099687576294,1.3368877175041396,24,lr_ppo_seed55,lr_ppo,LR-PPO,55
77050,soldier_caught,0,1,0,0,38,10,5.0,28,,,1.334778070449829,0,1.0351794732028041,0.9680606722831726,1.1248353413305385,29,lr_ppo_seed55,lr_ppo,LR-PPO,55
77051,intercepted,1,0,0,0,124,15,7.5,109,124.0,62.0,2.087186336517334,0,1.0369960348714482,1.177053689956665,1.1221780765124185,110,lr_ppo_seed55,lr_ppo,LR-PPO,55
