environment_seed,outcome,success,soldier_caught,unsafe_intercept,timeout,total_steps,detection_step,detection_time_seconds,post_detection_steps,intercept_step,intercept_time_seconds,min_enemy_soldier_dist,physical_limit_violations,mean_tracking_error,final_tracking_error,tracking_rmse,n_tracking_samples,instance_id,instance_name,family,training_seed
77000,intercepted,1,0,0,0,104,9,4.5,95,104.0,52.0,2.481701612472534,0,2.3494818409283957,2.9098167419433594,2.4897228164156933,96,ppo_kalman_seed47,ppo_kalman,PPO-Kalman,47
77001,soldier_caught,0,1,0,0,114,17,8.5,97,,,1.9017889499664307,0,2.57385660616719,2.6440587043762207,2.685957041960597,98,ppo_kalman_seed47,ppo_kalman,PPO-Kalman,47
77002,intercepted,1,0,0,0,90,58,29.0,32,90.0,45.0,14.403212547302246,0,2.4312877275727014,1.8521777391433716,2.5152163547832895,33,ppo_kalman_seed47,ppo_kalman,PPO-Kalman,47
77003,intercepted,1,0,0,0,265,30,15.0,235,265.0,132.5,2.2723324298858643,0,2.5907169441550466,2.3958983421325684,2.68895426253301,236,ppo_kalman_seed47,ppo_kalman,PPO-Kalman,47
77004,intercepted,1,0,0,0,117,71,35.5,46,117.0,58.5,14.049233436584473,0,2.1214706568007773,2.6697115898132324,2.298362354234601,47,ppo_kalman_seed47,ppo_kalman,PPO-Kalman,47
77005,intercepted,1,0,0,0,19,13,6.5,6,19.0,9.5,7.340373516082764,0,1.2838527315429278,2.4056684970855713,1.5699634448819393,7,ppo_kalman_seed47,ppo_kalman,PPO-Kalman,47
77006,intercepted,1,0,0,0,104,31,15.5,73,104.0,52.0,8.16425609588623,0,2.6205232876378135,2.84592604637146,2.674522050027473,74,ppo_kalman_seed47,ppo_kalman,PPO-Kalman,47
77007,intercepted,1,0,0,0,338,16,8.0,322,338.0,169.0,2.5567188262939453,0,2.577059084785981,3.136983871459961,2.6803735551546812,323,ppo_kalman_seed47,ppo_kalman,PPO-Kalman,47
77008,intercepted,1,0,0,0,196,9,4.5,187,196.0,98.0,2.5747101306915283,0,2.395142024184795,2.0801920890808105,2.5381315579344492,188,ppo_kalman_seed47,ppo_kalman,PPO-Kalman,47
77009,intercepted,1,0,0,0,183,136,68.0,47,183.0,91.5,10.954235076904297,0,2.5570893386999765,2.2977235317230225,2.635668309118966,48,ppo_kalman_seed47,ppo_kalman,PPO-Kalman,47
77010,intercepted,1,0,0,0,15,10,5.0,5,15.0,7.5,10.621925354003906,0,1.1511121541261673,1.5289585590362549,1.2448009522456531,6,ppo_kalman_seed47,ppo_kalman,PPO-Kalman,47
77011,intercepted,1,0,0,0,412,17,8.5,395,412.0,206.0,5.042828559875488,0,2.6069728054783563,2.5424067974090576,2.6918531622001085,396,ppo_kalman_seed47,ppo_kalman,PPO-Kalman,47
77012,intercepted,1,0,0,0,15,10,5.0,5,15.0,7.5,5.752263069152832,0,1.3360433876514435,2.702727794647217,1.5035483812416903,6,ppo_kalman_seed47,ppo_kalman,PPO-Kalman,47
77013,intercepted,1,0,0,0,110,29,14.5,81,110.0,55.0,14.248760223388672,0,2.774066603038369,3.4011707305908203,2.8285836346401223,82,ppo_kalman_seed47,ppo_kalman,PPO-Kalman,47
77014,intercepted,1,0,0,0,183,10,5.0,173,183.0,91.5,4.699245452880859,0,2.504649492344637,2.318958282470703,2.593047832589864,174,ppo_kalman_seed47,ppo_kalman,PPO-Kalman,47
77015,intercepted,1,0,0,0,12,9,4.5,3,12.0,6.0,8.893661499023438,0,1.2960053980350494,1.116814136505127,1.310076086165198,4,ppo_kalman_seed47,ppo_kalman,PPO-Kalman,47
77016,intercepted,1,0,0,0,204,8,4.0,196,204.0,102.0,2.6850690841674805,0,2.625604536025052,3.305086612701416,2.707400000216473,197,ppo_kalman_seed47,ppo_kalman,PPO-Kalman,47
77017,intercepted,1,0,0,0,280,14,7.0,266,280.0,140.0,7.217933654785156,0,2.5932454049364013,3.4165186882019043,2.681815277285006,267,ppo_kalman_seed47,ppo_kalman,PPO-Kalman,47
77018,soldier_caught,0,1,0,0,187,77,38.5,110,,,1.8705018758773804,0,2.2364497337792373,2.833505868911743,2.338667405962088,111,ppo_kalman_seed47,ppo_kalman,PPO-Kalman,47
77019,intercepted,1,0,0,0,13,8,4.0,5,13.0,6.5,9.112486839294434,0,1.4745760262012482,2.259506940841675,1.5944557933034096,6,ppo_kalman_seed47,ppo_kalman,PPO-Kalman,47
77020,soldier_caught,0,1,0,0,369,10,5.0,359,,,1.7845277786254883,0,2.530658580114444,1.383342981338501,2.6179987412373262,360,ppo_kalman_seed47,ppo_kalman,PPO-Kalman,47
77021,intercepted,1,0,0,0,220,41,20.5,179,220.0,110.0,3.224985122680664,0,2.4953638086716334,3.207160711288452,2.5902739901651235,180,ppo_kalman_seed47,ppo_kalman,PPO-Kalman,47
77022,intercepted,1,0,0,0,81,16,8.0,65,81.0,40.5,3.625913143157959,0,2.4103681788300024,2.1639950275421143,2.485022213577252,66,ppo_kalman_seed47,ppo_kalman,PPO-Kalman,47
77023,intercepted,1,0,0,0,250,12,6.0,238,250.0,125.0,3.8482682704925537,0,2.699637089937801,4.1324615478515625,2.7735692477051557,239,ppo_kalman_seed47,ppo_kalman,PPO-Kalman,47
77024,intercepted,1,0,0,0,50,18,9.0,32,50.0,25.0,8.531150817871094,0,1.6636255898258903,1.733363389968872,1.8573446869808854,33,ppo_kalman_seed47,ppo_kalman,PPO-Kalman,47
77025,intercepted,1,0,0,0,169,57,28.5,112,169.0,84.5,12.81489372253418,0,2.7713605302624997,2.33634090423584,2.8313213180381953,113,ppo_kalman_seed47,ppo_kalman,PPO-Kalman,47
77026,soldier_caught,0,1,0,0,39,10,5.0,29,,,0.7826023697853088,0,2.2943493763605756,1.1683865785598755,2.3982944502181702,30,ppo_kalman_seed47,ppo_kalman,PPO-Kalman,47
77027,intercepted,1,0,0,0,124,21,10.5,103,124.0,62.0,2.325294256210327,0,2.2533336522487493,3.356719732284546,2.4155365732297964,104,ppo_kalman_seed47,ppo_kalman,PPO-Kalman,47
77028,intercepted,1,0,0,0,637,10,5.0,627,637.0,318.5,2.488312005996704,0,2.505208409136268,2.4448323249816895,2.6077381501901384,628,ppo_kalman_seed47,ppo_kalman,PPO-Kalman,47
77029,intercepted,1,0,0,0,368,15,7.5,353,368.0,184.0,5.363711833953857,0,2.4472509191534613,3.0657799243927,2.574503935118612,354,ppo_kalman_seed47,ppo_kalman,PPO-Kalman,47
77030,intercepted,1,0,0,0,83,9,4.5,74,83.0,41.5,9.843238830566406,0,2.4325229104359947,1.6912412643432617,2.5435379113749828,75,ppo_kalman_seed47,ppo_kalman,PPO-Kalman,47
77031,intercepted,1,0,0,0,20,9,4.5,11,20.0,10.0,5.694328308105469,0,1.8938258588314056,3.241945505142212,2.0472845156137565,12,ppo_kalman_seed47,ppo_kalman,PPO-Kalman,47
77032,intercepted,1,0,0,0,48,31,15.5,17,48.0,24.0,13.230451583862305,0,2.6361617810196347,2.6288836002349854,2.851689853437674,18,ppo_kalman_seed47,ppo_kalman,PPO-Kalman,47
77033,soldier_caught,0,1,0,0,863,14,7.0,849,,,0.8893140554428101,0,2.5380058620256536,1.1964974403381348,2.640588584311699,850,ppo_kalman_seed47,ppo_kalman,PPO-Kalman,47
77034,soldier_caught,0,1,0,0,858,10,5.0,848,,,1.0013397932052612,0,2.6150367606795437,0.33092984557151794,2.689772247598628,849,ppo_kalman_seed47,ppo_kalman,PPO-Kalman,47
77035,soldier_caught,0,1,0,0,38,13,6.5,25,,,1.1871585845947266,0,2.0247864023997235,0.5019524097442627,2.284782085495137,26,ppo_kalman_seed47,ppo_kalman,PPO-Kalman,47
