environment_seed,outcome,success,soldier_caught,unsafe_intercept,timeout,total_steps,detection_step,detection_time_seconds,post_detection_steps,intercept_step,intercept_time_seconds,min_enemy_soldier_dist,physical_limit_violations,mean_tracking_error,final_tracking_error,tracking_rmse,n_tracking_samples,instance_id,instance_name,family,training_seed
77000,intercepted,1,0,0,0,395,9,4.5,386,395.0,197.5,6.113023281097412,0,1.1040610809466327,1.0481985807418823,1.2013077633221731,387,ppo_seed45,ppo,PPO,45
77001,intercepted,1,0,0,0,20,17,8.5,3,20.0,10.0,8.424179077148438,0,1.449076920747757,2.2820231914520264,1.5628613222491121,4,ppo_seed45,ppo,PPO,45
77002,intercepted,1,0,0,0,105,58,29.0,47,105.0,52.5,14.403212547302246,0,1.0770454499870539,0.876915454864502,1.1567422929076776,48,ppo_seed45,ppo,PPO,45
77003,intercepted,1,0,0,0,34,30,15.0,4,34.0,17.0,10.894798278808594,0,0.9580506563186646,1.8642277717590332,1.0747506110875797,5,ppo_seed45,ppo,PPO,45
77004,intercepted,1,0,0,0,1027,71,35.5,956,1027.0,513.5,6.84328031539917,0,1.115213137676661,0.9233013391494751,1.2096721438834002,957,ppo_seed45,ppo,PPO,45
77005,intercepted,1,0,0,0,74,13,6.5,61,74.0,37.0,7.340373516082764,0,1.1490118301683856,0.8833574056625366,1.2773624717240766,62,ppo_seed45,ppo,PPO,45
77006,intercepted,1,0,0,0,50,31,15.5,19,50.0,25.0,10.069689750671387,0,1.2037193655967713,1.2578157186508179,1.301835469226664,20,ppo_seed45,ppo,PPO,45
77007,intercepted,1,0,0,0,1312,16,8.0,1296,1312.0,656.0,2.8827457427978516,0,1.1366469753402053,1.2146015167236328,1.228018092126436,1297,ppo_seed45,ppo,PPO,45
77008,soldier_caught,0,1,0,0,39,9,4.5,30,,,1.9150917530059814,0,1.2049698579695918,1.1752651929855347,1.274536180118007,31,ppo_seed45,ppo,PPO,45
77009,intercepted,1,0,0,0,352,136,68.0,216,352.0,176.0,3.464599132537842,0,1.1161639949967783,1.0304887294769287,1.2179696273700116,217,ppo_seed45,ppo,PPO,45
77010,intercepted,1,0,0,0,254,10,5.0,244,254.0,127.0,5.088343620300293,0,1.1368330161182247,1.0685678720474243,1.225476826139272,245,ppo_seed45,ppo,PPO,45
77011,intercepted,1,0,0,0,33,17,8.5,16,33.0,16.5,8.859893798828125,0,1.1537288076737349,1.795630931854248,1.1976242143321043,17,ppo_seed45,ppo,PPO,45
77012,intercepted,1,0,0,0,602,10,5.0,592,602.0,301.0,2.493000030517578,0,1.1103652126672496,1.1865928173065186,1.2080366008605266,593,ppo_seed45,ppo,PPO,45
77013,intercepted,1,0,0,0,1179,29,14.5,1150,1179.0,589.5,9.284259796142578,0,1.097600364683764,1.7411850690841675,1.1919038538816875,1151,ppo_seed45,ppo,PPO,45
77014,intercepted,1,0,0,0,58,10,5.0,48,58.0,29.0,5.282496929168701,0,1.05118743315035,0.43143659830093384,1.1258663797331605,49,ppo_seed45,ppo,PPO,45
77015,soldier_caught,0,1,0,0,65,9,4.5,56,,,1.7870999574661255,0,1.1502328190887183,0.875688374042511,1.2280597976975731,57,ppo_seed45,ppo,PPO,45
77016,intercepted,1,0,0,0,462,8,4.0,454,462.0,231.0,3.033841133117676,0,1.1423511502834467,0.8278146982192993,1.2335096312457967,455,ppo_seed45,ppo,PPO,45
77017,intercepted,1,0,0,0,88,14,7.0,74,88.0,44.0,13.029426574707031,0,1.221389419635137,1.578249216079712,1.302736204092244,75,ppo_seed45,ppo,PPO,45
