environment_seed,outcome,success,soldier_caught,unsafe_intercept,timeout,total_steps,detection_step,detection_time_seconds,post_detection_steps,intercept_step,intercept_time_seconds,min_enemy_soldier_dist,physical_limit_violations,mean_tracking_error,final_tracking_error,tracking_rmse,n_tracking_samples,optimizer_fallback_count,measurement_fallback_count,lead_init_count,pursuit_init_count,n_policy_calls,n_post_detection_decisions,instance_id,instance_name,family,training_seed
77000,intercepted,1,0,0,0,192,9,4.5,183,192.0,96.0,5.241640567779541,0,1.1066832757838394,1.2090275287628174,1.199384615169999,184,0,0,182,1,192,183,rmpc,rmpc,RMPC,
77001,intercepted,1,0,0,0,179,17,8.5,162,179.0,89.5,7.405017375946045,0,1.1211896461943176,0.7216137051582336,1.2151188081724333,163,0,0,161,1,179,162,rmpc,rmpc,RMPC,
77002,soldier_caught,0,1,0,0,255,58,29.0,197,,,1.8943265676498413,0,1.0699393946414042,1.573087453842163,1.1675637520367417,198,0,0,195,2,255,197,rmpc,rmpc,RMPC,
77003,intercepted,1,0,0,0,43,30,15.0,13,43.0,21.5,10.903655052185059,0,1.1618268873010362,0.6895638108253479,1.2897778425264554,14,0,0,12,1,43,13,rmpc,rmpc,RMPC,
77004,intercepted,1,0,0,0,324,71,35.5,253,324.0,162.0,5.467956066131592,0,1.1266923784388332,1.3432815074920654,1.214504114244787,254,0,0,252,1,324,253,rmpc,rmpc,RMPC,
77005,intercepted,1,0,0,0,44,13,6.5,31,44.0,22.0,6.4577741622924805,0,0.9813705906271935,0.5295431017875671,1.11567637013769,32,0,0,30,1,44,31,rmpc,rmpc,RMPC,
77006,intercepted,1,0,0,0,154,31,15.5,123,154.0,77.0,2.1500141620635986,0,1.0853293093462144,0.4984099566936493,1.1865102813615955,124,0,0,122,1,154,123,rmpc,rmpc,RMPC,
77007,soldier_caught,0,1,0,0,200,16,8.0,184,,,0.9316299557685852,0,1.17866945814442,0.9660471081733704,1.2811492153680155,185,0,0,183,1,200,184,rmpc,rmpc,RMPC,
77008,intercepted,1,0,0,0,128,9,4.5,119,128.0,64.0,2.548201084136963,0,1.1610688668986162,1.459113597869873,1.2375115198433488,120,0,0,118,1,128,119,rmpc,rmpc,RMPC,
77009,intercepted,1,0,0,0,1135,136,68.0,999,1135.0,567.5,2.1268467903137207,0,1.136477325104177,1.0758939981460571,1.2354472812973043,1000,0,0,998,1,1135,999,rmpc,rmpc,RMPC,
77010,intercepted,1,0,0,0,359,10,5.0,349,359.0,179.5,2.4289560317993164,0,1.128022060947759,0.5724030137062073,1.2170367812531333,350,0,0,348,1,359,349,rmpc,rmpc,RMPC,
77011,intercepted,1,0,0,0,78,17,8.5,61,78.0,39.0,8.862093925476074,0,1.0294860266149044,1.1349613666534424,1.1244061754772314,62,0,0,60,1,78,61,rmpc,rmpc,RMPC,
77012,intercepted,1,0,0,0,221,10,5.0,211,221.0,110.5,3.8168253898620605,0,1.1102249999794196,0.36349478363990784,1.2040406905986345,212,0,0,210,1,221,211,rmpc,rmpc,RMPC,
77013,intercepted,1,0,0,0,209,29,14.5,180,209.0,104.5,9.945098876953125,0,1.084054766274289,0.661532461643219,1.1793364309041259,181,0,0,179,1,209,180,rmpc,rmpc,RMPC,
77014,soldier_caught,0,1,0,0,307,10,5.0,297,,,1.9041852951049805,0,1.0971302045071685,0.5028096437454224,1.1838636110252831,298,0,0,296,1,307,297,rmpc,rmpc,RMPC,
77015,intercepted,1,0,0,0,346,9,4.5,337,346.0,173.0,2.6799259185791016,0,1.1422720383962937,1.4632766246795654,1.2366929844835757,338,0,0,336,1,346,337,rmpc,rmpc,RMPC,
77016,intercepted,1,0,0,0,38,8,4.0,30,38.0,19.0,3.6022069454193115,0,1.273007171769296,1.8913172483444214,1.3909537383302848,31,0,0,29,1,38,30,rmpc,rmpc,RMPC,
77017,intercepted,1,0,0,0,157,14,7.0,143,157.0,78.5,9.344415664672852,0,1.1933044786047604,1.3105056285858154,1.2766582658843433,144,0,0,142,1,157,143,rmpc,rmpc,RMPC,
77018,intercepted,1,0,0,0,524,77,38.5,447,524.0,262.0,4.037050724029541,0,1.1651910997461528,1.1994863748550415,1.2666732027936416,448,0,0,446,1,524,447,rmpc,rmpc,RMPC,
77019,soldier_caught,0,1,0,0,1122,8,4.0,1114,,,1.7766399383544922,0,1.1584098082420002,1.7924450635910034,1.2564638462129485,1115,0,0,1111,3,1122,1114,rmpc,rmpc,RMPC,
77020,soldier_caught,0,1,0,0,784,10,5.0,774,,,1.9350087642669678,0,1.1399845293260389,1.445623517036438,1.2348388272340176,775,0,0,773,1,784,774,rmpc,rmpc,RMPC,
