instance,family,training_seed,n,successes,success_rate,success_ci_low,success_ci_high,soldier_caught_rate,unsafe_intercept_rate,timeout_rate,mean_post_detection_steps,mean_intercept_time_if_success
greedy,Greedy,,1000,787,0.787,0.7605503974702781,0.8112530431590133,0.199,0.013,0.001,260.915,142.88881829733165
pn,PN,,1000,763,0.763,0.7356684892970144,0.7883186357395835,0.217,0.02,0.0,283.468,155.0707732634338
lead,Lead,,1000,877,0.877,0.8551887673529645,0.8959258567489271,0.106,0.017,0.0,154.889,88.69042189281642
ppo_seed45,PPO,45.0,1000,851,0.851,0.8275879764800763,0.871725639063064,0.129,0.019,0.001,243.619,125.06286721504112
ppo_seed46,PPO,46.0,1000,874,0.874,0.8519904953398139,0.8931470893129909,0.105,0.021,0.0,207.297,112.59210526315789
ppo_seed47,PPO,47.0,1000,820,0.82,0.7949777670979878,0.8425731074712568,0.168,0.012,0.0,138.982,78.37743902439024
ppo_kalman_seed45,PPO-Kalman,45.0,1000,846,0.846,0.8223081403024968,0.8670437428254991,0.139,0.015,0.0,123.389,72.22399527186761
ppo_kalman_seed46,PPO-Kalman,46.0,1000,806,0.806,0.7803394533741679,0.8293185704326724,0.165,0.029,0.0,178.823,99.46588089330025
ppo_kalman_seed47,PPO-Kalman,47.0,1000,828,0.828,0.8033660485432,0.8501235978902758,0.167,0.005,0.0,183.421,99.71859903381643
lr_ppo_seed55,LR-PPO,55.0,1000,887,0.887,0.8658784472486151,0.9051596416835653,0.099,0.014,0.0,123.438,73.20067643742954
lr_ppo_seed56,LR-PPO,56.0,1000,894,0.894,0.8733895811764342,0.9115949331369485,0.097,0.009,0.0,130.343,75.06543624161074
lr_ppo_seed57,LR-PPO,57.0,1000,907,0.907,0.8874087442345036,0.9234762743582547,0.077,0.016,0.0,126.628,74.20231532524807
rmpc,RMPC,,1000,809,0.809,0.7834719955714221,0.832163067684505,0.176,0.015,0.0,238.629,129.94932014833128
