candidate_id,environment_seed,outcome,success,soldier_caught,unsafe_intercept,timeout,total_steps,detection_step,detection_time_seconds,post_detection_steps,intercept_step,intercept_time_seconds,min_enemy_soldier_dist,physical_limit_violations,mean_tracking_error,final_tracking_error,tracking_rmse,n_tracking_samples,optimizer_fallback_count,measurement_fallback_count,lead_init_count,pursuit_init_count,n_policy_calls,n_post_detection_decisions
C1_FAST,71200,intercepted,1,0,0,0,603,9,4.5,594,603.0,301.5,5.60459041595459,0,1.1228517132897338,0.7695028185844421,1.2228074071125812,595,0,0,593,1,603,594
C1_FAST,71201,soldier_caught,0,1,0,0,10,8,4.0,2,,,1.0145092010498047,0,0.926485538482666,0.9164260625839233,0.9683859068595188,3,0,0,1,1,10,2
C1_FAST,71202,intercepted,1,0,0,0,42,10,5.0,32,42.0,21.0,5.143815994262695,0,1.180813170743711,2.0344696044921875,1.2583906744337081,33,0,0,31,1,42,32
C1_FAST,71203,intercepted,1,0,0,0,137,11,5.5,126,137.0,68.5,2.027270555496216,0,1.0701989306239632,0.5403047800064087,1.146228566198989,127,0,0,125,1,137,126
C1_FAST,71204,intercepted,1,0,0,0,507,9,4.5,498,507.0,253.5,2.1959497928619385,0,1.1375465779481289,1.025746464729309,1.2274917664812477,499,0,0,497,1,507,498
C1_FAST,71205,soldier_caught,0,1,0,0,38,12,6.0,26,,,1.5493948459625244,0,1.1220872639505952,0.6899434328079224,1.2017942797132528,27,0,0,25,1,38,26
C1_FAST,71206,soldier_caught,0,1,0,0,485,11,5.5,474,,,1.969597578048706,0,1.1704847595252488,1.1902176141738892,1.2774608925164286,475,0,0,472,2,485,474
C1_FAST,71207,intercepted,1,0,0,0,483,9,4.5,474,483.0,241.5,2.3681697845458984,0,1.0875146289561923,0.6264835000038147,1.1937267463228127,475,0,0,473,1,483,474
C1_FAST,71208,intercepted,1,0,0,0,413,8,4.0,405,413.0,206.5,4.8648600578308105,0,1.1191823298359298,0.6692375540733337,1.212974503417181,406,0,0,404,1,413,405
C1_FAST,71209,intercepted,1,0,0,0,463,8,4.0,455,463.0,231.5,4.669330596923828,0,1.091208091169073,1.5364831686019897,1.1819763686994782,456,0,0,454,1,463,455
C1_FAST,71210,unsafe_intercept,0,0,1,0,11,9,4.5,2,,,3.3133010864257812,0,0.8363417188326517,0.6397209763526917,0.8484386776228544,3,0,0,1,1,11,2
C1_FAST,71211,intercepted,1,0,0,0,11,9,4.5,2,11.0,5.5,5.601675987243652,0,0.9520746146639189,1.260295033454895,1.1446479075032823,3,0,0,1,1,11,2
C1_FAST,71212,intercepted,1,0,0,0,87,12,6.0,75,87.0,43.5,5.810436725616455,0,1.0696372938783545,1.604745864868164,1.1946744764959143,76,0,0,74,1,87,75
C1_FAST,71213,intercepted,1,0,0,0,178,26,13.0,152,178.0,89.0,2.0725491046905518,0,1.0876540945830688,1.3732844591140747,1.1941417432901806,153,0,0,151,1,178,152
C1_FAST,71214,soldier_caught,0,1,0,0,37,13,6.5,24,,,1.8027608394622803,0,1.161830198764801,1.909791350364685,1.2755271476249797,25,0,0,23,1,37,24
C1_FAST,71215,intercepted,1,0,0,0,408,18,9.0,390,408.0,204.0,3.424293279647827,0,1.1143800730976607,1.4105033874511719,1.2128034323533206,391,0,0,389,1,408,390
C1_FAST,71216,intercepted,1,0,0,0,338,12,6.0,326,338.0,169.0,11.528491020202637,0,1.1504836009091923,0.7229344844818115,1.2422983345153908,327,0,0,325,1,338,326
C1_FAST,71217,intercepted,1,0,0,0,349,11,5.5,338,349.0,174.5,6.353321075439453,0,1.1036623586463716,1.4528074264526367,1.1971958682735044,339,0,0,337,1,349,338
C1_FAST,71218,intercepted,1,0,0,0,20,9,4.5,11,20.0,10.0,3.271986246109009,0,1.4127968351046245,0.8647854924201965,1.5052610188817672,12,0,0,10,1,20,11
C1_FAST,71219,intercepted,1,0,0,0,468,10,5.0,458,468.0,234.0,6.481592655181885,0,1.1209385083229453,1.7432942390441895,1.2083032102636277,459,0,0,457,1,468,458
C1_FAST,71220,intercepted,1,0,0,0,55,36,18.0,19,55.0,27.5,10.377623558044434,0,1.082566563785076,1.643401861190796,1.1666757980842228,20,0,0,18,1,55,19
