candidate_id,environment_seed,outcome,success,soldier_caught,unsafe_intercept,timeout,total_steps,detection_step,detection_time_seconds,post_detection_steps,intercept_step,intercept_time_seconds,min_enemy_soldier_dist,physical_limit_violations,mean_tracking_error,final_tracking_error,tracking_rmse,n_tracking_samples
LEAD,71000,intercepted,1,0,0,0,83,14,7.0,69,83.0,41.5,12.14304256439209,0,1.2254805266857147,0.6005399823188782,1.3202083713793609,70
LEAD,71001,intercepted,1,0,0,0,157,12,6.0,145,157.0,78.5,6.226907730102539,0,1.1085454078569805,1.1999441385269165,1.2014211323872017,146
LEAD,71002,intercepted,1,0,0,0,126,14,7.0,112,126.0,63.0,2.9252138137817383,0,1.1462345764172817,1.5348387956619263,1.2042412043868782,113
LEAD,71003,intercepted,1,0,0,0,91,31,15.5,60,91.0,45.5,10.28707504272461,0,1.1277164855941397,0.959577739238739,1.1982759820272808,61
LEAD,71004,intercepted,1,0,0,0,198,9,4.5,189,198.0,99.0,7.3984856605529785,0,1.144009981029912,1.0961592197418213,1.2364006946956467,190
LEAD,71005,intercepted,1,0,0,0,301,9,4.5,292,301.0,150.5,4.589243412017822,0,1.1410801151811873,0.43912792205810547,1.2334137728092571,293
LEAD,71006,intercepted,1,0,0,0,91,17,8.5,74,91.0,45.5,7.4551897048950195,0,1.155428607861201,1.256908893585205,1.2379692260168935,75
LEAD,71007,soldier_caught,0,1,0,0,34,9,4.5,25,,,0.8340386748313904,0,1.2195596534472246,2.107268810272217,1.2786669081034834,26
LEAD,71008,intercepted,1,0,0,0,257,12,6.0,245,257.0,128.5,4.5512895584106445,0,1.1391445882315558,1.2493178844451904,1.230473820260597,246
LEAD,71009,intercepted,1,0,0,0,83,9,4.5,74,83.0,41.5,2.3500325679779053,0,1.176171782016754,0.3965408504009247,1.2633860197377833,75
LEAD,71010,intercepted,1,0,0,0,70,25,12.5,45,70.0,35.0,11.680030822753906,0,1.123746720345124,1.049013376235962,1.2232230616927524,46
LEAD,71011,intercepted,1,0,0,0,107,9,4.5,98,107.0,53.5,9.22085952758789,0,1.0593697175835117,1.08647882938385,1.1541753480230947,99
LEAD,71012,intercepted,1,0,0,0,78,12,6.0,66,78.0,39.0,8.372212409973145,0,1.0408048482973185,1.7992100715637207,1.1259169457980074,67
LEAD,71013,intercepted,1,0,0,0,228,8,4.0,220,228.0,114.0,4.906291484832764,0,1.0593637354773093,0.9499543905258179,1.1434014153951693,221
LEAD,71014,intercepted,1,0,0,0,124,7,3.5,117,124.0,62.0,2.5401594638824463,0,1.1862386603981763,1.2395576238632202,1.2764802669711843,118
LEAD,71015,soldier_caught,0,1,0,0,63,11,5.5,52,,,1.5531668663024902,0,1.167604146138677,0.7801517248153687,1.2555495005246589,53
LEAD,71016,intercepted,1,0,0,0,178,16,8.0,162,178.0,89.0,6.527612686157227,0,1.0885417963280999,1.455870509147644,1.1835596585155204,163
LEAD,71017,intercepted,1,0,0,0,166,12,6.0,154,166.0,83.0,4.058107852935791,0,1.1215446763461636,2.020247220993042,1.2211358295538113,155
LEAD,71018,intercepted,1,0,0,0,331,10,5.0,321,331.0,165.5,4.237974643707275,0,1.1855703797307073,1.4638783931732178,1.280478178875154,322
LEAD,71019,intercepted,1,0,0,0,36,10,5.0,26,36.0,18.0,6.370477199554443,0,1.2588966897240392,1.9208961725234985,1.3934403614470234,27
LEAD,71020,intercepted,1,0,0,0,266,10,5.0,256,266.0,133.0,3.2009572982788086,0,1.1160505531710874,0.4390851855278015,1.2178690905806309,257
LEAD,71021,intercepted,1,0,0,0,307,11,5.5,296,307.0,153.5,5.7886457443237305,0,1.1316935817149754,0.6161215901374817,1.2372182030112948,297
LEAD,71022,intercepted,1,0,0,0,39,9,4.5,30,39.0,19.5,3.727851629257202,0,1.1090926499136033,1.266778826713562,1.2127807131588135,31
LEAD,71023,intercepted,1,0,0,0,22,9,4.5,13,22.0,11.0,6.003869533538818,0,1.2824202009609766,1.469235897064209,1.3708569763128928,14
LEAD,71024,intercepted,1,0,0,0,133,82,41.0,51,133.0,66.5,5.201374530792236,0,1.106285137625841,0.6638436913490295,1.2565875545266403,52
LEAD,71025,intercepted,1,0,0,0,58,33,16.5,25,58.0,29.0,11.95322322845459,0,1.0937511347807372,1.340180516242981,1.1361244818246556,26
